StateCountyFips,CatID,CatVal,Year,Population
1001,0,0,2012,54190
1001,1,1,2012,14167
1001,1,2,2012,18512
1001,1,3,2012,14266
1001,1,4,2012,7245
1001,2,1,2012,26398
1001,2,2,2012,27792
1001,4,1,2012,41538
1001,4,2,2012,9671
1001,4,3,2012,1371
1001,4,4,2012,602
1001,4,5,2012,238
1001,4,6,2012,770
1003,0,0,2012,186545
1003,1,1,2012,42542
1003,1,2,2012,57119
1003,1,3,2012,53056
1003,1,4,2012,33828
1003,2,1,2012,90897
1003,2,2,2012,95648
1003,4,1,2012,155622
1003,4,2,2012,17205
1003,4,3,2012,8433
1003,4,4,2012,1620
1003,4,5,2012,1197
1003,4,6,2012,2468
1005,0,0,2012,27138
1005,1,1,2012,5781
1005,1,2,2012,9771
1005,1,3,2012,7449
1005,1,4,2012,4137
1005,2,1,2012,14529
1005,2,2,2012,12609
1005,4,1,2012,12956
1005,4,2,2012,12415
1005,4,3,2012,1334
1005,4,4,2012,147
1005,4,5,2012,64
1005,4,6,2012,222
1007,0,0,2012,22669
1007,1,1,2012,4831
1007,1,2,2012,8583
1007,1,3,2012,6123
1007,1,4,2012,3132
1007,2,1,2012,12220
1007,2,2,2012,10449
1007,4,1,2012,17056
1007,4,2,2012,4831
1007,4,3,2012,475
1007,4,4,2012,39
1007,4,5,2012,78
1007,4,6,2012,190
1009,0,0,2012,56855
1009,1,1,2012,13679
1009,1,2,2012,18514
1009,1,3,2012,15447
1009,1,4,2012,9215
1009,2,1,2012,28030
1009,2,2,2012,28825
1009,4,1,2012,50184
1009,4,2,2012,860
1009,4,3,2012,4785
1009,4,4,2012,162
1009,4,5,2012,276
1009,4,6,2012,588
1011,0,0,2012,10949
1011,1,1,2012,2179
1011,1,2,2012,4228
1011,1,3,2012,3013
1011,1,4,2012,1529
1011,2,1,2012,5976
1011,2,2,2012,4973
1011,4,1,2012,2890
1011,4,2,2012,7100
1011,4,3,2012,825
1011,4,4,2012,27
1011,4,5,2012,27
1011,4,6,2012,80
1013,0,0,2012,20516
1013,1,1,2012,4621
1013,1,2,2012,6730
1013,1,3,2012,5623
1013,1,4,2012,3542
1013,2,1,2012,9606
1013,2,2,2012,10910
1013,4,1,2012,11312
1013,4,2,2012,8535
1013,4,3,2012,261
1013,4,4,2012,197
1013,4,5,2012,68
1013,4,6,2012,143
1015,0,0,2012,114657
1015,1,1,2012,26389
1015,1,2,2012,38579
1015,1,3,2012,31916
1015,1,4,2012,17773
1015,2,1,2012,55166
1015,2,2,2012,59491
1015,4,1,2012,84487
1015,4,2,2012,23181
1015,4,3,2012,3904
1015,4,4,2012,976
1015,4,5,2012,448
1015,4,6,2012,1661
1017,0,0,2012,33766
1017,1,1,2012,7309
1017,1,2,2012,10805
1017,1,3,2012,9666
1017,1,4,2012,5986
1017,2,1,2012,16131
1017,2,2,2012,17635
1017,4,1,2012,19818
1017,4,2,2012,12712
1017,4,3,2012,632
1017,4,4,2012,198
1017,4,5,2012,65
1017,4,6,2012,341
1019,0,0,2012,26020
1019,1,1,2012,5383
1019,1,2,2012,7708
1019,1,3,2012,7901
1019,1,4,2012,5028
1019,2,1,2012,12934
1019,2,2,2012,13086
1019,4,1,2012,23939
1019,4,2,2012,1154
1019,4,3,2012,383
1019,4,4,2012,60
1019,4,5,2012,125
1019,4,6,2012,359
1021,0,0,2012,43235
1021,1,1,2012,10623
1021,1,2,2012,14672
1021,1,3,2012,11572
1021,1,4,2012,6368
1021,2,1,2012,21307
1021,2,2,2012,21928
1021,4,1,2012,35074
1021,4,2,2012,4130
1021,4,3,2012,3314
1021,4,4,2012,166
1021,4,5,2012,138
1021,4,6,2012,413
1023,0,0,2012,13793
1023,1,1,2012,2881
1023,1,2,2012,4227
1023,1,3,2012,4010
1023,1,4,2012,2675
1023,2,1,2012,6572
1023,2,2,2012,7221
1023,4,1,2012,7910
1023,4,2,2012,5646
1023,4,3,2012,107
1023,4,4,2012,32
1023,4,5,2012,26
1023,4,6,2012,72
1025,0,0,2012,25021
1025,1,1,2012,5816
1025,1,2,2012,7834
1025,1,3,2012,7039
1025,1,4,2012,4332
1025,2,1,2012,11831
1025,2,2,2012,13190
1025,4,1,2012,13736
1025,4,2,2012,10581
1025,4,3,2012,309
1025,4,4,2012,115
1025,4,5,2012,104
1025,4,6,2012,176
1027,0,0,2012,13679
1027,1,1,2012,2918
1027,1,2,2012,4403
1027,1,3,2012,3871
1027,1,4,2012,2487
1027,2,1,2012,6757
1027,2,2,2012,6922
1027,4,1,2012,11081
1027,4,2,2012,1832
1027,4,3,2012,435
1027,4,4,2012,33
1027,4,5,2012,71
1027,4,6,2012,227
1029,0,0,2012,15078
1029,1,1,2012,3391
1029,1,2,2012,4955
1029,1,3,2012,4142
1029,1,4,2012,2590
1029,2,1,2012,7492
1029,2,2,2012,7586
1029,4,1,2012,13983
1029,4,2,2012,529
1029,4,3,2012,319
1029,4,4,2012,30
1029,4,5,2012,53
1029,4,6,2012,164
1031,0,0,2012,50499
1031,1,1,2012,12086
1031,1,2,2012,17493
1031,1,3,2012,13231
1031,1,4,2012,7689
1031,2,1,2012,25062
1031,2,2,2012,25437
1031,4,1,2012,36446
1031,4,2,2012,8374
1031,4,3,2012,3221
1031,4,4,2012,794
1031,4,5,2012,581
1031,4,6,2012,1083
1033,0,0,2012,53647
1033,1,1,2012,11752
1033,1,2,2012,16809
1033,1,3,2012,15406
1033,1,4,2012,9680
1033,2,1,2012,25753
1033,2,2,2012,27894
1033,4,1,2012,42551
1033,4,2,2012,8512
1033,4,3,2012,1262
1033,4,4,2012,276
1033,4,5,2012,259
1033,4,6,2012,787
1035,0,0,2012,13221
1035,1,1,2012,2849
1035,1,2,2012,4107
1035,1,3,2012,3774
1035,1,4,2012,2491
1035,2,1,2012,6380
1035,2,2,2012,6841
1035,4,1,2012,7029
1035,4,2,2012,5757
1035,4,3,2012,226
1035,4,4,2012,18
1035,4,5,2012,49
1035,4,6,2012,142
1037,0,0,2012,11295
1037,1,1,2012,2082
1037,1,2,2012,3627
1037,1,3,2012,3624
1037,1,4,2012,1962
1037,2,1,2012,5601
1037,2,2,2012,5694
