StateCountyFips,CatId,CatVal,Year,Population
01001,0,0,2015,54038
01001,1,1,2015,13553
01001,1,2,2015,17993
01001,1,3,2015,14483
01001,1,4,2015,8009
01001,2,1,2015,26172
01001,2,2,2015,27866
01001,4,1,2015,40900
01001,4,2,2015,9842
01001,4,3,2015,1491
01001,4,4,2015,653
01001,4,5,2015,238
01001,4,6,2015,914
01003,0,0,2015,197736
01003,1,1,2015,44314
01003,1,2,2015,58769
01003,1,3,2015,55753
01003,1,4,2015,38900
01003,2,1,2015,96202
01003,2,2,2015,101534
01003,4,1,2015,164356
01003,4,2,2015,18163
01003,4,3,2015,9058
01003,4,4,2015,1934
01003,4,5,2015,1306
01003,4,6,2015,2919
01005,0,0,2015,26736
01005,1,1,2015,5546
01005,1,2,2015,9570
01005,1,3,2015,7054
01005,1,4,2015,4566
01005,2,1,2015,14316
01005,2,2,2015,12420
01005,4,1,2015,12891
01005,4,2,2015,12189
01005,4,3,2015,1179
01005,4,4,2015,180
01005,4,5,2015,67
01005,4,6,2015,230
01007,0,0,2015,22432
01007,1,1,2015,4521
01007,1,2,2015,8327
01007,1,3,2015,6146
01007,1,4,2015,3438
01007,2,1,2015,12117
01007,2,2,2015,10315
01007,4,1,2015,16835
01007,4,2,2015,4709
01007,4,3,2015,516
01007,4,4,2015,68
01007,4,5,2015,97
01007,4,6,2015,207
01009,0,0,2015,56545
01009,1,1,2015,13323
01009,1,2,2015,17564
01009,1,3,2015,15468
01009,1,4,2015,10190
01009,2,1,2015,27861
01009,2,2,2015,28684
01009,4,1,2015,49550
01009,4,2,2015,988
01009,4,3,2015,4909
01009,4,4,2015,186
01009,4,5,2015,290
01009,4,6,2015,622
01011,0,0,2015,11129
01011,1,1,2015,2214
01011,1,2,2015,4434
01011,1,3,2015,2846
01011,1,4,2015,1635
01011,2,1,2015,6086
01011,2,2,2015,5043
01011,4,1,2015,3109
01011,4,2,2015,7016
01011,4,3,2015,861
01011,4,4,2015,32
01011,4,5,2015,27
01011,4,6,2015,84
01013,0,0,2015,20120
01013,1,1,2015,4565
01013,1,2,2015,6564
01013,1,3,2015,5320
01013,1,4,2015,3671
01013,2,1,2015,9321
01013,2,2,2015,10799
01013,4,1,2015,11082
01013,4,2,2015,8320
01013,4,3,2015,289
01013,4,4,2015,203
01013,4,5,2015,79
01013,4,6,2015,147
01015,0,0,2015,111555
01015,1,1,2015,25044
01015,1,2,2015,36392
01015,1,3,2015,31221
01015,1,4,2015,18898
01015,2,1,2015,53717
01015,2,2,2015,57838
01015,4,1,2015,81685
01015,4,2,2015,22663
01015,4,3,2015,3957
01015,4,4,2015,1075
01015,4,5,2015,471
01015,4,6,2015,1704
01017,0,0,2015,33713
01017,1,1,2015,7086
01017,1,2,2015,10645
01017,1,3,2015,9581
01017,1,4,2015,6401
01017,2,1,2015,16074
01017,2,2,2015,17639
01017,4,1,2015,19485
01017,4,2,2015,12768
01017,4,3,2015,739
01017,4,4,2015,286
01017,4,5,2015,76
01017,4,6,2015,359
01019,0,0,2015,26067
01019,1,1,2015,5178
01019,1,2,2015,7564
01019,1,3,2015,7670
01019,1,4,2015,5655
01019,2,1,2015,12971
01019,2,2,2015,13096
01019,4,1,2015,23900
01019,4,2,2015,1123
01019,4,3,2015,425
01019,4,4,2015,57
01019,4,5,2015,140
01019,4,6,2015,422
01021,0,0,2015,43218
01021,1,1,2015,10408
01021,1,2,2015,14185
01021,1,3,2015,11725
01021,1,4,2015,6900
01021,2,1,2015,21190
01021,2,2,2015,22028
01021,4,1,2015,34872
01021,4,2,2015,4287
01021,4,3,2015,3230
01021,4,4,2015,190
01021,4,5,2015,146
01021,4,6,2015,493
01023,0,0,2015,13541
01023,1,1,2015,2574
01023,1,2,2015,4254
01023,1,3,2015,3857
01023,1,4,2015,2856
01023,2,1,2015,6419
01023,2,2,2015,7122
01023,4,1,2015,7929
01023,4,2,2015,5320
01023,4,3,2015,137
01023,4,4,2015,42
01023,4,5,2015,34
01023,4,6,2015,79
01025,0,0,2015,24475
01025,1,1,2015,5324
01025,1,2,2015,7698
01025,1,3,2015,6884
01025,1,4,2015,4569
01025,2,1,2015,11563
01025,2,2,2015,12912
01025,4,1,2015,13390
01025,4,2,2015,10281
01025,4,3,2015,362
01025,4,4,2015,138
01025,4,5,2015,102
01025,4,6,2015,202
01027,0,0,2015,13679
01027,1,1,2015,2764
01027,1,2,2015,4423
01027,1,3,2015,3840
01027,1,4,2015,2652
01027,2,1,2015,6754
01027,2,2,2015,6925
01027,4,1,2015,11028
01027,4,2,2015,1792
01027,4,3,2015,490
01027,4,4,2015,37
01027,4,5,2015,82
01027,4,6,2015,250
01029,0,0,2015,15396
01029,1,1,2015,3398
01029,1,2,2015,5082
01029,1,3,2015,4009
01029,1,4,2015,2907
01029,2,1,2015,7631
01029,2,2,2015,7765
01029,4,1,2015,14189
01029,4,2,2015,545
01029,4,3,2015,387
01029,4,4,2015,33
01029,4,5,2015,56
01029,4,6,2015,186
01031,0,0,2015,50199
01031,1,1,2015,11801
01031,1,2,2015,16631
01031,1,3,2015,13409
01031,1,4,2015,8358
01031,2,1,2015,24856
01031,2,2,2015,25343
01031,4,1,2015,36004
01031,4,2,2015,8503
01031,4,3,2015,3182
01031,4,4,2015,876
01031,4,5,2015,562
01031,4,6,2015,1072
01033,0,0,2015,53399
01033,1,1,2015,11616
01033,1,2,2015,16478
01033,1,3,2015,15105
01033,1,4,2015,10200
01033,2,1,2015,25686
01033,2,2,2015,27713
01033,4,1,2015,42126
01033,4,2,2015,8377
01033,4,3,2015,1439
01033,4,4,2015,297
01033,4,5,2015,298
01033,4,6,2015,862
01035,0,0,2015,12978
01035,1,1,2015,2626
01035,1,2,2015,4170
01035,1,3,2015,3527
01035,1,4,2015,2655
01035,2,1,2015,6223
01035,2,2,2015,6755
01035,4,1,2015,7051
01035,4,2,2015,5430
01035,4,3,2015,274
01035,4,4,2015,25
01035,4,5,2015,56
01035,4,6,2015,142
01037,0,0,2015,11238
01037,1,1,2015,1858
01037,1,2,2015,3750
01037,1,3,2015,3567
01037,1,4,2015,2063
01037,2,1,2015,5686
01037,2,2,2015,5552
01037,4,1,2015,7479
01037,4,2,2015,3255
01037,4,3,2015,290
01037,4,4,2015,22
01037,4,5,2015,59
01037,4,6,2015,133
01039,0,0,2015,37453
01039,1,1,2015,8125
01039,1,2,2015,11304
01039,1,3,2015,10356
01039,1,4,2015,7668
01039,2,1,2015,18095
01039,2,2,2015,19358
01039,4,1,2015,31205
01039,4,2,2015,4609
01039,4,3,2015,650
01039,4,4,2015,176
01039,4,5,2015,219
01039,4,6,2015,594
01041,0,0,2015,14362
01041,1,1,2015,3106
01041,1,2,2015,4794
01041,1,3,2015,3864
01041,1,4,2015,2598
01041,2,1,2015,7029
01041,2,2,2015,7333
01041,4,1,2015,10271
01041,4,2,2015,3244
01041,4,3,2015,262
01041,4,4,2015,270
01041,4,5,2015,70
01041,4,6,2015,245
01043,0,0,2015,79201
01043,1,1,2015,17866
01043,1,2,2015,24886
01043,1,3,2015,21752
01043,1,4,2015,14697
01043,2,1,2015,39179
01043,2,2,2015,40022
01043,4,1,2015,72936
01043,4,2,2015,1069
01043,4,3,2015,3388
01043,4,4,2015,463
01043,4,5,2015,405
01043,4,6,2015,940
01045,0,0,2015,48454
01045,1,1,2015,11329
01045,1,2,2015,16888
01045,1,3,2015,12391
01045,1,4,2015,7846
01045,2,1,2015,23982
01045,2,2,2015,24472
01045,4,1,2015,34338
01045,4,2,2015,8993
01045,4,3,2015,2924
01045,4,4,2015,722
01045,4,5,2015,316
01045,4,6,2015,1161
01047,0,0,2015,40131
01047,1,1,2015,10035
01047,1,2,2015,12419
01047,1,3,2015,11077
01047,1,4,2015,6600
01047,2,1,2015,18586
01047,2,2,2015,21545
01047,4,1,2015,12093
01047,4,2,2015,26958
01047,4,3,2015,448
01047,4,4,2015,226
01047,4,5,2015,86
01047,4,6,2015,320
01049,0,0,2015,69045
01049,1,1,2015,17041
01049,1,2,2015,22002
01049,1,3,2015,18568
01049,1,4,2015,11434
01049,2,1,2015,33964
01049,2,2,2015,35081
01049,4,1,2015,55761
01049,4,2,2015,1241
01049,4,3,2015,9713
01049,4,4,2015,208
01049,4,5,2015,849
01049,4,6,2015,1273
01051,0,0,2015,79217
01051,1,1,2015,18462
01051,1,2,2015,27653
01051,1,3,2015,21261
01051,1,4,2015,11841
01051,2,1,2015,38270
01051,2,2,2015,40947
01051,4,1,2015,58409
01051,4,2,2015,16525
01051,4,3,2015,2154
01051,4,4,2015,634
01051,4,5,2015,288
01051,4,6,2015,1207
01053,0,0,2015,37161
01053,1,1,2015,8124
01053,1,2,2015,12769
01053,1,3,2015,9874
01053,1,4,2015,6394
01053,2,1,2015,19031
01053,2,2,2015,18130
01053,4,1,2015,22840
01053,4,2,2015,11568
01053,4,3,2015,801
01053,4,4,2015,111
01053,4,5,2015,1241
01053,4,6,2015,600
01055,0,0,2015,100354
01055,1,1,2015,22272
01055,1,2,2015,31591
01055,1,3,2015,28268
01055,1,4,2015,18223
01055,2,1,2015,48418
01055,2,2,2015,51936
01055,4,1,2015,78859
01055,4,2,2015,15064
01055,4,3,2015,3770
01055,4,4,2015,858
01055,4,5,2015,363
01055,4,6,2015,1440
01057,0,0,2015,16973
01057,1,1,2015,3541
01057,1,2,2015,5419
01057,1,3,2015,4694
01057,1,4,2015,3319
01057,2,1,2015,8404
01057,2,2,2015,8569
01057,4,1,2015,14465
01057,4,2,2015,1899
01057,4,3,2015,289
01057,4,4,2015,64
01057,4,5,2015,61
01057,4,6,2015,195
01059,0,0,2015,31175
01059,1,1,2015,7548
01059,1,2,2015,10578
01059,1,3,2015,7948
01059,1,4,2015,5101
01059,2,1,2015,15439
01059,2,2,2015,15736
01059,4,1,2015,24399
01059,4,2,2015,1221
01059,4,3,2015,4927
01059,4,4,2015,126
01059,4,5,2015,151
01059,4,6,2015,351
01061,0,0,2015,26671
01061,1,1,2015,5856
01061,1,2,2015,8145
01061,1,3,2015,7450
01061,1,4,2015,5220
01061,2,1,2015,13112
01061,2,2,2015,13559
01061,4,1,2015,22487
01061,4,2,2015,2468
01061,4,3,2015,927
01061,4,4,2015,115
01061,4,5,2015,213
01061,4,6,2015,461
01063,0,0,2015,9011
01063,1,1,2015,1891
01063,1,2,2015,3069
01063,1,3,2015,2491
01063,1,4,2015,1560
01063,2,1,2015,4305
01063,2,2,2015,4706
01063,4,1,2015,2323
01063,4,2,2015,6462
01063,4,3,2015,124
01063,4,4,2015,26
01063,4,5,2015,17
01063,4,6,2015,59
01065,0,0,2015,15248
01065,1,1,2015,3365
01065,1,2,2015,4928
01065,1,3,2015,4238
01065,1,4,2015,2717
01065,2,1,2015,7212
01065,2,2,2015,8036
01065,4,1,2015,6660
01065,4,2,2015,8191
01065,4,3,2015,221
01065,4,4,2015,48
01065,4,5,2015,24
01065,4,6,2015,104
01067,0,0,2015,17386
01067,1,1,2015,3505
01067,1,2,2015,5440
01067,1,3,2015,4730
01067,1,4,2015,3711
01067,2,1,2015,8384
01067,2,2,2015,9002
01067,4,1,2015,12201
01067,4,2,2015,4320
01067,4,3,2015,467
01067,4,4,2015,136
01067,4,5,2015,53
01067,4,6,2015,209
01069,0,0,2015,101832
01069,1,1,2015,24273
01069,1,2,2015,32979
01069,1,3,2015,27320
01069,1,4,2015,17260
01069,2,1,2015,48663
01069,2,2,2015,53169
01069,4,1,2015,68764
01069,4,2,2015,26500
01069,4,3,2015,3479
01069,4,4,2015,970
01069,4,5,2015,410
01069,4,6,2015,1709
01071,0,0,2015,51602
01071,1,1,2015,11106
01071,1,2,2015,15666
01071,1,3,2015,14797
01071,1,4,2015,10033
01071,2,1,2015,25426
01071,2,2,2015,26176
01071,4,1,2015,46172
01071,4,2,2015,1716
01071,4,3,2015,1503
01071,4,4,2015,260
01071,4,5,2015,687
01071,4,6,2015,1264
01073,0,0,2015,636208
01073,1,1,2015,151408
01073,1,2,2015,215287
01073,1,3,2015,173595
01073,1,4,2015,95918
01073,2,1,2015,299522
01073,2,2,2015,336686
01073,4,1,2015,324272
01073,4,2,2015,269476
01073,4,3,2015,23534
01073,4,4,2015,10548
01073,4,5,2015,1476
01073,4,6,2015,6902
01075,0,0,2015,14378
01075,1,1,2015,2973
01075,1,2,2015,4535
01075,1,3,2015,3940
01075,1,4,2015,2930
01075,2,1,2015,7011
01075,2,2,2015,7367
01075,4,1,2015,12392
01075,4,2,2015,1481
01075,4,3,2015,237
01075,4,4,2015,17
01075,4,5,2015,30
01075,4,6,2015,221
01077,0,0,2015,90117
01077,1,1,2015,19196
01077,1,2,2015,28849
01077,1,3,2015,24753
01077,1,4,2015,17319
01077,2,1,2015,43134
01077,2,2,2015,46983
01077,4,1,2015,76522
01077,4,2,2015,9037
01077,4,3,2015,2207
01077,4,4,2015,773
01077,4,5,2015,381
01077,4,6,2015,1197
01079,0,0,2015,32842
01079,1,1,2015,7034
01079,1,2,2015,10201
01079,1,3,2015,9811
01079,1,4,2015,5796
01079,2,1,2015,15915
01079,2,2,2015,16927
01079,4,1,2015,25236
01079,4,2,2015,3586
01079,4,3,2015,734
01079,4,4,2015,85
01079,4,5,2015,1778
01079,4,6,2015,1423
01081,0,0,2015,151276
01081,1,1,2015,35797
01081,1,2,2015,64559
01081,1,3,2015,34348
01081,1,4,2015,16572
01081,2,1,2015,74677
01081,2,2,2015,76599
01081,4,1,2015,101908
01081,4,2,2015,35269
01081,4,3,2015,6278
01081,4,4,2015,5328
01081,4,5,2015,385
01081,4,6,2015,2108
01083,0,0,2015,90310
01083,1,1,2015,21168
01083,1,2,2015,30316
01083,1,3,2015,25704
01083,1,4,2015,13122
01083,2,1,2015,45309
01083,2,2,2015,45001
01083,4,1,2015,69782
01083,4,2,2015,11829
01083,4,3,2015,5172
01083,4,4,2015,1367
01083,4,5,2015,528
01083,4,6,2015,1632
01085,0,0,2015,10839
01085,1,1,2015,2334
01085,1,2,2015,3786
01085,1,3,2015,2837
01085,1,4,2015,1882
01085,2,1,2015,5218
01085,2,2,2015,5621
01085,4,1,2015,3358
01085,4,2,2015,7185
01085,4,3,2015,174
01085,4,4,2015,26
01085,4,5,2015,22
01085,4,6,2015,74
01087,0,0,2015,18439
01087,1,1,2015,3657
01087,1,2,2015,6569
01087,1,3,2015,4856
01087,1,4,2015,3357
01087,2,1,2015,8511
01087,2,2,2015,9928
01087,4,1,2015,3798
01087,4,2,2015,14009
01087,4,3,2015,316
01087,4,4,2015,55
01087,4,5,2015,39
01087,4,6,2015,222
01089,0,0,2015,340397
01089,1,1,2015,78237
01089,1,2,2015,112798
01089,1,3,2015,99739
01089,1,4,2015,49623
01089,2,1,2015,165642
01089,2,2,2015,174755
01089,4,1,2015,224143
01089,4,2,2015,80900
01089,4,3,2015,15947
01089,4,4,2015,9132
01089,4,5,2015,2387
01089,4,6,2015,7888
01091,0,0,2015,19850
01091,1,1,2015,4388
01091,1,2,2015,6333
01091,1,3,2015,5278
01091,1,4,2015,3851
01091,2,1,2015,9266
01091,2,2,2015,10584
01091,4,1,2015,9555
01091,4,2,2015,9455
01091,4,3,2015,556
01091,4,4,2015,68
01091,4,5,2015,55
01091,4,6,2015,161
01093,0,0,2015,29913
01093,1,1,2015,6215
01093,1,2,2015,9050
01093,1,3,2015,8422
01093,1,4,2015,6226
01093,2,1,2015,14805
01093,2,2,2015,15108
01093,4,1,2015,27360
01093,4,2,2015,1221
01093,4,3,2015,782
01093,4,4,2015,102
01093,4,5,2015,91
01093,4,6,2015,357
01095,0,0,2015,92444
01095,1,1,2015,22954
01095,1,2,2015,29110
01095,1,3,2015,24578
01095,1,4,2015,15802
01095,2,1,2015,45257
01095,2,2,2015,47187
01095,4,1,2015,75887
01095,4,2,2015,2017
01095,4,3,2015,12002
01095,4,4,2015,780
01095,4,5,2015,529
01095,4,6,2015,1229
01097,0,0,2015,399526
01097,1,1,2015,97897
01097,1,2,2015,131418
01097,1,3,2015,108110
01097,1,4,2015,62101
01097,2,1,2015,190446
01097,2,2,2015,209080
01097,4,1,2015,231640
01097,4,2,2015,139152
01097,4,3,2015,11306
01097,4,4,2015,8179
01097,4,5,2015,3506
01097,4,6,2015,5743
01099,0,0,2015,21597
01099,1,1,2015,4849
01099,1,2,2015,6594
01099,1,3,2015,6145
01099,1,4,2015,4009
01099,2,1,2015,10187
01099,2,2,2015,11410
01099,4,1,2015,12233
01099,4,2,2015,8353
01099,4,3,2015,263
01099,4,4,2015,106
01099,4,5,2015,289
01099,4,6,2015,353
01101,0,0,2015,216498
01101,1,1,2015,54039
01101,1,2,2015,76055
01101,1,3,2015,55744
01101,1,4,2015,30660
01101,2,1,2015,102204
01101,2,2,2015,114294
01101,4,1,2015,78831
01101,4,2,2015,121257
01101,4,3,2015,7271
01101,4,4,2015,5992
01101,4,5,2015,438
01101,4,6,2015,2709
01103,0,0,2015,116132
01103,1,1,2015,26875
01103,1,2,2015,36400
01103,1,3,2015,33225
01103,1,4,2015,19632
01103,2,1,2015,57020
01103,2,2,2015,59112
01103,4,1,2015,89118
01103,4,2,2015,13958
01103,4,3,2015,9121
01103,4,4,2015,928
01103,4,5,2015,894
01103,4,6,2015,2113
01105,0,0,2015,9893
01105,1,1,2015,2318
01105,1,2,2015,3480
01105,1,3,2015,2336
01105,1,4,2015,1759
01105,2,1,2015,4568
01105,2,2,2015,5325
01105,4,1,2015,3513
01105,4,2,2015,6070
01105,4,3,2015,160
01105,4,4,2015,52
01105,4,5,2015,22
01105,4,6,2015,76
01107,0,0,2015,20158
01107,1,1,2015,3979
01107,1,2,2015,6688
01107,1,3,2015,5804
01107,1,4,2015,3687
01107,2,1,2015,9903
01107,2,2,2015,10255
01107,4,1,2015,11460
01107,4,2,2015,7555
01107,4,3,2015,842
01107,4,4,2015,67
01107,4,5,2015,43
01107,4,6,2015,191
01109,0,0,2015,32744
01109,1,1,2015,7062
01109,1,2,2015,13685
01109,1,3,2015,7173
01109,1,4,2015,4824
01109,2,1,2015,15856
01109,2,2,2015,16888
01109,4,1,2015,19071
01109,4,2,2015,11522
01109,4,3,2015,742
01109,4,4,2015,734
01109,4,5,2015,208
01109,4,6,2015,467
01111,0,0,2015,22374
01111,1,1,2015,4820
01111,1,2,2015,6665
01111,1,3,2015,6333
01111,1,4,2015,4556
01111,2,1,2015,10871
01111,2,2,2015,11503
01111,4,1,2015,16965
01111,4,2,2015,4262
01111,4,3,2015,666
01111,4,4,2015,92
01111,4,5,2015,96
01111,4,6,2015,293
01113,0,0,2015,60685
01113,1,1,2015,15560
01113,1,2,2015,22489
01113,1,3,2015,14979
01113,1,4,2015,7657
01113,2,1,2015,29873
01113,2,2,2015,30812
01113,4,1,2015,30414
01113,4,2,2015,24771
01113,4,3,2015,3282
01113,4,4,2015,624
01113,4,5,2015,247
01113,4,6,2015,1347
01115,0,0,2015,85408
01115,1,1,2015,19717
01115,1,2,2015,28056
01115,1,3,2015,23739
01115,1,4,2015,13896
01115,2,1,2015,42514
01115,2,2,2015,42894
01115,4,1,2015,73224
01115,4,2,2015,8095
01115,4,3,2015,1994
01115,4,4,2015,755
01115,4,5,2015,270
01115,4,6,2015,1070
01117,0,0,2015,202169
01117,1,1,2015,49998
01117,1,2,2015,67237
01117,1,3,2015,56516
01117,1,4,2015,28418
01117,2,1,2015,98187
01117,2,2,2015,103982
01117,4,1,2015,158220
01117,4,2,2015,24518
01117,4,3,2015,11940
01117,4,4,2015,4402
01117,4,5,2015,545
01117,4,6,2015,2544
01119,0,0,2015,13202
01119,1,1,2015,2651
01119,1,2,2015,4927
01119,1,3,2015,3459
01119,1,4,2015,2165
01119,2,1,2015,5942
01119,2,2,2015,7260
01119,4,1,2015,3906
01119,4,2,2015,8942
01119,4,3,2015,187
01119,4,4,2015,67
01119,4,5,2015,20
01119,4,6,2015,80
01121,0,0,2015,78781
01121,1,1,2015,17489
01121,1,2,2015,25269
01121,1,3,2015,22542
01121,1,4,2015,13481
01121,2,1,2015,38225
01121,2,2,2015,40556
01121,4,1,2015,50298
01121,4,2,2015,24938
01121,4,3,2015,1845
01121,4,4,2015,341
01121,4,5,2015,253
01121,4,6,2015,1106
01123,0,0,2015,40377
01123,1,1,2015,8451
01123,1,2,2015,11854
01123,1,3,2015,11801
01123,1,4,2015,8271
01123,2,1,2015,19626
01123,2,2,2015,20751
01123,4,1,2015,28155
01123,4,2,2015,10488
01123,4,3,2015,975
01123,4,4,2015,197
01123,4,5,2015,150
01123,4,6,2015,412
01125,0,0,2015,194550
01125,1,1,2015,45920
01125,1,2,2015,78420
01125,1,3,2015,45947
01125,1,4,2015,24263
01125,2,1,2015,93770
01125,2,2,2015,100780
01125,4,1,2015,122711
01125,4,2,2015,59671
01125,4,3,2015,6446
01125,4,4,2015,3046
01125,4,5,2015,474
01125,4,6,2015,2202
01127,0,0,2015,63548
01127,1,1,2015,14080
01127,1,2,2015,19272
01127,1,3,2015,18015
01127,1,4,2015,12181
01127,2,1,2015,30838
01127,2,2,2015,32710
01127,4,1,2015,56696
01127,4,2,2015,3950
01127,4,3,2015,1572
01127,4,4,2015,261
01127,4,5,2015,272
01127,4,6,2015,797
01129,0,0,2015,16699
01129,1,1,2015,3505
01129,1,2,2015,5427
01129,1,3,2015,4833
01129,1,4,2015,2934
01129,2,1,2015,8101
01129,2,2,2015,8598
01129,4,1,2015,11200
01129,4,2,2015,3782
01129,4,3,2015,267
01129,4,4,2015,35
01129,4,5,2015,1201
01129,4,6,2015,214
01131,0,0,2015,11339
01131,1,1,2015,2619
01131,1,2,2015,3756
01131,1,3,2015,2919
01131,1,4,2015,2045
01131,2,1,2015,5397
01131,2,2,2015,5942
01131,4,1,2015,3780
01131,4,2,2015,7300
01131,4,3,2015,146
01131,4,4,2015,19
01131,4,5,2015,18
01131,4,6,2015,76
01133,0,0,2015,24074
01133,1,1,2015,4930
01133,1,2,2015,7239
01133,1,3,2015,6924
01133,1,4,2015,4981
01133,2,1,2015,11847
01133,2,2,2015,12227
01133,4,1,2015,22589
01133,4,2,2015,222
01133,4,3,2015,706
01133,4,4,2015,70
01133,4,5,2015,158
01133,4,6,2015,329
02013,0,0,2015,3564
02013,1,1,2015,369
02013,1,2,2015,1725
02013,1,3,2015,1224
02013,1,4,2015,246
02013,2,1,2015,2452
02013,2,2,2015,1112
02013,4,1,2015,403
02013,4,2,2015,408
02013,4,3,2015,459
02013,4,4,2015,1438
02013,4,5,2015,748
02013,4,6,2015,108
02016,0,0,2015,5900
02016,1,1,2015,717
02016,1,2,2015,2708
02016,1,3,2015,2134
02016,1,4,2015,341
02016,2,1,2015,3973
02016,2,2,2015,1927
02016,4,1,2015,1516
02016,4,2,2015,431
02016,4,3,2015,828
02016,4,4,2015,2076
02016,4,5,2015,822
02016,4,6,2015,227
02020,0,0,2015,292989
02020,1,1,2015,74618
02020,1,2,2015,116800
02020,1,3,2015,73289
02020,1,4,2015,28282
02020,2,1,2015,150698
02020,2,2,2015,142291
02020,4,1,2015,173898
02020,4,2,2015,17002
02020,4,3,2015,26677
02020,4,4,2015,33538
02020,4,5,2015,21832
02020,4,6,2015,20042
02050,0,0,2015,17522
02050,1,1,2015,6449
02050,1,2,2015,5994
02050,1,3,2015,3854
02050,1,4,2015,1225
02050,2,1,2015,9019
02050,2,2,2015,8503
02050,4,1,2015,2111
02050,4,2,2015,167
02050,4,3,2015,360
02050,4,4,2015,218
02050,4,5,2015,14010
02050,4,6,2015,656
02060,0,0,2015,1150
02060,1,1,2015,194
02060,1,2,2015,529
02060,1,3,2015,326
02060,1,4,2015,101
02060,2,1,2015,634
02060,2,2,2015,516
02060,4,1,2015,435
02060,4,2,2015,2
02060,4,3,2015,45
02060,4,4,2015,15
02060,4,5,2015,495
02060,4,6,2015,158
02068,0,0,2015,2147
02068,1,1,2015,341
02068,1,2,2015,924
02068,1,3,2015,703
02068,1,4,2015,179
02068,2,1,2015,1161
02068,2,2,2015,986
02068,4,1,2015,1600
02068,4,2,2015,44
02068,4,3,2015,89
02068,4,4,2015,85
02068,4,5,2015,238
02068,4,6,2015,91
02070,0,0,2015,5053
02070,1,1,2015,1614
02070,1,2,2015,1753
02070,1,3,2015,1269
02070,1,4,2015,417
02070,2,1,2015,2589
02070,2,2,2015,2464
02070,4,1,2015,899
02070,4,2,2015,38
02070,4,3,2015,169
02070,4,4,2015,50
02070,4,5,2015,3451
02070,4,6,2015,446
02090,0,0,2015,97190
02090,1,1,2015,24162
02090,1,2,2015,42758
02090,1,3,2015,21976
02090,1,4,2015,8294
02090,2,1,2015,52852
02090,2,2,2015,44338
02090,4,1,2015,68559
02090,4,2,2015,5080
02090,4,3,2015,8057
02090,4,4,2015,3418
02090,4,5,2015,6680
02090,4,6,2015,5396
02100,0,0,2015,2750
02100,1,1,2015,498
02100,1,2,2015,867
02100,1,3,2015,924
02100,1,4,2015,461
02100,2,1,2015,1340
02100,2,2,2015,1410
02100,4,1,2015,1972
02100,4,2,2015,19
02100,4,3,2015,74
02100,4,4,2015,28
02100,4,5,2015,422
02100,4,6,2015,235
02105,0,0,2015,2281
02105,1,1,2015,415
02105,1,2,2015,747
02105,1,3,2015,749
02105,1,4,2015,370
02105,2,1,2015,1212
02105,2,2,2015,1069
02105,4,1,2015,1037
02105,4,2,2015,13
02105,4,3,2015,110
02105,4,4,2015,17
02105,4,5,2015,901
02105,4,6,2015,203
02110,0,0,2015,31949
02110,1,1,2015,7183
02110,1,2,2015,11573
02110,1,3,2015,9547
02110,1,4,2015,3646
02110,2,1,2015,16322
02110,2,2,2015,15627
02110,4,1,2015,20803
02110,4,2,2015,521
02110,4,3,2015,2114
02110,4,4,2015,2274
02110,4,5,2015,3582
02110,4,6,2015,2655
02122,0,0,2015,56112
02122,1,1,2015,13178
02122,1,2,2015,17142
02122,1,3,2015,17144
02122,1,4,2015,8648
02122,2,1,2015,29316
02122,2,2,2015,26796
02122,4,1,2015,45460
02122,4,2,2015,490
02122,4,3,2015,2321
02122,4,4,2015,926
02122,4,5,2015,3960
02122,4,6,2015,2955
02130,0,0,2015,13590
02130,1,1,2015,3068
02130,1,2,2015,4525
02130,1,3,2015,4179
02130,1,4,2015,1818
02130,2,1,2015,7100
02130,2,2,2015,6490
02130,4,1,2015,8720
02130,4,2,2015,128
02130,4,3,2015,695
02130,4,4,2015,1046
02130,4,5,2015,1851
02130,4,6,2015,1150
02150,0,0,2015,13922
02150,1,1,2015,3636
02150,1,2,2015,5389
02150,1,3,2015,3653
02150,1,4,2015,1244
02150,2,1,2015,7556
02150,2,2,2015,6366
02150,4,1,2015,7038
02150,4,2,2015,214
02150,4,3,2015,1230
02150,4,4,2015,2873
02150,4,5,2015,1793
02150,4,6,2015,774
02164,0,0,2015,1827
