MeasureId,MeasureType,CAHPSQuestionType
AV_COMP_01,Overall,
AV_06_Rate,Individual,HOWOFN4F
AV_08_Rate,Individual,HOWOFN4F
AV_10_Rate,Individual,HOWOFN4F
AV_12_Rate,Individual,HOWOFN4F
AV_13_Rate,Individual,HOWOFN4F
AV_COMP_02,Overall,
AV_16_Rate,Individual,DEFINITE
AV_17_Rate,Individual,DEFINITE
AV_19_Rate,Individual,DEFINITE
AV_20_Rate,Individual,DEFINITE
AV_21_Rate,Individual,DEFINITE
AV_22_Rate,Individual,DEFINITE
AV_COMP_03,Overall,
AV_27_Rate,Individual,DEFINITE
AV_28_Rate,Individual,DEFINITE
AV_COMP_04,Overall,
AV_24_Rate,Individual,YESNO
AV_COMP_05,Overall,
AV_25_Rate,Individual,RATEDOCT
AV_COMP_06,Overall,
AV_26_Rate,Individual,DEFINITE
AV_COMP_Overall,Overall,
CD_COMP_01,Overall,
CD_38_Rate,Individual,YESNO
CD_39_Rate,Individual,YESNO
CD_40_Rate,Individual,YESNO
CD_41_Rate,Individual,YESNO
CD_44_Rate,Individual,YESNO
CD_47_Rate,Individual,YESNO
CD_COMP_02,Overall,
CD_42_Rate,Individual,YESNO
CD_43_Rate,Individual,YESNO
CD_45_Rate,Individual,YESNO
CD_46_Rate,Individual,YESNO
CD_48_Rate,Individual,YESNO
CD_COMP_Overall,Overall,
AV_CD_Comp_Overall,Overall,
