ProviderID,Year,CostToChargeRatio
'010001',2001,0.32441
'010001',2002,0.31598
'010001',2003,0.32931
'010001',2004,0.30580
'010001',2005,0.29430
'010001',2006,0.29692
'010001',2007,0.27436
'010001',2008,0.26027
'010001',2009,0.24827
'010001',2010,0.22461
'010005',2001,0.00000
'010005',2002,0.42024
'010005',2003,0.41067
'010005',2004,0.00000
'010005',2005,0.00000
'010005',2006,0.38690
'010005',2007,0.00000
'010005',2008,0.42211
'010005',2009,0.48643
'010005',2010,0.43426
'010006',2001,0.00000
'010006',2002,0.30940
'010006',2003,0.26970
'010006',2004,0.24313
'010006',2005,0.24697
'010006',2006,0.24716
'010006',2007,0.00000
'010006',2008,0.22557
'010006',2009,0.24112
'010006',2010,0.23376
'010007',2001,0.45512
'010007',2002,0.45188
'010007',2003,0.43023
'010007',2004,0.41647
'010007',2005,0.49502
'010007',2006,0.52851
'010007',2007,0.47781
'010007',2008,0.47443
'010007',2009,0.43015
'010007',2010,0.44411
'010008',2001,0.00000
'010008',2002,0.51085
'010008',2003,0.45551
'010008',2004,0.00000
'010008',2005,0.46771
'010008',2006,0.52259
'010008',2007,0.51572
'010008',2008,0.51598
'010008',2009,0.47109
'010008',2010,0.47584
'010009',2001,0.00000
'010009',2002,0.30659
'010009',2003,0.00000
'010009',2004,0.25244
'010009',2005,0.00000
'010009',2006,0.00000
'010009',2007,0.00000
'010009',2008,0.20145
'010009',2009,0.18761
'010009',2010,0.18578
'010010',2001,0.45823
'010010',2002,0.46790
'010010',2003,0.43791
'010010',2004,0.40870
'010010',2005,0.39460
'010010',2006,0.40300
'010010',2007,0.00000
'010010',2008,0.43917
'010010',2009,0.48373
'010010',2010,0.41208
'010011',2001,0.30772
'010011',2002,0.31986
'010011',2003,0.30884
'010011',2004,0.31584
'010011',2005,0.34793
'010011',2006,0.33507
'010011',2007,0.33024
'010011',2008,0.31321
'010011',2009,0.33986
'010012',2001,0.33777
'010012',2002,0.28641
'010012',2003,0.28128
'010012',2004,0.29554
'010012',2005,0.31661
'010012',2006,0.29811
'010012',2007,0.27052
'010012',2008,0.27853
'010012',2009,0.22264
'010012',2010,0.22538
'010015',2001,0.58341
'010015',2002,0.66748
'010015',2003,0.71376
'010015',2004,0.49702
'010015',2005,0.45302
'010015',2006,0.54697
'010015',2007,0.50541
'010015',2008,0.00000
'010015',2009,0.52532
'010015',2010,0.63827
'010016',2001,0.36438
'010016',2002,0.29629
'010016',2003,0.26822
'010016',2004,0.25623
'010016',2005,0.23067
'010016',2006,0.21589
'010016',2007,0.21343
'010016',2008,0.20164
'010016',2009,0.19128
'010016',2010,0.19481
'010019',2001,0.46206
'010019',2002,0.42551
'010019',2003,0.45911
'010019',2004,0.41347
'010019',2005,0.42303
'010019',2006,0.41033
'010019',2007,0.42593
'010019',2008,0.41045
'010019',2009,0.39707
'010019',2010,0.38546
'010021',2001,0.42185
'010021',2002,0.38782
'010021',2003,0.39787
'010021',2004,0.40175
'010021',2005,0.41069
'010021',2006,0.46588
'010021',2007,0.43358
'010021',2008,0.43972
'010021',2009,0.44389
'010021',2010,0.46076
'010022',2001,0.51946
'010022',2002,0.44186
'010022',2003,0.39027
'010022',2004,0.39379
'010022',2005,0.36712
'010022',2006,0.00000
'010022',2007,0.00000
'010022',2008,0.31517
'010022',2009,0.29237
'010022',2010,0.27344
'010023',2001,0.40329
'010023',2002,0.35310
'010023',2003,0.26341
'010023',2004,0.24884
'010023',2005,0.24698
'010023',2006,0.23924
'010023',2007,0.23247
'010023',2008,0.23615
'010023',2009,0.24275
'010024',2001,0.33816
'010024',2002,0.32671
'010024',2003,0.33189
'010024',2004,0.34200
'010024',2005,0.32443
'010024',2006,0.29570
'010024',2007,0.27078
'010024',2008,0.26968
'010024',2009,0.25922
'010024',2010,0.27596
'010025',2001,0.54485
'010025',2002,0.55831
'010025',2003,0.56765
'010025',2004,0.56212
'010025',2005,0.53028
'010025',2006,0.52861
'010025',2007,0.55808
'010025',2008,0.58810
'010025',2009,0.63398
'010025',2010,0.62959
'010027',2001,0.93306
'010027',2002,1.00822
'010027',2003,0.96878
'010027',2004,0.99624
'010027',2005,0.00000
'010027',2006,0.00000
'010027',2007,0.00000
'010027',2008,0.00000
'010027',2009,0.93398
'010027',2010,1.00828
'010029',2001,0.56166
'010029',2002,0.54130
'010029',2003,0.52772
'010029',2004,0.52538
'010029',2005,0.53525
'010029',2006,0.00000
'010029',2007,0.50817
'010029',2008,0.51268
'010029',2009,0.50689
'010029',2010,0.51804
'010032',2001,0.00000
'010032',2002,0.00000
'010032',2003,0.00000
'010032',2004,0.00000
'010032',2005,0.67735
'010032',2006,0.59875
'010032',2007,0.56469
'010032',2008,0.53589
'010032',2009,0.49410
'010032',2010,0.40537
'010033',2001,0.34692
'010033',2002,0.34501
'010033',2003,0.32899
'010033',2004,0.31839
'010033',2005,0.32478
'010033',2006,0.31161
'010033',2007,0.29861
'010033',2008,0.29717
'010033',2009,0.28033
'010033',2010,0.25478
'010034',2001,0.51912
'010034',2002,0.53183
'010034',2003,0.60940
'010034',2004,0.55366
'010034',2005,0.60461
'010034',2006,0.55148
'010034',2007,0.55904
'010034',2008,0.51600
'010034',2009,0.53545
'010034',2010,0.53666
'010035',2001,0.40134
'010035',2002,0.36393
'010035',2003,0.34101
'010035',2004,0.32876
'010035',2005,0.00000
'010035',2006,0.00000
'010035',2007,0.00000
'010035',2008,0.29765
'010035',2009,0.28511
'010035',2010,0.28722
'010036',2001,0.31556
'010036',2002,0.27952
'010036',2003,0.23216
'010036',2004,0.25992
'010036',2005,0.25280
'010036',2006,0.25954
'010036',2007,0.25525
'010036',2008,0.28726
'010036',2009,0.29290
'010036',2010,0.32342
'010038',2001,0.21657
'010038',2002,0.00000
'010038',2003,0.00000
'010038',2004,0.00000
'010038',2005,0.18456
'010038',2006,0.00000
'010038',2007,0.17232
'010038',2008,0.16120
'010038',2009,0.15878
'010039',2001,0.34950
'010039',2002,0.30978
'010039',2003,0.27585
'010039',2004,0.26425
'010039',2005,0.24831
'010039',2006,0.23729
'010039',2007,0.23282
'010039',2008,0.24020
'010039',2009,0.22830
'010039',2010,0.21318
'010040',2001,0.26158
'010040',2002,0.20676
'010040',2003,0.00000
'010040',2004,0.00000
'010040',2005,0.00000
'010040',2006,0.00000
'010040',2007,0.00000
'010040',2008,0.00000
'010040',2009,0.12604
'010040',2010,0.12677
'010043',2001,0.53364
'010043',2002,0.51708
'010043',2003,0.56038
'010043',2004,0.49726
'010043',2005,0.51042
'010043',2006,0.46430
'010043',2007,0.45218
'010043',2008,0.44745
'010043',2009,0.48966
'010044',2001,0.52139
'010044',2002,0.50941
'010044',2003,0.47715
'010044',2004,0.59185
'010044',2005,0.00000
'010044',2006,0.00000
'010044',2007,0.60372
'010044',2008,0.66772
'010044',2009,0.54258
'010044',2010,0.52820
'010045',2001,0.50219
'010045',2002,0.51219
'010045',2003,0.55121
'010045',2004,0.52145
'010045',2005,0.49609
'010045',2006,0.50156
'010045',2007,0.51825
'010045',2008,0.51037
'010045',2009,0.49413
'010045',2010,0.49256
'010046',2001,0.00000
'010046',2002,0.00000
'010046',2003,0.00000
'010046',2004,0.00000
'010046',2005,0.00000
'010046',2006,0.00000
'010046',2007,0.15189
'010046',2008,0.14402
'010046',2009,0.14800
'010047',2001,0.65433
'010047',2002,0.75421
'010047',2003,0.61389
'010047',2004,0.67441
'010047',2005,0.74717
'010047',2006,0.78366
'010047',2007,0.81895
'010047',2008,0.00000
'010047',2009,0.62886
'010047',2010,0.68351
'010049',2001,0.33474
'010049',2002,0.31148
'010049',2003,0.25168
'010049',2004,0.21966
'010049',2005,0.21155
'010049',2006,0.20051
'010049',2007,0.18959
'010049',2008,0.18312
'010049',2009,0.17912
'010049',2010,0.19207
'010050',2001,0.43030
'010050',2002,0.40742
'010050',2003,0.42372
'010050',2004,0.42663
'010050',2005,0.41941
'010050',2006,0.43599
'010050',2007,0.38688
'010050',2008,0.40110
'010050',2009,0.42330
'010050',2010,0.41637
'010051',2001,0.00000
'010051',2002,0.00000
'010051',2003,0.00000
'010051',2004,0.00000
'010051',2005,0.00000
'010051',2006,0.00000
'010051',2007,0.93170
'010051',2008,0.96515
'010051',2009,0.87891
'010051',2010,0.87857
'010052',2001,0.41144
'010052',2002,0.55906
'010052',2003,0.53445
'010052',2004,0.60410
'010052',2005,0.51774
'010052',2006,0.54476
'010052',2007,0.51573
'010052',2008,0.60492
'010052',2009,0.74200
'010052',2010,0.60471
'010053',2001,0.47665
'010053',2002,0.48753
'010053',2003,0.50309
'010053',2004,0.51636
'010053',2005,0.00000
'010053',2006,0.00000
'010053',2007,0.00000
'010053',2008,0.00000
'010053',2009,0.00000
'010054',2001,0.28558
'010054',2002,0.25424
'010054',2003,0.23015
