DRGID,CostToChargeRatio,Year
1,0.94742,2011
2,0.96491,2011
3,0.96063,2011
4,0.97728,2011
5,0.88623,2011
6,0.86501,2011
7,0.96491,2011
8,0.96491,2011
9,0.95161,2011
10,0.96491,2011
11,0.96491,2011
12,0.99414,2011
13,1.00563,2011
20,0.94039,2011
21,0.96491,2011
22,0.96491,2011
23,0.92936,2011
24,0.94584,2011
25,0.95464,2011
26,0.95677,2011
27,0.94298,2011
28,0.97015,2011
29,0.97606,2011
30,0.98982,2011
31,0.98235,2011
32,0.97561,2011
33,0.97244,2011
34,0.96491,2011
35,0.96491,2011
36,0.91459,2011
37,0.96491,2011
38,0.96716,2011
39,0.96161,2011
40,0.96539,2011
41,0.97333,2011
42,0.95483,2011
52,0.96491,2011
53,0.96491,2011
54,0.92625,2011
55,0.90639,2011
56,1.11574,2011
57,1.28707,2011
58,0.96491,2011
59,0.9527,2011
60,0.91848,2011
61,0.96491,2011
62,0.96491,2011
63,0.96491,2011
64,0.96181,2011
65,0.95272,2011
66,0.89824,2011
67,0.96491,2011
68,0.88136,2011
69,0.87522,2011
70,0.98114,2011
71,0.99882,2011
72,0.89509,2011
73,0.98213,2011
74,0.9455,2011
75,0.96491,2011
76,0.94289,2011
77,0.96491,2011
78,0.96491,2011
79,0.96491,2011
80,0.96491,2011
81,0.96491,2011
82,0.92671,2011
83,0.94474,2011
84,0.87546,2011
85,0.96759,2011
86,0.9624,2011
87,0.92277,2011
88,0.96491,2011
89,0.85737,2011
90,0.81486,2011
91,0.96929,2011
92,0.96339,2011
93,0.91084,2011
94,0.96491,2011
95,0.96491,2011
96,0.96491,2011
97,0.96491,2011
98,0.96491,2011
99,0.96491,2011
100,0.95008,2011
101,0.91708,2011
102,0.96491,2011
103,0.90454,2011
113,0.96491,2011
114,0.96491,2011
115,0.96491,2011
116,0.96491,2011
117,0.96491,2011
121,0.96491,2011
122,0.96491,2011
123,0.85787,2011
124,0.96491,2011
125,0.9716,2011
129,0.97251,2011
130,0.96491,2011
131,0.96503,2011
132,0.96525,2011
133,0.98639,2011
134,0.99618,2011
135,0.96491,2011
136,0.96491,2011
137,0.96491,2011
138,0.96491,2011
139,0.96491,2011
146,0.96491,2011
147,0.96491,2011
148,0.96491,2011
149,0.89303,2011
150,0.96491,2011
151,0.96491,2011
152,0.97603,2011
153,1.01136,2011
154,0.96491,2011
155,0.98072,2011
156,0.98313,2011
157,0.96491,2011
158,0.97481,2011
159,0.97273,2011
163,0.9898,2011
164,1.00854,2011
165,1.00451,2011
166,0.96314,2011
167,0.95668,2011
168,0.95818,2011
175,0.98703,2011
176,0.99369,2011
177,1.00178,2011
178,1.00387,2011
179,0.996,2011
180,0.94227,2011
181,0.92499,2011
182,0.96491,2011
183,0.96491,2011
184,0.91039,2011
185,0.96491,2011
186,0.97615,2011
187,0.9541,2011
188,0.96491,2011
189,1.01363,2011
190,1.00631,2011
191,1.00383,2011
192,0.99849,2011
193,0.99188,2011
194,0.98447,2011
195,0.9862,2011
196,0.96491,2011
197,0.96491,2011
198,0.96491,2011
199,0.96491,2011
200,0.98424,2011
201,1.0283,2011
202,1.02316,2011
203,1.0581,2011
204,0.92085,2011
205,0.97588,2011
206,0.92703,2011
207,0.97241,2011
208,0.96589,2011
215,0.96491,2011
216,0.95857,2011
217,0.96147,2011
218,0.96491,2011
219,0.95343,2011
220,0.9581,2011
221,0.94174,2011
222,0.96491,2011
223,0.96175,2011
224,0.96491,2011
225,0.93946,2011
226,0.9687,2011
227,0.96131,2011
228,0.93323,2011
229,0.9361,2011
230,0.93713,2011
231,0.96491,2011
232,0.96491,2011
233,0.95866,2011
234,0.95419,2011
235,0.9661,2011
236,0.966,2011
237,0.94352,2011
238,0.94615,2011
239,0.99319,2011
240,1.0141,2011
241,0.96491,2011
242,0.97991,2011
243,0.96136,2011
244,0.95084,2011
245,0.96702,2011
246,0.90513,2011
247,0.88003,2011
248,0.91702,2011
249,0.88266,2011
250,0.92944,2011
251,0.90071,2011
252,0.95666,2011
253,0.95155,2011
254,0.92559,2011
255,0.96491,2011
256,0.96491,2011
257,0.96491,2011
258,0.96491,2011
259,0.96491,2011
260,0.96491,2011
261,0.96491,2011
262,0.96491,2011
263,0.96491,2011
264,0.98591,2011
265,0.96491,2011
280,0.98244,2011
281,0.94911,2011
282,0.91176,2011
283,0.94195,2011
284,0.96491,2011
285,0.96491,2011
286,0.94931,2011
287,0.88728,2011
288,0.96491,2011
289,0.96491,2011
290,0.96491,2011
291,1.0131,2011
292,1.01238,2011
293,0.99545,2011
294,0.96491,2011
295,0.96491,2011
296,0.96491,2011
297,0.96491,2011
298,0.96491,2011
299,0.99743,2011
300,1.01962,2011
301,1.02762,2011
302,0.96243,2011
303,0.9169,2011
304,0.96491,2011
305,0.92877,2011
306,0.96491,2011
307,0.99635,2011
308,1.00394,2011
309,0.99448,2011
310,0.9727,2011
311,0.88728,2011
312,0.91509,2011
313,0.86313,2011
314,0.97912,2011
315,0.98111,2011
316,0.93699,2011
326,0.97427,2011
327,1.00346,2011
328,0.99338,2011
329,0.96878,2011
330,0.99715,2011
331,1.00116,2011
332,0.96491,2011
333,1.01766,2011
334,1.01791,2011
335,0.97469,2011
336,0.98804,2011
337,0.98179,2011
338,0.96491,2011
339,0.94158,2011
340,0.92752,2011
341,0.96491,2011
342,0.89444,2011
343,0.87407,2011
344,0.96491,2011
345,1.0436,2011
346,1.03579,2011
347,0.96491,2011
348,0.99309,2011
349,0.99077,2011
350,0.96491,2011
351,0.96491,2011
352,0.97057,2011
353,0.96491,2011
