USPS,GEOID,SSA,NAME
AL,01001,000,Autauga County
AL,01003,010,Baldwin County
AL,01005,020,Barbour County
AL,01007,030,Bibb County
AL,01009,040,Blount County
AL,01011,050,Bullock County
AL,01013,060,Butler County
AL,01015,070,Calhoun County
AL,01017,080,Chambers County
AL,01019,090,Cherokee County
AL,01021,100,Chilton County
AL,01023,110,Choctaw County
AL,01025,120,Clarke County
AL,01027,130,Clay County
AL,01029,140,Cleburne County
AL,01031,150,Coffee County
AL,01033,160,Colbert County
AL,01035,170,Conecuh County
AL,01037,180,Coosa County
AL,01039,190,Covington County
AL,01041,200,Crenshaw County
AL,01043,210,Cullman County
AL,01045,220,Dale County
AL,01047,230,Dallas County
AL,01049,,DeKalb County
AL,01051,250,Elmore County
AL,01053,,Escambia County
AL,01055,270,Etowah County
AL,01057,280,Fayette County
AL,01059,290,Franklin County
AL,01061,300,Geneva County
AL,01063,310,Greene County
AL,01065,320,Hale County
AL,01067,330,Henry County
AL,01069,340,Houston County
AL,01071,350,Jackson County
AL,01073,360,Jefferson County
AL,01075,370,Lamar County
AL,01077,380,Lauderdale County
AL,01079,390,Lawrence County
AL,01081,400,Lee County
AL,01083,410,Limestone County
AL,01085,420,Lowndes County
AL,01087,430,Macon County
AL,01089,440,Madison County
AL,01091,450,Marengo County
AL,01093,460,Marion County
AL,01095,470,Marshall County
AL,01097,480,Mobile County
AL,01099,490,Monroe County
AL,01101,500,Montgomery County
AL,01103,510,Morgan County
AL,01105,520,Perry County
AL,01107,530,Pickens County
AL,01109,540,Pike County
AL,01111,550,Randolph County
AL,01113,560,Russell County
AL,01115,570,St. Clair County
AL,01117,580,Shelby County
AL,01119,590,Sumter County
AL,01121,,Talladega County
AL,01123,610,Tallapoosa County
AL,01125,620,Tuscaloosa County
AL,01127,630,Walker County
AL,01129,640,Washington County
AL,01131,650,Wilcox County
AL,01133,660,Winston County
AK,02013,,Aleutians East Borough
AK,02016,,Aleutians West Census Area
AK,02020,020,Anchorage Municipality
AK,02050,050,Bethel Census Area
AK,02060,,Bristol Bay Borough
AK,02068,,Denali Borough
AK,02070,,Dillingham Census Area
AK,02090,090,Fairbanks North Star Borough
AK,02100,,Haines Borough
AK,02105,,Hoonah-Angoon Census Area
AK,02110,110,Juneau City and Borough
AK,02122,210,Kenai Peninsula Borough
AK,02130,130,Ketchikan Gateway Borough
AK,02150,150,Kodiak Island Borough
