CCSID,NumEdVisits,NumEdVisitsStdErr,NumAdmitHosp,NumAdmitHospStdErr,DiedEd,DiedEdStdErr,DiedHosp,DiedHospStdErr
0,123574363,3652668,18403103,674226,194904,10096,522263,24799
1,5218,313,4554,285,-1,-1,162,27
2,832764,25561,804424,25223,2496,151,119233,3770
3,46634,2331,5507,404,-1,-1,168,37
4,327602,11270,21076,777,-1,-1,982,83
5,55733,3244,42680,2530,58,17,2592,182
6,49401,1759,33922,1432,-1,-1,1330,113
7,1321906,57084,49036,2279,-1,-1,159,27
8,212538,7617,14244,627,-1,-1,127,26
9,46283,3185,2154,160,-1,-1,-1,-1
10,159019,9830,-1,-1,-1,-1,-1,-1
11,10253,450,6915,334,73,18,511,53
12,7118,284,5795,258,-1,-1,608,55
13,10935,446,9993,416,-1,-1,979,81
14,34205,1004,30846,927,55,15,2155,120
15,11147,395,9655,357,-1,-1,564,60
16,12300,554,10031,492,86,20,1161,86
17,19292,778,16541,715,96,21,1867,126
18,8147,363,7636,352,-1,-1,542,52
19,79694,2466,65964,2243,452,51,8734,383
20,800,73,733,70,-1,-1,-1,-1
21,4260,246,2968,181,-1,-1,203,34
22,1286,166,541,62,-1,-1,102,26
23,2469,141,954,75,-1,-1,-1,-1
24,10979,496,6112,283,58,15,614,61
25,4005,259,3177,230,-1,-1,209,36
26,3652,206,2672,169,-1,-1,163,29
27,7798,335,6207,284,-1,-1,443,48
28,1091,90,790,70,-1,-1,-1,-1
29,8354,426,5178,353,-1,-1,321,39
30,1027,88,635,66,-1,-1,-1,-1
31,239,38,159,28,-1,-1,-1,-1
32,10703,412,9162,377,-1,-1,375,47
33,6887,307,5483,275,-1,-1,281,39
34,398,50,336,45,-1,-1,-1,-1
35,18302,1142,15609,1013,-1,-1,663,63
36,1055,94,806,80,-1,-1,70,18
37,2436,182,1809,152,-1,-1,81,23
38,22607,1026,18728,879,-1,-1,1704,115
39,23705,1467,18352,1176,89,23,2283,175
40,9315,495,8082,454,-1,-1,692,67
41,3717,237,2441,160,-1,-1,196,45
42,119295,4814,110586,4626,88,25,10541,533
43,6702,283,4421,209,-1,-1,574,59
44,31842,960,18545,665,-1,-1,558,59
45,4160,824,2618,741,-1,-1,68,20
46,42620,2138,8928,642,-1,-1,-1,-1
47,53716,1605,23747,1037,-1,-1,174,31
48,41588,1566,13343,517,-1,-1,104,23
49,324142,10757,16177,871,-1,-1,-1,-1
50,801315,19999,428906,12090,121,24,2528,138
51,91553,2626,38770,1186,-1,-1,433,50
52,8953,430,6657,314,-1,-1,261,41
53,4871,657,558,63,-1,-1,-1,-1
54,201273,5556,17445,713,-1,-1,-1,-1
55,926295,25591,355784,9207,640,56,4982,220
56,2862,355,1843,277,-1,-1,-1,-1
57,1312,143,624,68,-1,-1,-1,-1
58,82487,2782,39540,1656,-1,-1,960,73
59,279903,7618,158764,4631,79,18,1636,107
60,26169,974,23329,905,-1,-1,283,43
61,204018,14034,81710,6066,-1,-1,283,42
62,65500,2063,24015,921,-1,-1,598,58
63,61636,2397,37984,1913,-1,-1,701,65
64,4953,204,3139,158,-1,-1,60,18
76,42622,1942,33675,1611,-1,-1,251,40
77,7404,364,6534,336,-1,-1,232,33
78,6396,335,5507,311,-1,-1,183,36
79,14323,545,7863,373,-1,-1,70,18
80,29907,1139,16204,780,-1,-1,-1,-1
81,72360,2013,25956,1223,-1,-1,366,46
82,12822,701,4702,252,-1,-1,-1,-1
83,1091695,29989,215558,7079,218,36,1315,93
84,3104518,71267,59848,2452,-1,-1,-1,-1
85,97117,4149,17822,1085,1070,104,1912,127
86,4495,1280,104,23,-1,-1,-1,-1
87,18590,4837,2750,222,-1,-1,-1,-1
88,10772,2762,477,54,-1,-1,-1,-1
89,100318,4471,5094,242,-1,-1,-1,-1
90,853210,31996,12985,630,-1,-1,-1,-1
91,331175,32170,4674,259,-1,-1,-1,-1
92,1874114,58914,7514,494,-1,-1,-1,-1
93,1105471,25683,68522,2698,-1,-1,-1,-1
94,719946,22888,5367,278,-1,-1,-1,-1
95,1522338,52736,175224,5811,132,33,3295,190
96,27260,1087,20663,954,-1,-1,715,75
97,63197,2039,45982,1638,194,36,1289,88
98,723377,23134,67180,2794,132,33,65,17
99,262964,10101,185750,6925,167,32,2602,148
100,530567,14491,442988,14375,4893,259,25513,886
101,495513,14976,333682,11995,938,176,1487,96
102,4345422,115205,570399,21977,754,77,320,40
103,170461,5104,153741,4780,416,49,4801,242
104,9678,491,5188,279,258,64,104,25
105,50235,1744,37033,1293,138,39,670,65
106,1416536,35086,562822,16441,1486,111,6094,241
107,168818,4344,14204,608,135768,3996,7779,407
108,973094,23978,783774,20975,1547,134,23338,770
109,601662,15730,483425,14518,2132,135,40220,1685
110,21946,982,18954,868,-1,-1,127,26
111,21376,916,12419,672,-1,-1,110,22
112,276133,7468,169049,5773,-1,-1,194,34
113,20803,896,14342,622,-1,-1,150,27
114,94680,2769,73362,2375,115,24,4096,187
115,41429,1516,24151,1229,1160,94,3941,208
116,22341,754,16958,652,-1,-1,857,73
117,266106,6665,110704,3591,366,43,1399,93
118,260372,7158,123632,3981,-1,-1,949,90
119,33111,944,1572,132,-1,-1,-1,-1
120,194982,4894,28205,957,-1,-1,78,21
121,59356,1732,15659,654,-1,-1,359,48
122,1713892,40209,858969,20622,1224,104,28735,898
123,138524,7795,10296,871,-1,-1,89,22
124,380053,17016,16746,807,-1,-1,-1,-1
125,1501670,58288,113198,8506,-1,-1,151,26
126,5531017,168722,49708,2645,-1,-1,-1,-1
127,1897151,48977,573282,15938,461,60,7238,302
128,1935555,76378,325356,12353,127,27,874,74
129,163696,5191,157714,5120,228,34,16019,683
