CCSID,NumEdVisits,NumAdmitHosp,DiedEd,DiedHosp,NumEdVisitsStdErr,NumAdmitHospStdErr,DiedEd,DiedHospStdErr
0,137807901,19435011,190374,505262,3424993,632522,6307,16753
1,5461,4649,-1,185,111,-1,-1,-1
2,1405463,1349965,3225,147439,2513,-1,271,-1
3,48283,5366,-1,193,3047,-1,-1,-1
4,360999,18976,-1,812,13112,-1,-1,-1
5,53095,35449,65,1928,2628,-1,19,-1
6,54386,37866,-1,1396,631,-1,-1,-1
7,1626485,48985,-1,201,65251,-1,-1,-1
8,256766,13709,-1,124,9345,-1,-1,-1
9,54907,2842,-1,-1,4276,-1,-1,-1
10,205060,721,-1,-1,11754,-1,-1,-1
11,11394,7412,60,509,230,-1,18,-1
12,6837,5389,60,534,100,-1,17,-1
13,11736,10293,-1,790,115,-1,-1,-1
14,36410,31420,63,1686,316,-1,17,-1
15,12491,10643,-1,464,138,-1,-1,-1
16,14433,11487,89,1134,158,-1,20,-1
17,22488,18458,82,1512,212,-1,19,-1
18,8411,7656,-1,390,66,-1,-1,-1
19,78181,62120,372,6842,607,-1,43,-1
20,720,532,-1,-1,33,-1,-1,-1
21,4767,3278,-1,195,117,-1,-1,-1
22,1434,656,-1,95,68,-1,-1,-1
23,3286,1191,-1,-1,205,-1,-1,-1
24,13833,7345,112,843,476,-1,24,-1
25,5318,3974,-1,292,108,-1,-1,-1
26,4054,2650,-1,107,148,-1,-1,-1
27,8734,6626,-1,475,137,-1,-1,-1
28,1162,818,-1,-1,46,-1,-1,-1
29,8720,5172,-1,270,242,-1,-1,-1
30,1045,605,-1,-1,50,-1,-1,-1
31,285,186,-1,-1,26,-1,-1,-1
32,11496,9221,-1,357,156,-1,-1,-1
33,7899,5978,-1,296,138,-1,-1,-1
34,549,427,-1,-1,28,-1,-1,-1
35,18717,15409,-1,542,207,-1,-1,-1
36,1107,697,-1,74,51,-1,-1,-1
37,2284,1659,-1,77,85,-1,-1,-1
38,23271,19511,-1,1482,218,-1,-1,-1
39,25213,18301,70,1855,361,-1,18,-1
40,9737,7842,-1,610,138,-1,-1,-1
41,3738,2319,-1,121,109,-1,-1,-1
42,121600,109141,146,8411,524,-1,28,-1
43,7798,4861,-1,442,162,-1,-1,-1
44,34012,18257,-1,501,542,-1,-1,-1
45,4888,2287,-1,81,382,-1,-1,-1
46,56670,7982,-1,-1,3027,-1,-1,-1
47,60480,21744,-1,184,1415,-1,-1,-1
48,51471,13944,-1,111,1594,-1,-1,-1
49,371185,11752,108,-1,12799,-1,26,-1
50,819637,446041,254,2420,10971,-1,36,-1
51,101494,42925,67,468,2020,-1,20,-1
52,9404,6767,-1,168,144,-1,-1,-1
53,6240,972,-1,-1,451,-1,-1,-1
54,214146,14944,-1,-1,5772,-1,-1,-1
55,1089760,331586,659,3564,19067,-1,60,-1
56,3414,2087,-1,-1,122,-1,-1,-1
57,1824,811,-1,-1,95,-1,-1,-1
58,107482,41687,99,989,2035,-1,23,-1
59,324745,152107,143,1743,5471,-1,27,-1
60,46130,39091,-1,353,321,-1,-1,-1
61,246596,88942,-1,211,14897,-1,-1,-1
62,68461,22115,-1,470,1604,-1,-1,-1
63,70538,37582,-1,554,1188,-1,-1,-1
64,6352,3736,-1,82,147,-1,-1,-1
76,33482,25943,-1,210,411,-1,-1,-1
77,8389,7332,-1,232,79,-1,-1,-1
78,7146,5902,-1,136,95,-1,-1,-1
79,15186,7117,-1,67,314,-1,-1,-1
80,35680,19626,-1,-1,621,-1,-1,-1
81,77029,24265,-1,356,1323,-1,-1,-1
82,14894,5357,-1,-1,400,-1,-1,-1
83,1135573,197207,198,1373,25086,-1,31,-1
84,3174138,50659,-1,-1,81555,-1,-1,-1
85,77506,11841,808,1527,2559,-1,85,-1
86,3001,122,-1,-1,377,-1,-1,-1
87,15636,2786,-1,-1,719,-1,-1,-1
88,9308,532,-1,-1,547,-1,-1,-1
89,121397,5168,-1,-1,3460,-1,-1,-1
90,815080,10348,-1,-1,26086,-1,-1,-1
91,330150,5318,-1,-1,11951,-1,-1,-1
92,1593027,5953,-1,-1,53696,-1,-1,-1
93,1260172,48140,-1,-1,33350,-1,-1,-1
94,700376,4586,-1,-1,22379,-1,-1,-1
95,1833973,194452,227,3460,50658,-1,37,-1
96,31370,23473,-1,790,346,-1,-1,-1
97,67490,43884,146,1005,797,-1,26,-1
98,831977,48210,139,82,25744,-1,27,-1
99,336272,215311,217,2991,7041,-1,47,-1
100,560223,454705,4790,23241,3353,-1,233,-1
101,392003,222675,696,1288,5702,-1,100,-1
102,4703012,300928,-1,252,139813,-1,-1,-1
103,193176,162605,496,4764,1022,-1,53,-1
104,11614,7091,177,109,303,-1,46,-1
105,55346,38486,100,687,588,-1,22,-1
106,1524359,520712,1532,5698,26337,-1,116,-1
107,170251,17586,132414,9255,4642,-1,4458,-1
108,998700,771598,1115,20489,6488,-1,90,-1
109,665962,520397,2475,36059,3681,-1,148,-1
110,19941,15353,-1,56,289,-1,-1,-1
111,22988,9233,-1,67,579,-1,-1,-1
112,269156,126267,-1,126,4419,-1,-1,-1
113,22177,13546,-1,155,507,-1,-1,-1
114,96270,69149,137,2978,824,-1,28,-1
115,46255,24475,1035,3235,591,-1,81,-1
116,24591,17301,-1,803,281,-1,-1,-1
117,285685,95052,494,1328,4605,-1,55,-1
118,290076,108879,-1,766,5260,-1,-1,-1
119,38443,1272,-1,-1,1263,-1,-1,-1
120,203552,26432,-1,115,5373,-1,-1,-1
121,68850,15865,-1,254,1770,-1,-1,-1
122,1571428,731920,989,20480,21073,-1,76,-1
123,782665,71970,-1,1102,23783,-1,-1,-1
124,316355,13555,-1,-1,12067,-1,-1,-1
125,1420965,92019,-1,122,44478,-1,-1,-1
126,5802239,45707,-1,-1,182503,-1,-1,-1
127,2011535,527572,370,5242,41655,-1,46,-1
128,1955609,295887,91,955,66386,-1,25,-1
129,142485,134777,204,10855,285,-1,30,-1
130,231995,78871,181,2087,4438,-1,31,-1
