RegionType,RegionID,CatID,CatVal,Year,Population
1,1,0,0,2012,2279026
1,1,1,1,2012,536949
1,1,1,2,2012,810903
1,1,1,3,2012,610476
1,1,1,4,2012,320698
1,1,2,1,2012,1100487
1,1,2,2,2012,1178539
1,1,4,1,2012,1585452
1,1,4,2,2012,540935
1,1,4,3,2012,97128
1,1,4,4,2012,22549
1,1,4,5,2012,7585
1,1,4,6,2012,25377
1,2,0,0,2012,373067
1,2,1,1,2012,85972
1,2,1,2,2012,128530
1,2,1,3,2012,100694
1,2,1,4,2012,57871
1,2,2,1,2012,185992
1,2,2,2,2012,187075
1,2,4,1,2012,257970
1,2,4,2,2012,88330
1,2,4,3,2012,14487
1,2,4,4,2012,3174
1,2,4,5,2012,1314
1,2,4,6,2012,7792
1,5,0,0,2012,631209
1,5,1,1,2012,147360
1,5,1,2,2012,222671
1,5,1,3,2012,175608
1,5,1,4,2012,85570
1,5,2,1,2012,310867
1,5,2,2,2012,320342
1,5,4,1,2012,462216
1,5,4,2,2012,109071
1,5,4,3,2012,30629
1,5,4,4,2012,10598
1,5,4,5,2012,5042
1,5,4,6,2012,13653
1,6,0,0,2012,828344
1,6,1,1,2012,203324
1,6,1,2,2012,286991
1,6,1,3,2012,222879
1,6,1,4,2012,115150
1,6,2,1,2012,403249
1,6,2,2,2012,425095
1,6,4,1,2012,550028
1,6,4,2,2012,224237
1,6,4,3,2012,24992
1,6,4,4,2012,11579
1,6,4,5,2012,6471
1,6,4,6,2012,11037
1,7,0,0,2012,470907
1,7,1,1,2012,115413
1,7,1,2,2012,174798
1,7,1,3,2012,121133
1,7,1,4,2012,59563
1,7,2,1,2012,226939
1,7,2,2,2012,243968
1,7,4,1,2012,245537
1,7,4,2,2012,197010
1,7,4,3,2012,13372
1,7,4,4,2012,6676
1,7,4,5,2012,1538
1,7,4,6,2012,6774
1,9,0,0,2012,264217
1,9,1,1,2012,61540
1,9,1,2,2012,104797
1,9,1,3,2012,64881
1,9,1,4,2012,32999
1,9,2,1,2012,128432
1,9,2,2,2012,135785
1,9,4,1,2012,163491
1,9,4,2,2012,88857
1,9,4,3,2012,6647
1,9,4,4,2012,2725
1,9,4,5,2012,448
1,9,4,6,2012,2049
1,10,0,0,2012,710522
1,10,1,1,2012,186194
1,10,1,2,2012,273232
1,10,1,3,2012,195398
1,10,1,4,2012,55698
1,10,2,1,2012,369663
1,10,2,2,2012,340859
1,10,4,1,2012,454223
1,10,4,2,2012,22640
1,10,4,3,2012,40343
1,10,4,4,2012,44570
1,10,4,5,2012,96922
1,10,4,6,2012,51824
1,11,0,0,2012,1379425
1,11,1,1,2012,353197
1,11,1,2,2012,537712
1,11,1,3,2012,316616
1,11,1,4,2012,171900
1,11,2,1,2012,690079
1,11,2,2,2012,689346
1,11,4,1,2012,912005
1,11,4,2,2012,50866
1,11,4,3,2012,303131
1,11,4,4,2012,58789
1,11,4,5,2012,24906
1,11,4,6,2012,29728
1,12,0,0,2012,3422666
1,12,1,1,2012,907622
1,12,1,2,2012,1262548
1,12,1,3,2012,841142
1,12,1,4,2012,411354
1,12,2,1,2012,1714829
1,12,2,2,2012,1707837
1,12,4,1,2012,1860907
1,12,4,2,2012,151486
1,12,4,3,2012,1111793
1,12,4,4,2012,90398
1,12,4,5,2012,148004
1,12,4,6,2012,60078
1,14,0,0,2012,279081
1,14,1,1,2012,49590
1,14,1,2,2012,67845
1,14,1,3,2012,65629
1,14,1,4,2012,96017
1,14,2,1,2012,130454
1,14,2,2,2012,148627
1,14,4,1,2012,215997
1,14,4,2,2012,8063
1,14,4,3,2012,43243
1,14,4,4,2012,5499
1,14,4,5,2012,1821
1,14,4,6,2012,4458
1,15,0,0,2012,1225862
1,15,1,1,2012,287015
1,15,1,2,2012,426545
1,15,1,3,2012,316441
1,15,1,4,2012,195861
1,15,2,1,2012,606208
1,15,2,2,2012,619654
1,15,4,1,2012,664997
1,15,4,2,2012,38417
1,15,4,3,2012,444900
1,15,4,4,2012,29368
1,15,4,5,2012,25935
1,15,4,6,2012,22245
1,16,0,0,2012,375101
1,16,1,1,2012,93667
1,16,1,2,2012,125516
1,16,1,3,2012,99545
1,16,1,4,2012,56373
1,16,2,1,2012,185610
1,16,2,2,2012,189491
1,16,4,1,2012,291103
1,16,4,2,2012,10554
1,16,4,3,2012,27051
1,16,4,4,2012,7581
1,16,4,5,2012,14613
1,16,4,6,2012,24199
1,18,0,0,2012,238631
1,18,1,1,2012,59301
1,18,1,2,2012,85432
1,18,1,3,2012,59100
1,18,1,4,2012,34798
1,18,2,1,2012,116293
1,18,2,2,2012,122338
1,18,4,1,2012,208330
1,18,4,2,2012,16647
1,18,4,3,2012,8237
1,18,4,4,2012,1378
1,18,4,5,2012,696
1,18,4,6,2012,3343
1,19,0,0,2012,1559800
1,19,1,1,2012,368940
1,19,1,2,2012,547111
1,19,1,3,2012,412557
1,19,1,4,2012,231192
1,19,2,1,2012,763055
1,19,2,2,2012,796745
1,19,4,1,2012,1135574
1,19,4,2,2012,310543
1,19,4,3,2012,69447
1,19,4,4,2012,15322
1,19,4,5,2012,5606
1,19,4,6,2012,23308
1,21,0,0,2012,540305
1,21,1,1,2012,143186
1,21,1,2,2012,205205
1,21,1,3,2012,126431
1,21,1,4,2012,65483
1,21,2,1,2012,267920
1,21,2,2,2012,272385
1,21,4,1,2012,417354
1,21,4,2,2012,9540
1,21,4,3,2012,73439
1,21,4,4,2012,16151
1,21,4,5,2012,10205
1,21,4,6,2012,13616
1,22,0,0,2012,263997
1,22,1,1,2012,65365
1,22,1,2,2012,89147
1,22,1,3,2012,70025
1,22,1,4,2012,39460
1,22,2,1,2012,129736
1,22,2,2,2012,134261
1,22,4,1,2012,176964
1,22,4,2,2012,55306
1,22,4,3,2012,19382
1,22,4,4,2012,1316
