HSANumber,HSACity,HSAState
1001,Alabaster,AL
1002,Alexander City,AL
1003,Andalusia,AL
1004,Anniston,AL
1006,Ashland,AL
1007,Athens,AL
1008,Atmore,AL
1010,Bessemer,AL
1011,Birmingham,AL
1012,Boaz,AL
1013,Brewton,AL
1014,Bridgeport,AL
1016,Camden,AL
1017,Carrollton,AL
1018,Centre,AL
1019,Centreville,AL
1022,Cullman,AL
1023,Dadeville,AL
1024,Decatur,AL
1025,Demopolis,AL
1026,Dothan,AL
1027,Elba,AL
1028,Enterprise,AL
1029,Eufaula,AL
1031,Evergreen,AL
1032,Fairhope,AL
1033,Fayette,AL
1035,Florala,AL
1036,Florence,AL
1037,Foley,AL
1038,Fort Payne,AL
1039,Gadsden,AL
1040,Geneva,AL
1044,Greenville,AL
1045,Grove Hill,AL
1046,Guntersville,AL
1047,Haleyville,AL
1048,Hamilton,AL
1049,Hartselle,AL
1051,Huntsville,AL
1053,Jacksonville,AL
1054,Jasper,AL
1056,Luverne,AL
1057,Mobile,AL
1058,Monroeville,AL
1059,Montgomery,AL
1060,Moulton,AL
1061,Muscle Shoals/Sheffield,AL
1063,Oneonta,AL
1064,Opelika,AL
1065,Opp,AL
1066,Ozark,AL
1068,Phenix City,AL
1070,Prattville,AL
1071,Red Bay,AL
1072,Roanoke,AL
1073,Russellville,AL
1074,Scottsboro,AL
1075,Selma,AL
1077,Sylacauga,AL
1078,Talladega,AL
1079,Tallassee,AL
1080,Thomasville,AL
1081,Troy,AL
1082,Tuscaloosa,AL
1083,Union Springs,AL
1084,Valley,AL
1085,Vernon,AL
1086,Wedowee,AL
1088,Winfield,AL
2001,Anchorage,AK
2002,Cordova,AK
2003,Fairbanks,AK
2004,Homer,AK
2005,Juneau,AK
2006,Ketchikan,AK
2007,Kodiak,AK
2008,Nome,AK
2009,Palmer,AK
2010,Petersburg,AK
2011,Seward,AK
2012,Sitka,AK
2013,Soldotna,AK
2014,Valdez,AK
2015,Wrangell,AK
2016,Barrow,AK
2017,Bethel,AK
2018,Dillingham,AK
2019,Kotzebue,AK
3002,Bisbee,AZ
3003,Bullhead City,AZ
3004,Casa Grande,AZ
3005,Chandler,AZ
3006,Cottonwood,AZ
3007,Douglas,AZ
3008,Flagstaff,AZ
3009,Florence,AZ
3010,Ganado,AZ
3014,Kingman,AZ
3015,Lake Havasu City,AZ
3016,Mesa,AZ
3019,Page,AZ
3020,Parker,AZ
3021,Payson,AZ
3022,Phoenix,AZ
3023,Prescott,AZ
3024,Safford,AZ
3025,Scottsdale,AZ
3026,Show Low,AZ
3027,Sierra Vista,AZ
3028,Springerville,AZ
3029,Sun City,AZ
3032,Tucson,AZ
3033,Wickenburg,AZ
3034,Willcox,AZ
3035,Winslow,AZ
3037,Yuma,AZ
3038,Chinle,AZ
3040,Keams Canyon,AZ
3042,San Carlos,AZ
3044,Tuba City,AZ
3047,Claypool,AZ
4001,Arkadelphia,AR
4002,Ashdown,AR
4003,Batesville,AR
4004,Benton,AR
4005,Bentonville,AR
4006,Berryville,AR
4007,Blytheville,AR
4008,Booneville,AR
4010,Calico Rock,AR
4011,Camden,AR
4012,Cherokee Village,AR
4013,Clarksville,AR
4015,Conway,AR
4017,Crossett,AR
4018,Danville,AR
4019,Dardanelle,AR
4020,De Queen,AR
4021,De Witt,AR
4023,Dumas,AR
4024,El Dorado,AR
4025,Eureka Springs,AR
4026,Fayetteville,AR
4027,Fordyce,AR
4028,Forrest City,AR
4029,Fort Smith,AR
4030,Gravette,AR
4031,Harrison,AR
4032,Heber Springs,AR
4033,Helena,AR
4034,Hope,AR
4035,Hot Springs,AR
4038,Jacksonville,AR
4039,Jonesboro,AR
4040,Lake Village,AR
4041,Little Rock,AR
4042,Magnolia,AR
4043,Malvern,AR
4045,McGehee,AR
4046,Mena,AR
4047,Monticello,AR
4048,Morrilton,AR
4049,Mountain Home,AR
4050,Mountain View,AR
4051,Murfreesboro,AR
4052,Nashville,AR
4053,Newport,AR
4054,North Little Rock,AR
4055,Osceola,AR
4056,Ozark,AR
4057,Paragould,AR
4059,Piggott,AR
4060,Pine Bluff,AR
4061,Pocahontas,AR
4062,Prescott,AR
4063,Rogers,AR
4064,Russellville,AR
4065,Salem,AR
4066,Searcy,AR
4067,Siloam Springs,AR
4068,Springdale,AR
4069,Stuttgart,AR
4070,Texarkana,AR
4072,Waldron,AR
4074,Warren,AR
4075,West Memphis,AR
4076,Wynne,AR
5001,Alameda,CA
5003,Alturas,CA
5004,Anaheim,CA
5005,Antioch,CA
5006,Apple Valley,CA
5007,Arcadia,CA
5008,Arcata,CA
5009,Arroyo Grande,CA
5012,Auburn,CA
5013,Avalon,CA
5015,Bakersfield,CA
5017,Banning,CA
5018,Barstow,CA
5019,Bellflower,CA
5020,Berkeley,CA
5021,Big Bear Lake,CA
5022,Bishop,CA
5023,Blythe,CA
5024,Brawley,CA
5028,Burbank,CA
5029,Burlingame,CA
5031,Camarillo,CA
5032,Canoga Park,CA
5033,Carmichael,CA
5034,Castro Valley,CA
5035,Cedarville,CA
5036,Chester,CA
5037,Chico,CA
5038,Chino,CA
5040,Chula Vista,CA
5041,Clearlake,CA
5043,Coalinga,CA
5044,Colusa,CA
5045,Concord,CA
5046,Corcoran,CA
5047,Corona,CA
5048,Coronado,CA
5050,Covina,CA
5051,Crescent City,CA
5052,Culver City,CA
5053,Daly City,CA
5054,Davis,CA
5055,Deer Park,CA
5056,Delano,CA
5057,Dinuba,CA
5059,Downey,CA
5060,Duarte,CA
5062,El Centro,CA
5063,Encinitas,CA
5064,Encino,CA
5065,Escondido,CA
5066,Eureka,CA
5068,Fairfield,CA
5069,Fall River Mills,CA
5070,Fallbrook,CA
5071,Folsom,CA
5072,Fontana,CA
