RegionType,RegionID,CatID,CatVal,Year,Population
2,1001,0,0,2012,110168
2,1001,1,1,2012,27761
2,1001,1,2,2012,41722
2,1001,1,3,2012,27796
2,1001,1,4,2012,12889
2,1001,2,1,2012,53499
2,1001,2,2,2012,56669
2,1001,4,1,2012,85118
2,1001,4,2,2012,14900
2,1001,4,3,2012,8134
2,1001,4,4,2012,503
2,1001,4,5,2012,296
2,1001,4,6,2012,1217
2,1002,0,0,2012,23676
2,1002,1,1,2012,5492
2,1002,1,2,2012,7745
2,1002,1,3,2012,6556
2,1002,1,4,2012,3883
2,1002,2,1,2012,11319
2,1002,2,2,2012,12357
2,1002,4,1,2012,14518
2,1002,4,2,2012,7926
2,1002,4,3,2012,954
2,1002,4,4,2012,0
2,1002,4,5,2012,14
2,1002,4,6,2012,264
2,1003,0,0,2012,24482
2,1003,1,1,2012,5326
2,1003,1,2,2012,7597
2,1003,1,3,2012,6958
2,1003,1,4,2012,4601
2,1003,2,1,2012,12221
2,1003,2,2,2012,12261
2,1003,4,1,2012,20407
2,1003,4,2,2012,3343
2,1003,4,3,2012,281
2,1003,4,4,2012,149
2,1003,4,5,2012,102
2,1003,4,6,2012,200
2,1004,0,0,2012,102450
2,1004,1,1,2012,24146
2,1004,1,2,2012,34630
2,1004,1,3,2012,28536
2,1004,1,4,2012,15138
2,1004,2,1,2012,49380
2,1004,2,2,2012,53070
2,1004,4,1,2012,74255
2,1004,4,2,2012,21928
2,1004,4,3,2012,3718
2,1004,4,4,2012,573
2,1004,4,5,2012,254
2,1004,4,6,2012,1722
2,1006,0,0,2012,11731
2,1006,1,1,2012,2565
2,1006,1,2,2012,3751
2,1006,1,3,2012,3266
2,1006,1,4,2012,2149
2,1006,2,1,2012,5678
2,1006,2,2,2012,6053
2,1006,4,1,2012,9308
2,1006,4,2,2012,1854
2,1006,4,3,2012,401
2,1006,4,4,2012,0
2,1006,4,5,2012,25
2,1006,4,6,2012,143
2,1007,0,0,2012,65660
2,1007,1,1,2012,14685
2,1007,1,2,2012,24051
2,1007,1,3,2012,18309
2,1007,1,4,2012,8615
2,1007,2,1,2012,33146
2,1007,2,2,2012,32514
2,1007,4,1,2012,51723
2,1007,4,2,2012,8475
2,1007,4,3,2012,4263
2,1007,4,4,2012,257
2,1007,4,5,2012,188
2,1007,4,6,2012,754
2,1008,0,0,2012,19203
2,1008,1,1,2012,4302
