ICD9,CCSID
'01000',1
'01001',1
'01002',1
'01003',1
'01004',1
'01005',1
'01006',1
'01010',1
'01011',1
'01012',1
'01013',1
'01014',1
'01015',1
'01016',1
'01080',1
'01081',1
'01082',1
'01083',1
'01084',1
'01085',1
'01086',1
'01090',1
'01091',1
'01092',1
'01093',1
'01094',1
'01095',1
'01096',1
'01100',1
'01101',1
'01102',1
'01103',1
'01104',1
'01105',1
'01106',1
'01110',1
'01111',1
'01112',1
'01113',1
'01114',1
'01115',1
'01116',1
'01120',1
'01121',1
'01122',1
'01123',1
'01124',1
'01125',1
'01126',1
'01130',1
'01131',1
'01132',1
'01133',1
'01134',1
'01135',1
'01136',1
'01140',1
'01141',1
'01142',1
'01143',1
'01144',1
'01145',1
'01146',1
'01150',1
'01151',1
'01152',1
'01153',1
'01154',1
'01155',1
'01156',1
'01160',1
'01161',1
'01162',1
'01163',1
'01164',1
'01165',1
'01166',1
'01170',1
'01171',1
'01172',1
'01173',1
'01174',1
'01175',1
'01176',1
'01180',1
'01181',1
'01182',1
'01183',1
'01184',1
'01185',1
'01186',1
'01190',1
'01191',1
'01192',1
'01193',1
'01194',1
'01195',1
'01196',1
'01200',1
'01201',1
'01202',1
'01203',1
'01204',1
'01205',1
'01206',1
'01210',1
'01211',1
'01212',1
'01213',1
'01214',1
'01215',1
'01216',1
'01220',1
'01221',1
'01222',1
'01223',1
'01224',1
'01225',1
'01226',1
'01230',1
'01231',1
'01232',1
'01233',1
'01234',1
'01235',1
'01236',1
'01280',1
'01281',1
'01282',1
'01283',1
'01284',1
'01285',1
'01286',1
'01300',1
'01301',1
'01302',1
'01303',1
'01304',1
'01305',1
'01306',1
'01310',1
'01311',1
'01312',1
'01313',1
'01314',1
'01315',1
'01316',1
'01320',1
'01321',1
'01322',1
'01323',1
'01324',1
'01325',1
'01326',1
'01330',1
'01331',1
'01332',1
'01333',1
'01334',1
'01335',1
'01336',1
'01340',1
'01341',1
'01342',1
'01343',1
'01344',1
'01345',1
'01346',1
'01350',1
'01351',1
'01352',1
'01353',1
'01354',1
'01355',1
'01356',1
'01360',1
'01361',1
'01362',1
'01363',1
'01364',1
'01365',1
'01366',1
'01380',1
'01381',1
'01382',1
'01383',1
'01384',1
'01385',1
'01386',1
'01390',1
'01391',1
'01392',1
'01393',1
'01394',1
'01395',1
'01396',1
'01400',1
'01401',1
'01402',1
'01403',1
'01404',1
'01405',1
'01406',1
'01480',1
'01481',1
'01482',1
'01483',1
'01484',1
'01485',1
'01486',1
'01500',1
'01501',1
'01502',1
'01503',1
'01504',1
'01505',1
'01506',1
'01510',1
'01511',1
'01512',1
'01513',1
'01514',1
'01515',1
'01516',1
'01520',1
'01521',1
'01522',1
'01523',1
'01524',1
'01525',1
'01526',1
'01550',1
'01551',1
'01552',1
'01553',1
'01554',1
'01555',1
'01556',1
'01560',1
'01561',1
'01562',1
'01563',1
'01564',1
'01565',1
'01566',1
'01570',1
'01571',1
'01572',1
'01573',1
'01574',1
'01575',1
'01576',1
'01580',1
'01581',1
'01582',1
'01583',1
'01584',1
'01585',1
'01586',1
'01590',1
'01591',1
'01592',1
'01593',1
'01594',1
'01595',1
'01596',1
'01600',1
'01601',1
'01602',1
'01603',1
'01604',1
'01605',1
'01606',1
'01610',1
'01611',1
'01612',1
'01613',1
'01614',1
'01615',1
'01616',1
'01620',1
'01621',1
'01622',1
'01623',1
'01624',1
'01625',1
'01626',1
'01630',1
'01631',1
'01632',1
'01633',1
'01634',1
'01635',1
'01636',1
'01640',1
'01641',1
'01642',1
'01643',1
'01644',1
'01645',1
'01646',1
'01650',1
'01651',1
'01652',1
'01653',1
'01654',1
'01655',1
'01656',1
'01660',1
'01661',1
'01662',1
'01663',1
'01664',1
'01665',1
'01666',1
'01670',1
'01671',1
'01672',1
'01673',1
'01674',1
'01675',1
'01676',1
'01690',1
'01691',1
'01692',1
'01693',1
'01694',1
'01695',1
'01696',1
'01700',1
'01701',1
'01702',1
'01703',1
'01704',1
'01705',1
'01706',1
'01710',1
'01711',1
'01712',1
'01713',1
'01714',1
'01715',1
'01716',1
'01720',1
'01721',1
'01722',1
'01723',1
'01724',1
'01725',1
'01726',1
'01730',1
'01731',1
'01732',1
'01733',1
'01734',1
'01735',1
'01736',1
'01740',1
'01741',1
