ICD9,CCSID
0121,1
0122,1
0123,1
0124,1
0125,1
0131,1
0101,1
0109,1
0126,1
0127,1
0128,1
0132,1
0139,1
0141,1
0142,1
0151,1
0152,1
0153,1
0159,1
0231,2
0232,2
0233,2
0234,2
0235,2
0239,2
0242,2
0243,2
805 ,3
8050,3
8051,3
8059,3
0302,3
0309,3
8459,3
8460,3
8461,3
8462,3
8463,3
8464,3
8465,3
8466,3
8467,3
8468,3
8469,3
8480,3
8481,3
8482,3
8483,3
8484,3
8485,3
0331,4
038 ,5
0390,5
0391,5
0392,5
0393,5
0394,5
0443,6
0444,6
0449,6
0111,7
0112,7
0113,7
0114,7
0115,7
0118,7
0119,7
0332,7
0339,7
0411,7
0412,7
0419,7
0511,7
0519,7
0102,8
0241,8
0295,8
0321,8
0395,8
0396,8
0480,8
0481,8
0489,8
0531,8
0532,8
0539,8
0120,9
0129,9
016 ,9
0201,9
0202,9
0203,9
0204,9
0205,9
0206,9
0207,9
0211,9
0212,9
0213,9
0214,9
022 ,9
0221,9
0222,9
0291,9
0292,9
0293,9
0294,9
0296,9
0299,9
0301,9
031 ,9
0329,9
034 ,9
0351,9
0352,9
0353,9
0359,9
036 ,9
0371,9
0372,9
0379,9
0397,9
0398,9
0399,9
0401,9
0402,9
0403,9
0404,9
0405,9
0406,9
0407,9
042 ,9
043 ,9
0441,9
0442,9
045 ,9
046 ,9
0471,9
0472,9
0473,9
0474,9
0475,9
0476,9
0479,9
0491,9
0492,9
0493,9
0499,9
050 ,9
0521,9
0522,9
0523,9
0524,9
0525,9
0529,9
0581,9
0589,9
059 ,9
1761,9
8053,9
8054,9
8458,9
8694,9
8695,9
8696,9
8697,9
8698,9
062 ,10
0631,10
0639,10
064 ,10
0650,10
0651,10
0652,10
066 ,10
0611,11
0612,11
0613,11
0619,11
0700,11
0701,11
0702,11
0711,11
0712,11
0713,11
0714,11
0715,11
0716,11
0717,11
0719,11
0751,11
0771,11
0791,11
0601,12
0602,12
0609,12
067 ,12
0681,12
0689,12
0691,12
0692,12
0693,12
0694,12
0695,12
0698,12
0699,12
0721,12
0722,12
0729,12
073 ,12
0741,12
0742,12
0743,12
0744,12
0745,12
0749,12
0752,12
0753,12
0754,12
0759,12
0761,12
0762,12
0763,12
0764,12
0765,12
0768,12
0769,12
0772,12
0779,12
0780,12
0781,12
0782,12
0783,12
0784,12
0792,12
0793,12
0794,12
0795,12
0798,12
0799,12
1160,13
1161,13
1162,13
1163,13
1164,13
1169,13
1251,14
1252,14
1253,14
1254,14
1255,14
1259,14
1261,14
1262,14
1263,14
1264,14
1265,14
1266,14
1267,14
1269,14
1271,14
1272,14
1273,14
1274,14
1279,14
1370,15
1371,15
1372,15
1341,15
1359,15
1311,15
1319,15
132 ,15
133 ,15
1342,15
1343,15
1351,15
1361,15
1362,15
1363,15
1364,15
1365,15
1366,15
1369,15
138 ,15
139 ,15
1390,15
1391,15
1431,16
1432,16
1433,16
1434,16
1435,16
1439,16
1441,16
1449,16
1451,16
1452,16
1453,16
1454,16
1455,16
1459,16
1421,17
1422,17
1423,17
1424,17
1425,17
1426,17
1427,17
1429,17
0811,18
0819,18
0911,18
0912,18
0919,18
1021,18
1029,18
1121,18
1122,18
1129,18
1221,18
1222,18
1229,18
1411,18
1419,18
1501,18
1509,18
1621,18
1622,18
1623,18
1629,18
0801,19
0802,19
0809,19
0820,19
0821,19
0822,19
0823,19
0824,19
0825,19
0831,19
0832,19
0833,19
0834,19
0835,19
0836,19
0837,19
0838,19
0841,19
0842,19
0843,19
0844,19
0849,19
0851,19
0852,19
0859,19
0861,19
0862,19
0863,19
0864,19
0869,19
0870,19
0871,19
0872,19
0873,19
0874,19
0881,19
0882,19
0883,19
0884,19
0885,19
0886,19
0887,19
0889,19
0891,19
0892,19
0893,19
0899,19
090 ,19
0920,19
0921,19
0922,19
0923,19
093 ,19
0941,19
0942,19
0943,19
0944,19
0949,19
0951,19
0952,19
0953,19
0959,19
096 ,19
0971,19
0972,19
0973,19
0981,19
0982,19
0983,19
0991,19
0999,19
100 ,19
101 ,19
1031,19
1032,19
1033,19
1041,19
1042,19
1043,19
1044,19
1049,19
105 ,19
106 ,19
1091,19
1099,19
110 ,19
111 ,19
1131,19
1132,19
1139,19
1141,19
1142,19
1143,19
1149,19
1151,19
1152,19
1153,19
1159,19
1171,19
1172,19
1173,19
1174,19
1175,19
1176,19
1179,19
1191,19
1192,19
1199,19
9651,19
9731,19
1200,20
1201,20
1202,20
1211,20
1212,20
1213,20
1214,20
1231,20
1232,20
1233,20
1234,20
1235,20
1239,20
1240,20
1241,20
1242,20
1243,20
1244,20
1281,20
1282,20
1283,20
1284,20
1285,20
1286,20
1287,20
1288,20
1289,20
1291,20
1292,20
1293,20
1297,20
1298,20
1299,20
1300,20
1301,20
1302,20
1400,20
1401,20
1402,20
146 ,20
1471,20
1472,20
1473,20
1474,20
1475,20
1479,20
1481,20
1482,20
1483,20
149 ,20
1511,21
1512,21
1513,21
1519,21
1521,21
1522,21
1529,21
153 ,21
154 ,21
155 ,21
156 ,21
157 ,21
159 ,21
1601,21
1602,21
1609,21
161 ,21
1631,21
1639,21
1641,21
1642,21
1649,21
1651,21
1652,21
1659,21
1661,21
1662,21
1663,21
1664,21
1665,21
1666,21
1669,21
1671,21
1672,21
1681,21
1682,21
1689,21
1691,21
1692,21
1693,21
1698,21
1699,21
194 ,22
1952,22
1953,22
1954,22
1955,22
196 ,22
2001,23
2009,23
2041,24
2042,24
2049,24
1811,25
1812,25
1819,25
2031,25
2032,25
2039,25
1801,26
1802,26
1809,26
1821,26
1829,26
1831,26
1839,26
184 ,26
185 ,26
186 ,26
1871,26
1872,26
1879,26
189 ,26
190 ,26
1911,26
1919,26
1921,26
1929,26
193 ,26
199 ,26
201 ,26
2021,26
2022,26
2023,26
2051,26
2059,26
2061,26
2062,26
2071,26
2072,26
2079,26
208 ,26
2091,26
2092,26
2093,26
2094,26
2095,26
2096,26
2097,26
2098,26
2099,26
9611,26
9652,26
2100,27
2101,27
2102,27
2103,27
2104,27
2105,27
2106,27
2107,27
2109,27
215 ,28
2181,28
2182,28
2183,28
2184,28
2185,28
2186,28
2187,28
2188,28
2189,28
2301,29
2309,29
2311,29
2319,29
232 ,29
233 ,29
2341,29
2342,29
2343,29
2349,29
235 ,29
236 ,29
2370,29
2371,29
2372,29
2373,29
244 ,29
245 ,29
246 ,29
247 ,29
248 ,29
2491,29
2499,29
9654,29
9722,29
9733,29
9734,29
9735,29
9997,29
282 ,30
283 ,30
286 ,30
287 ,30
2211,31
2212,31
2219,31
2121,31
2122,31
2129,31
2411,31
2412,31
2419,31
2501,31
2502,31
2509,31
2611,31
2612,31
2619,31
2721,31
2722,31
2723,31
2724,31
2729,31
2811,31
2819,31
2911,31
2912,31
2919,31
2200,32
2201,32
2202,32
222 ,32
211 ,32
2130,32
2131,32
2132,32
2171,32
2191,32
240 ,32
2431,32
2432,32
2439,32
2551,32
2591,32
2592,32
2593,32
260 ,32
2691,32
2741,32
2751,32
2752,32
2791,32
2991,32
9621,32
9653,32
9721,32
9732,32
2231,33
2239,33
2241,33
2242,33
2250,33
2251,33
2252,33
2253,33
2260,33
2261,33
2262,33
2263,33
2264,33
2271,33
2279,33
2630,33
2631,33
2632,33
2754,33
2762,33
280 ,33
214 ,33
2161,33
2162,33
2169,33
2172,33
2199,33
229 ,33
242 ,33
251 ,33
252 ,33
253 ,33
254 ,33
2559,33
2594,33
2599,33
2621,33
2629,33
2641,33
2642,33
2649,33
2699,33
270 ,33
271 ,33
2731,33
2732,33
2742,33
2743,33
2749,33
2753,33
2755,33
2756,33
2757,33
2759,33
2761,33
2763,33
2764,33
2769,33
2771,33
2772,33
2773,33
2779,33
2792,33
2799,33
284 ,33
285 ,33
2891,33
2892,33
2899,33
290 ,33
292 ,33
293 ,33
2931,33
2932,33
2933,33
2939,33
294 ,33
2951,33
2952,33
2953,33
2954,33
2959,33
2992,33
2999,33
311 ,34
3121,34
3129,34
3142,35
3143,35
3144,35
3220,36
3221,36
3222,36
3223,36
3224,36
3225,36
3226,36
3227,36
3229,36
323 ,36
3230,36
3239,36
324 ,36
3241,36
3249,36
325 ,36
3250,36
3259,36
3322,37
3323,37
3372,37
3324,37
3326,37
3327,37
3320,38
3325,38
3328,38
3329,38
3402,38
3404,39
3406,39
3409,39
3491,39
3141,40
3145,40
3148,40
3149,40
3321,40
3420,40
3421,40
3422,40
3423,40
3424,40
3425,40
3426,40
3427,40
3428,40
3429,40
310 ,41
3193,41
