DRGID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
1 ,0,4509.999624,449.0496123,865204.2516,37553.27193,247559.5281,8478.43816,41.12097075,1.410011979,680169,197784.578,30
1 ,1,850.0007878,197.0744224,922013.6046,63626.73048,233242.636,15020.92709,45.04734311,2.923101259,749710,197784.578,33
1 ,2,1100.001282,211.106613,773916.0052,60377.78358,249544.5267,18707.81189,40.29544794,2.51176425,634789,197163.611,29
1 ,3,1769.997694,301.4929848,789658.9669,48385.17066,231442.1598,13292.77038,39.75988315,2.325276714,628558,184124.968,28
1 ,4,789.99986,165.3578071,1106438.695,132021.4309,297379.5396,19199.75179,41.12022415,3.563651466,838782,239010.288,30
2 ,0,1119.999586,150.8638265,539104.057,29590.5459,150740.0807,6958.971721,22.46874178,1.616639321,476203,141623.19,16
2 ,1,195.0001533,51.02188327,542994.544,47223.51574,127031.7275,13764.59548,23.9230723,2.536620338,496980,98041.77,21
2 ,2,355.0003174,91.47576395,499162.3555,44849.54876,149465.6564,9453.594607,22.49295189,3.186373544,451680,134129.306,17
2 ,3,404.9991653,98.86851582,502099.0172,47178.37412,154699.2924,12724.97819,22.03702761,2.669333724,456849,143863.52,15
2 ,4,164.9999498,44.87608237,711271.8752,91688.78648,171782.9731,20034.39531,21.75755737,4.521213244,654171,155038.527,14
3 ,0,55410.02425,2084.828281,539291.8911,11491.98879,147855.4835,2823.852536,37.80439169,0.466986681,401189,111123.84,29
3 ,1,10805.0032,755.5785571,592708.6266,33845.87524,150098.7305,6872.507293,41.92668641,1.257555683,446167,117439.238,33
3 ,2,12020.01877,684.7971577,437472.4518,16658.60548,140538.3802,6918.446507,33.46067713,1.008572545,337506,103659.903,26
3 ,3,22934.99055,1743.86018,479455.7454,13700.0298,132567.1877,3596.420006,37.62221623,0.685436061,370444,102987.72,29
3 ,4,9650.011731,515.3780446,751279.3718,32471.32173,192115.3792,7915.580202,39.04357186,0.996367666,573003,144774.894,30
4 ,0,44480.01915,853.7636536,326271.7524,6261.707115,85470.25763,1317.488401,28.61823835,0.336401868,237680,65600.25,23
4 ,1,8974.991923,391.346594,346748.9049,16777.12531,89757.75428,3005.718011,32.44761338,0.808551291,257584,71206.176,27
4 ,2,9315.008087,340.634543,235821.6536,7689.123305,75145.28228,2853.52266,23.99732043,0.666834883,188389,59244.912,19
4 ,3,17960.00779,598.8203834,288035.5983,7386.926428,75624.92037,1746.026699,28.54134886,0.497933946,217349,59069.822,23
4 ,4,8230.011348,318.0290492,495076.5567,19609.2112,115176.9729,3801.187167,29.84315779,0.852414317,366848,86258.618,23
5 ,0,4120.000677,477.4582563,495682.35,32972.66181,141522.5151,8223.715824,21.88470747,1.392353467,368764,107636.256,15
5 ,1,720.0010454,170.3348857,489278.6579,43959.17778,129597.8796,11386.83851,24.50694136,2.447111014,391501,100061.507,17
5 ,2,870.0018836,192.177115,461478.1707,35536.4681,145884.9282,11230.15138,22.66666632,1.696099412,381147,118779.871,16
5 ,3,1679.998369,342.5123345,374045.15,28845.24073,113895.2821,7761.691681,16.53273382,1.083544129,291106,87464.75,12
5 ,4,849.9993792,211.4371549,776528.041,96032.17595,201762.7344,22162.98597,29.44117205,4.304169681,541878,154884.42,23
6 ,0,1595.001469,191.3519359,287398.7526,16234.30975,82293.66587,3518.330455,9.567397772,0.4001348,240445,72943.313,8
