DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
1,0,5259.996224,240.0748721,99114.88827,5449.944663,25340.48693,1410.547835,15.86691768,1.113563103,53232,14182.26,9
1,1,1014.999993,97.3688148,113808.4488,10811.4504,28496.55951,2479.148655,17.5221592,1.290412993,73911,20055.974,12
1,2,694.9988071,68.18261184,63643.56659,9004.012113,19464.92266,2742.650155,11.44604379,1.291562568,30326,9935.23,7
1,3,1959.996841,149.5835094,83297.20583,8133.812725,22079.82069,2350.211972,16.40815917,2.49996509,44156,11317.35,9
1,4,1590.000583,145.3656193,125538.4685,12413.5177,30062.25415,3025.390019,16.07547128,1.703578748,72670,17983.854,10
2,0,1297044.51,16045.732,69491.07505,933.7272272,18317.69826,185.3428132,7.617091592,0.038268254,37983,10990.456,5
2,1,232840.0254,7011.705355,72063.72775,2436.848925,19313.80286,405.218435,8.518147991,0.108799584,38990,11766.181,6
2,2,276490.0249,6861.189942,53229.683,1097.589244,16588.85099,259.6372366,7.046889758,0.061308426,31305,10391.136,5
2,3,479054.895,9804.266607,63825.82369,1426.043884,16524.26362,340.714813,7.910035191,0.062199503,35301,9952.128,6
2,4,308659.5647,8068.576849,93099.03653,2459.225526,22300.41368,393.1280508,6.993538958,0.076459187,50509,12964.84,5
3,0,7299.992545,309.781591,54088.09527,2900.691485,15560.98928,769.2162774,6.74246395,0.226112313,22837,7480.7,4
3,1,1119.999337,86.96058095,65183.02624,7801.811519,17745.84857,1965.874886,7.794644845,0.672813884,31640,9726.144,5
3,2,1529.997414,123.3537628,56067.31673,7581.545684,19295.36252,2369.422901,6.990194066,0.640333086,18467,6970.032,4
3,3,3034.99688,238.7162051,42647.6617,3405.884716,11837.32248,929.8723573,6.288303376,0.281110299,19089,6192.152,4
3,4,1614.998913,127.2828116,66893.69274,7346.898206,17727.483,1587.888077,6.631570737,0.432021042,31626,9360.076,4
4,0,24324.98244,558.9858046,75452.32798,3072.067103,19902.29534,975.8311404,8.493936907,0.18612219,35898,9759.816,5
4,1,3975.000807,197.6721569,77768.01073,6278.748873,19740.38245,1195.390852,8.862894795,0.418480327,37756,10732.694,6
4,2,5239.997052,221.2128125,61271.88833,4002.823137,18550.37534,1042.552005,7.645996905,0.251069614,29094,9652.896,5
4,3,10799.98903,432.8180719,65493.97624,4817.254123,17445.92675,1922.460027,8.378237224,0.299164645,32687,8562.008,6
4,4,4309.995555,192.6765588,117661.1988,9830.486081,28331.42045,2170.957365,9.474483279,0.540010628,56019,13496.832,5
5,0,36969.95825,1269.538007,76176.56059,2437.758138,19609.01167,457.4406669,9.26576212,0.195227122,39459,10677.867,6
5,1,8354.997513,726.3241758,78356.91329,5557.587542,20108.49362,896.101156,9.51586159,0.336638887,41297,11944.244,6
5,2,4624.997104,339.4541541,62158.59597,5033.575954,19229.22251,1625.001875,7.890812639,0.355989729,31328,9950.076,5
5,3,18289.97093,900.1263013,67284.48606,2252.633356,17415.65354,490.6520973,9.107982219,0.220611186,36766,9766.26,6
5,4,5699.992706,398.401131,113670.9938,9478.724219,26445.03665,1519.341065,10.52550793,0.862336666,57648,14352.233,6
6,0,47294.96031,1234.157267,54116.54048,2864.909073,13959.36146,767.5664279,5.326884884,0.108951737,24252,6588.76,4
6,1,8849.998849,585.5580991,67410.8267,7609.551557,15983.40352,1361.298,5.848587275,0.209126516,26605,7620.248,4
6,2,7539.990552,479.9063507,47390.3783,5375.588509,14016.98241,1474.20162,5.149866488,0.200324038,20659,6446.085,3
6,3,20414.98715,868.9233201,43981.0972,2717.25468,11449.10048,638.5399664,5.159931496,0.123484464,21752,5806.5,4
6,4,10489.98375,441.5065473,68032.06355,8971.323193,17266.52906,2884.745086,5.338896602,0.35806199,31635,7643.293,3
7,0,62454.95376,1389.139775,27179.81464,689.330355,7497.553869,193.452563,3.632366946,0.049000338,15524,4568.64,3
7,1,15295.00994,720.5046283,29193.35862,1460.031083,7484.716254,311.6258237,3.635499938,0.09611385,17295,4815.822,3
7,2,13869.98977,648.0291586,23875.94418,1302.872568,8028.295587,456.7132163,3.66762653,0.109193841,13651,4698.638,3
