DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanLOS,MedianLOS,MedianCharges,MeanCost,MedianCost,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
0,0,35358818,291302,41633,4.6,3,22343,10885,6278,0.02,510,100
1,0,5065,238,100618,15.6,9,52065,25111,13546,0.896,5975,1341
1,1,945,80,141188,17.7,10,69726,32608,19208,1.365,18252,2895
1,2,605,75,64588,11.7,7,33784,21467,10094,1.367,9107,3009
1,3,1970,142,66670,13.4,8,37942,17026,10354,1.406,5805,1452
1,4,1545,156,134037,18.6,12,83188,32488,21053,1.988,12099,3093
2,0,1514085,18685,70649,7.5,5,38584,18031,10758,0.039,919,168
2,1,270625,7959,72302,8.2,6,39264,18819,11509,0.093,2380,356
2,2,326905,7884,54495,7,5,32148,16475,10278,0.072,1076,279
2,3,555501,11600,66473,7.8,5,36417,16505,9810,0.07,1405,300
2,4,361055,9437,92360,6.9,5,50042,21531,12512,0.072,2436,375
3,0,7110,250,57824,6.7,4,25795,16220,7759,0.218,2717,801
3,1,1110,81,69405,7.6,5,32767,17978,8532,0.591,7206,1689
3,2,1535,113,53754,6.7,4,24166,18156,9181,0.434,5654,2066
3,3,2580,145,46139,6.6,4,22816,12343,6166,0.336,2947,855
3,4,1885,149,71019,6.2,4,33053,19111,8980,0.456,7370,2029
4,0,23530,533,81600,8.6,5,37377,21200,9839,0.198,2965,938
4,1,3765,160,81516,8.5,5,37807,19926,10237,0.425,7304,1444
4,2,5265,232,59770,7.4,5,28274,17483,8774,0.282,3788,995
4,3,10000,411,72891,8.7,6,35610,19086,8930,0.357,4843,1856
4,4,4500,191,127898,9.9,6,59665,31654,14088,0.455,8496,2216
5,0,35390,1182,80058,9.5,6,42453,20029,11318,0.208,2223,422
5,1,7315,631,90949,10.3,6,46238,22234,12446,0.446,7778,1121
5,2,4515,347,59254,7.7,5,34055,17244,10170,0.284,3606,760
5,3,17895,856,70200,9.3,6,39199,17576,10423,0.2,2068,428
5,4,5665,382,114259,10.5,6,57606,27338,14286,0.931,5909,1538
6,0,46395,1141,53901,5.3,4,25256,13662,6778,0.094,2600,630
6,1,8340,523,65657,6,4,30241,15850,8089,0.229,5766,1143
6,2,7570,449,41390,5.1,3,20271,12066,6284,0.174,3149,849
6,3,19980,788,44756,5.2,4,23166,11506,5970,0.122,2237,620
6,4,10505,454,71790,5.2,3,32075,17357,7774,0.258,9258,2286
7,0,61945,1437,27618,3.6,3,16570,7434,4718,0.046,718,186
7,1,15060,733,29807,3.5,2,18111,7741,4922,0.093,1663,467
7,2,13840,675,23254,3.6,3,14856,7468,4847,0.091,1011,348
7,3,22640,898,24259,3.6,3,14874,6388,4159,0.075,831,248
7,4,10405,515,37881,3.7,2,21826,9315,5797,0.121,2695,498
8,0,16670,409,41985,4.9,3,22975,11267,6825,0.099,1573,368
8,1,5770,260,45154,4.9,3,22816,11637,7116,0.186,3504,650
8,2,3320,169,32743,4.6,3,20349,10125,6617,0.184,1859,487
8,3,5820,240,36214,4.9,4,22431,9579,6357,0.135,1596,391
8,4,1760,115,68969,5.6,4,33778,18085,8823,0.439,6638,2256
9,0,3700,160,42405,5.6,4,26129,10791,7412,0.287,1981,420
9,1,755,71,47658,5.9,4,25919,11775,7555,0.447,5551,951
9,2,715,66,29043,4.8,3,20219,9459,7045,0.391,2343,668
9,3,1375,99,39153,6,4,25122,9751,6920,0.587,2773,688
9,4,855,79,53939,5.3,3,32415,12733,8367,0.615,4690,973
10,0,0,0,26787,0,0,15044,7248,4214,0,6269,1376
10,1,200,37,37197,5.1,4,20893,8710,6135,0.823,6722,1116
10,2,0,0,34568,0,0,22805,8792,5929,0,6628,1202
10,3,795,180,11063,3.6,3,647,3010,141,0.546,3215,845
10,4,305,46,30112,0,0,18749,0,0,0,5587,0
11,0,30265,1508,91640,7.5,5,60290,24952,17000,0.136,3000,562
11,1,6195,724,101124,8.2,5,62200,25521,17026,0.367,7455,1090
11,2,7005,741,80336,7,6,56049,24171,17612,0.204,4258,1099
11,3,11740,990,83541,7.6,5,55635,23113,15814,0.234,4308,897
11,4,5325,472,115043,7,5,73682,29746,20080,0.308,9061,1656
12,0,11885,385,94395,8.9,7,53241,24798,13968,0.22,3376,813
12,1,2560,191,111176,9.9,7,58984,27909,16269,0.68,9012,2186
12,2,2815,197,79876,8.1,6,43474,24209,13198,0.364,6131,1758
12,3,4470,228,81942,9.1,7,50646,21698,12965,0.315,3590,1001
12,4,2040,145,123799,8.5,6,67895,28987,15908,0.436,11032,2029
13,0,21800,643,91191,9,7,60277,23830,16613,0.128,2312,532
13,1,4885,371,99031,9.6,7,66990,26296,19255,0.27,4880,1304
13,2,4490,284,74869,8.3,7,53544,22366,15472,0.248,3239,1014
13,3,7860,372,82033,9.1,7,53369,21093,14681,0.227,3290,705
13,4,4565,237,116709,8.7,7,76440,27682,19030,0.274,7166,1325
14,0,90135,1259,74856,7.6,6,54541,19709,15380,0.055,931,171
14,1,17815,616,76762,7.9,6,53521,19936,15485,0.141,2664,382
14,2,20155,553,61493,7.5,6,47389,19528,15549,0.116,1256,327
14,3,35135,802,71066,7.6,6,52381,17838,14137,0.084,1208,235
14,4,17030,507,98526,7.1,5,74081,23957,18606,0.117,2725,512
15,0,40160,912,80789,7.6,6,59444,21128,16693,0.098,1807,314
15,1,7720,461,84593,8.1,6,58433,21722,16176,0.323,5095,772
15,2,8680,412,66593,7.4,6,53078,20566,16959,0.152,1940,542
15,3,15825,581,73366,7.5,6,56771,19010,15366,0.118,1701,390
15,4,7935,335,109608,7.3,5,78183,25768,20303,0.256,6463,1009
16,0,21775,744,74618,6.2,5,42722,19473,11728,0.107,3172,737
16,1,4600,430,79363,6.4,5,50099,19671,13131,0.274,5493,1075
16,2,4025,281,59754,5.9,5,35545,17474,10408,0.192,4362,1162
16,3,8410,409,60475,6.1,5,38239,16397,10359,0.15,2645,871
16,4,4740,349,109999,6.3,4,55748,26937,14223,0.278,11127,2485
17,0,35465,968,75981,7.5,6,48599,19395,13223,0.097,1961,383
17,1,7935,515,80996,7.6,6,53630,19477,14071,0.21,4909,767
17,2,7700,472,60505,7.2,5,40528,17817,12291,0.187,2605,711
17,3,13290,561,70493,7.7,6,46417,17944,12183,0.163,2460,550
17,4,6540,367,100748,7.4,5,60199,24421,15302,0.231,6172,1189
18,0,20370,682,89229,8.5,6,59957,23118,16542,0.138,2512,523
18,1,4480,357,99314,9.2,7,65908,25193,17178,0.287,5298,1356
