MDCID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
99 ,0,33339.89862,3207.368793,30641.44622,2020.462254,8753.619884,445.8672054,8.095875062,2.034915947,16781,4942.665,3
99 ,1,1854.995488,478.7959288,32269.32943,6873.803202,9989.727241,2363.698471,7.417784099,1.367170051,14702,4955.686,4
99 ,2,6844.955424,1215.410917,17830.30328,1770.028504,7638.270735,1266.724549,0,0,8838,3472.974,0
99 ,3,23544.94991,2924.851423,34177.66407,2574.680429,8901.013292,471.3974697,5.729609114,0.6161023,19178,5241.616,4
99 ,4,1094.997802,161.2125554,29438.78487,4129.464426,10300.05915,1414.874324,3.716875777,0.564572376,12421,4918.302,2
1 ,0,2192940.505,29544.23636,46282.75244,786.7095013,12776.21068,168.2043655,4.835196756,0.030215204,25725,7416.6,3
1 ,1,427859.614,12823.10931,49511.19271,2297.326729,13190.53648,396.1888964,5.077368029,0.066416378,26617,7758.882,3
1 ,2,497194.6385,12914.19232,37030.86856,904.3367515,11997.33905,246.5965283,4.477433445,0.047286072,22009,7336.56,3
1 ,3,862340.5886,20238.92016,41321.79854,975.1880995,11278.40933,246.122905,4.877333446,0.042958583,24252,6697.163,3
1 ,4,405545.6637,11490.84492,65500.86308,2404.988743,16672.82842,516.8129461,4.928811565,0.100040366,35127,9090.9,3
2 ,0,50535.02278,1386.128358,28372.34724,707.3414386,8053.998898,174.7544153,3.256486479,0.05339173,19163,5652.69,2
2 ,1,12069.99564,876.6631439,30541.67891,2022.102759,8031.794021,358.7773888,3.441589367,0.127126572,20147,5747.5,2
2 ,2,10980.00362,530.5105381,23846.63693,893.2266486,8044.625355,346.5995849,3.219493187,0.098395952,16207,5679.837,2
2 ,3,17745.0074,796.6159851,25795.18062,899.9602703,7289.776899,238.9965956,3.31723095,0.088880238,17876,5082.48,2
2 ,4,9740.016116,486.5954159,35625.11571,1713.287675,9552.373686,538.7135625,2.958418989,0.122363346,25136,6569.343,2
3 ,0,372795.0757,7202.723425,30870.31313,661.2058336,8919.131429,177.7090467,3.233885258,0.02853845,17671,5214.885,2
3 ,1,83259.91481,3486.137822,30674.67088,1622.367615,8348.670078,316.0152561,3.218593014,0.063781556,17586,5187.166,2
3 ,2,84164.92602,2962.706807,26270.5208,950.1443091,9069.127583,382.2596615,3.18422365,0.058419282,15056,5206.049,2
3 ,3,133290.1002,4669.804361,29267.16451,909.5047565,8254.348634,285.5806485,3.412601146,0.049028182,17120,4734.8,2
3 ,4,72080.13464,3023.468774,39672.24306,2037.777514,10720.87317,501.8899017,2.979813123,0.051917843,23197,6358.983,2
4 ,0,3549165.967,30453.0114,37265.48146,446.7953692,10654.5265,98.53208991,5.040812005,0.0189135,21122,6650.4,4
4 ,1,667158.6966,14091.5963,39402.14979,1404.233489,10941.05642,223.6498164,5.282606196,0.051198478,21686,6933.263,4
4 ,2,825842.5932,13517.59903,29813.86114,562.7115938,10384.43739,229.2058706,4.764361145,0.033426386,18159,6690.983,4
