MDCID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges ,MedianCost,MedianLOS 
1,0,2130413.888,29325.81317,49976,867.1151868,13174,169.3414767,4.844494049,0.029262537,27832,7690,3
1,1,411775.1475,13044.45335,52944,2480.89317,13584,392.6542816,5.067472618,0.06845465,28867,8110,3
1,2,479349.6329,13217.79076,39584,992.8211073,12324,262.6262888,4.505079909,0.046605176,23449,7542,3
1,3,839944.5492,19713.94252,45070,1095.915776,11650,269.1725798,4.9100559,0.045415686,26273,6909,3
1,4,399344.5585,11247.0455,70609,2674.131606,17193,470.9853987,4.884164818,0.083653833,38138,9556,3
2,0,48604.96006,1323.516485,30957,831.1438447,8333,184.5975313,3.274924731,0.057804782,20159,5672,2
2,1,11355.0046,848.6565317,33447,2146.913004,8648,425.5550317,3.426243421,0.125096312,21559,6004,2
2,2,10199.98424,480.2696305,26559,1660.318731,8432,427.4755639,3.286764495,0.17431861,16890,5624,2
2,3,17659.97522,763.4929465,27672,976.2129473,7317,244.4956997,3.262038665,0.080043231,18825,5078,2
2,4,9389.995998,466.7950081,39128,2256.589725,9834,485.3003729,3.103300472,0.094856062,26035,6618,2
3,0,363179.7818,7215.10476,33203,696.2394366,9177,174.0285654,3.282267991,0.029124757,19040,5432,2
3,1,80975.02044,3561.475596,33893,1651.525256,8902,347.2427692,3.322136581,0.066175827,19557,5571,2
3,2,80264.95827,2948.058393,27275,1089.356719,9046,397.2053611,3.259469064,0.06558372,16035,5452,2
3,3,130889.8728,4672.228349,30937,908.3886273,8281,259.4463655,3.40861262,0.045975456,18275,4864,2
3,4,71049.93027,2975.375983,43580,2204.998383,11393,474.5506888,3.029909324,0.057330598,25069,6556,2
4,0,3448326.788,29702.20811,39996,473.0196708,11000,103.5063411,5.0870618,0.019246193,22760,6884,4
4,1,642649.8246,14250.05538,42348,1484.9081,11406,235.1053353,5.32350117,0.050019679,23346,7303,4
4,2,805389.4042,13692.9872,31443,552.5052832,10557,192.9737388,4.795477017,0.031686923,19223,6851,4
4,3,1421073.478,19454.833,37084,625.7955249,9832,151.5944431,5.191721854,0.028094152,21878,6240,4
4,4,579214.0817,10638.0761,56927,1437.892675,14166,311.4069069,4.97336089,0.058291067,31824,8393,3
5,0,4492308.297,55046.12396,58278,840.3174928,15234,179.7452495,4.504472856,0.026523762,31814,8674,3
5,1,908545.1346,26103.81673,58763,2368.704262,15170,435.5519143,4.749941023,0.063493623,31438,8806,3
5,2,1021009.937,25966.51315,48989,1240.952231,15240,336.7861282,4.350939107,0.060695706,27494,8913,3
5,3,1811589.208,36445.95215,54412,1058.68639,13715,258.2051207,4.57978593,0.040528043,30408,7824,3
5,4,751164.017,18603.74376,80578,2660.200016,19215,502.930639,4.234620379,0.052465932,43366,10618,3
6,0,3105617.753,29347.82473,40822,432.3437613,11071,83.53697092,4.74551223,0.017137888,25477,7229,3
6,1,616755.0964,14462.51446,41632,1283.100128,11281,204.8333435,4.932606016,0.04464192,24867,7390,3
6,2,692709.5636,14277.13501,33431,580.1576176,10916,158.97491,4.674743797,0.038090638,21611,7249,3
6,3,1194289.128,17862.04065,38900,538.0039067,10001,119.4336244,4.871240689,0.026146077,24810,6591,3
6,4,601863.9648,11368.43928,52902,1245.569076,13301,221.0414817,4.385766666,0.031973085,33603,8574,3
7,0,1048519.225,11430.86862,46648,762.572935,12455,171.8200066,4.824694385,0.029088218,29686,8402,3
7,1,193530.0178,5283.930277,48798,2218.426781,12893,368.1728627,5.149847907,0.062548765,28845,8535,4
7,2,215879.8442,5346.668573,38140,1139.53621,12188,332.8274968,4.695078377,0.06329115,25135,8356,3
7,3,412769.7139,6917.217367,42885,850.3801919,11012,219.0025134,4.880057883,0.042660885,28669,7702,3
7,4,226339.6495,5129.334966,60480,2296.228491,15134,536.0376048,4.569334256,0.073514881,38751,9877,3
8,0,3254769.143,43498.14274,59620,660.7614979,16577,131.1619818,3.85680079,0.017245404,45534,13509,3
8,1,598775.0945,24361.94023,54982,1771.618581,15785,360.975012,4.131922262,0.040939936,40558,12821,3
8,2,786475.2471,19487.81258,48674,778.9401646,15930,190.0407355,3.654976054,0.03268274,40041,13412,3
8,3,1205689.747,25206.04829,59817,862.1247252,15715,199.2185799,3.962103887,0.030372376,47071,12946,3
8,4,663829.0546,16836.4064,77255,2073.587726,19814,345.6930688,3.656532208,0.036508326,58296,15782,3
9,0,869044.2121,8407.763728,29852,356.9987436,8134,72.21713306,4.065008804,0.020912113,19169,5600,3
9,1,182454.9715,3981.271277,30992,941.5986749,8273,166.1715272,4.120855498,0.039017347,19788,5811,3
9,2,187484.8472,3487.086435,22825,461.0178518,7604,128.6740996,3.870199502,0.032736268,15341,5350,3
9,3,339004.6768,5364.924588,27905,463.2258827,7276,94.92880082,4.203921204,0.039879677,18233,5067,3
9,4,160099.7165,3727.972947,41251,1107.208689,10515,236.5970838,3.935414915,0.049149438,27262,7145,3
10,0,1149329.192,11882.80835,31489,372.0228184,8592,85.12295391,3.618563673,0.019009108,20639,6029,2
10,1,231299.9803,6035.79425,34379,979.5116574,9223,180.1179406,3.884951956,0.053170662,22595,6656,2
10,2,248559.9023,5220.924394,24786,498.7336285,8150,136.6753711,3.465279787,0.033454265,16720,5711,2
10,3,456439.621,7440.724142,29020,488.2637393,7668,120.4598334,3.691267526,0.028908247,19105,5360,3
10,4,213029.6882,4706.15499,41949,1149.093386,10519,287.4884748,3.352385742,0.041960285,28395,7281,2
11,0,1629643.835,15949.49917,35736,490.826679,9577,109.2698269,4.474818013,0.016567474,22278,6320,3
11,1,308314.9769,7259.157873,39337,1259.53871,10427,224.3313681,4.854183908,0.039615726,23782,6934,3
11,2,364999.8236,7422.49149,28962,705.0606764,9281,217.6677649,4.223749329,0.029267898,18828,6248,3
11,3,676909.4435,10300.10598,32533,603.7568784,8405,154.3956219,4.563822439,0.025868025,21076,5669,3
11,4,279419.5904,6364.400021,48855,1724.677919,11986,337.8048976,4.168588374,0.043089744,30551,7671,3
12,0,143839.8672,3037.932628,39469,664.6229799,10532,122.5409474,2.920592251,0.035161405,30894,8884,2
12,1,29429.98173,1333.560896,36772,1497.613987,9864,257.0465838,2.98199088,0.082799439,27298,8133,2
12,2,30374.97713,1207.174117,34328,890.3774022,10935,230.0177293,2.834402889,0.059900761,29879,9904,2
12,3,54064.94041,2076.124361,37853,902.2224655,9635,172.1284519,3.100665892,0.066603349,30266,8248,2
12,4,29969.96796,1297.33892,51158,2016.941007,12590,333.2217904,2.622956649,0.069778983,40435,10591,2
13,0,430399.7236,6935.363722,37050,513.8551433,9996,105.2242094,2.776007961,0.020864553,28300,8035,2
13,1,81724.9659,3077.498143,35048,1213.895515,9597,266.7124291,2.807280406,0.051492034,25482,7614,2
13,2,89689.94937,2814.126426,31490,686.3325384,10188,201.435745,2.722696814,0.04259676,25656,8568,2
13,3,161584.9164,4550.721761,34575,656.2135882,8998,130.8795903,2.933142942,0.036637664,26881,7282,2
13,4,97399.89198,3162.261699,48514,1541.229946,11931,291.93986,2.538244823,0.03425411,37848,9541,2
14,0,4108497.917,68809.34656,16355,204.593709,4551,46.7609165,2.648167096,0.011671833,12809,3709,2
14,1,664339.7038,27557.05532,18353,614.3752641,5112,129.0349359,2.883569004,0.020719584,14750,4309,3
14,2,864869.753,26937.75179,13403,232.3447968,4456,56.09852236,2.595867086,0.01893321,11161,3724,2
14,3,1584609.387,46871.97362,14649,247.7411996,3898,52.28103946,2.657007767,0.022594504,11891,3271,2
14,4,994679.0732,32445.50036,20588,561.2370356,5360,141.7504237,2.522334364,0.022404819,15878,4148,2
15,0,3901057.892,64619.99751,15442,448.6903272,4282,134.3748072,3.696357611,0.044711201,3442,1038,2
15,1,631934.7002,26696.42813,18562,1127.20751,4978,303.6575133,3.862635433,0.087752484,5518,1568,2
15,2,836734.6989,25304.48173,13014,758.4566664,4254,281.4824494,3.646388883,0.097928679,3382,1155,2
15,3,1486364.426,43671.39188,13605,701.0021879,3697,220.7059636,3.869628672,0.085748651,2806,775,2
15,4,946024.0665,30257.85086,18576,1085.221379,4793,284.1360294,3.357248668,0.069275416,3966,1068,2
16,0,473709.647,6421.37947,36510,609.5647991,10136,181.8990793,4.348624843,0.032298501,20747,6033,3
16,1,97330.00335,3206.359078,40661,1463.88887,10843,373.0079072,4.634695747,0.078682295,23276,6702,3
16,2,100199.9682,3013.767234,30841,1047.825377,10154,391.6766465,4.26409847,0.067364212,18149,6191,3
16,3,201284.7703,4198.135485,32414,754.3559952,8860,263.7258217,4.350441032,0.046934233,19081,5356,3
16,4,74894.9052,2060.640984,50358,2215.711955,12793,560.4035763,4.085053641,0.082721336,27854,7165,3
17,0,297744.6299,12903.54005,83455,2536.937867,23629,735.0511264,8.071388442,0.117209239,39881,11592,4
17,1,59374.99639,5393.53473,94540,5348.526907,24821,1448.036925,8.494821221,0.252505854,44440,11672,5
17,2,64044.9749,4986.008702,70339,3540.270749,22541,1092.082996,7.702787661,0.245663344,35551,11539,4
17,3,113064.697,9830.072712,71576,2685.257736,20950,1360.589131,7.859543214,0.168098829,35574,10437,4
17,4,61259.96163,3990.052224,109687,8893.136964,28858,2005.934869,8.437318563,0.319669085,51424,13958,5
18,0,1572769.323,17321.19599,64352,817.1549863,17014,156.2950588,7.181520016,0.032175145,34424,10014,5
18,1,292720.0498,7830.376139,65868,2174.367915,17610,343.7839254,7.811090107,0.090250183,34513,10430,5
18,2,338049.9908,7652.656621,49713,984.2002152,15554,226.5072044,6.667518495,0.053471725,28638,9575,5
18,3,585334.7891,10424.91313,59055,1167.132956,15312,278.8725505,7.435330736,0.050768638,32061,9027,5
18,4,356664.4931,8453.820029,87733,2277.027775,21096,355.2382034,6.735499596,0.0672882,46943,12108,4
19,0,1411836.838,40383.89303,23286,1038.48733,7216,466.0575547,7.648623791,0.108492306,13485,4088,5
19,1,323915.1685,16516.17758,30184,1325.006576,9274,370.0381165,10.29416832,0.282117807,17984,5842,7
19,2,372034.8972,20342.26089,16406,537.8168822,5361,169.3536569,6.606674696,0.110353043,11585,3816,5
19,3,504909.2287,26149.61461,17155,486.8964369,4657,127.6267018,6.693113816,0.136709339,12051,3323,5
19,4,210977.5433,16138.92104,39536,6502.519159,13498,3056.126831,7.711605885,0.302481508,17023,4846,5
20,0,407119.9383,15067.49074,19026,418.2045473,5621,119.0772228,4.687642197,0.10943123,11962,3721,3
20,1,129950.1549,12005.33452,19598,931.537941,6101,255.4283247,5.447897142,0.215487398,12195,4109,4
20,2,93890.02323,5194.915358,14838,464.0406137,4906,155.7245716,4.031151861,0.137872732,10069,3291,3
20,3,117644.8937,6155.53405,16488,522.2217904,4470,105.9933963,4.061926212,0.074782574,11075,3168,3
