MDCID,Region,Discharges,MeanLOS,MedianLOS,MeanCharges,MedianCharges,MeanCost,MedianCost,DischargesStdErr,MeanLOSError,MeanChargesStdErr,MeanCostStdErr
0,0,35358818,4.610626752,3,41633.03049,22343,10884.67749,6277.828,291302.2863,0.020190488,510.1481464,99.80313757
1,0,2115121,4.927849415,3,53312.3716,29740,13538.26,7916.16,28342.25255,0.03080411,894.2684196,163.8372704
1,1,405450,5.105211408,3,57015.90105,31090,13992.74907,8322.6,13227.57012,0.064285463,2667.290411,373.8385375
1,2,473815,4.636350808,3,42081.08018,25185,12553.81201,7727.68,12715.96755,0.058248086,1031.849907,260.6299857
1,3,836421,4.980928583,3,48267.31297,28258,12048.42111,7155.358,18403.81192,0.047125031,1043.518271,241.9047028
1,4,399435,4.982483344,3,74365.92478,40040,17578.61733,9762.081,11310.10806,0.087659213,2726.843367,477.6614134
2,0,41925,3.430768951,2,34798.96142,23312,9162.907371,6269.209,1175.679706,0.066523313,1002.578326,264.2300375
2,1,9740,3.416837591,2,35970.43754,24555,9034.333626,6568.205,715.344399,0.12841483,2477.74135,432.1780057
2,2,8700,3.46149316,2,29607.14824,19473,9332.408101,5927.852,437.3903447,0.190770056,2295.730868,910.633944
2,3,15280,3.479384152,2,32114.20646,22502,8341.731374,5744.136,675.5948751,0.093149365,1200.358103,290.9292457
2,4,8205,3.324193681,2,44208.33175,29418,10760.27304,7358.96,471.981369,0.145354683,2586.884426,633.4966499
3,0,346640,3.389992456,2,36004.9076,20482,9622.224108,5598.66,6916.88718,0.03079136,766.5499936,178.7889667
3,1,75720,3.422807815,2,36860.80044,20989,9409.494361,5642.704,3275.383001,0.064801556,1914.940796,368.1114305
3,2,77270,3.430116059,2,30019.28498,17142,9481.511295,5550.171,2884.539878,0.07328416,1237.681964,412.5603306
3,3,126770,3.492308699,2,33970.44983,19824,8805.769305,5070.496,4367.361242,0.048218195,1056.854846,279.4631775
3,4,66880,3.112522869,2,46065.80741,26294,11663.55568,6915,3117.816533,0.062345871,2253.765873,436.4528129
4,0,3301286,5.064165955,4,42050.41335,23877,11146.90293,6940.128,28963.24498,0.022102418,497.6591059,97.42701
4,1,606450,5.248449812,4,44821.60059,24848,11607.53307,7377.756,13534.01225,0.051909657,1645.957919,239.5258354
4,2,786889,4.791420406,3,32907.61838,20105,10514.38191,6862.44,13022.43359,0.053509359,611.9291799,178.3342275
4,3,1357607,5.172609605,4,39570.97931,23246,10120.03914,6338.694,19378.98348,0.028391576,648.6268448,152.5049467
4,4,550339,4.983532335,3,58680.05887,32473,14201.77906,8388.873,10515.28863,0.05967188,1458.171937,247.6373867
5,0,4300312,4.676541249,3,62571.55907,34038,15800.05788,8942.07,51156.54822,0.029920066,925.8813118,185.1934786
5,1,865360,4.900041596,3,63269.48909,33774,15737.919,9110.241,24161.32662,0.066191834,2621.818183,439.0839797
5,2,970554,4.610327736,3,52651.4154,29577,15706.17402,9217.2,24422.62776,0.0738023,1329.774738,344.4321882
5,3,1745602,4.720354657,3,58795.5687,32587,14363.57696,8063.306,33647.38842,0.045354935,1140.549789,265.8169046
5,4,718795,4.390444038,3,85310.15092,45672,19730.79617,10899.37,17453.11511,0.057481258,3076.29286,559.6584135
6,0,3025196,4.769913303,3,42772.69907,26858,11168.2212,7329.21,29022.45986,0.019048116,458.5052668,81.64442022
6,1,592080,4.928057993,3,43760.78422,26602,11364.4112,7526.924,13787.22192,0.041722825,1331.622957,185.449199
6,2,672940,4.742966178,3,35065.35469,22722,11025.09589,7306.875,14112.90224,0.052547595,607.874256,166.2357282
6,3,1172372,4.881192657,3,40943.98612,26268,10155.79427,6679.368,18103.10184,0.027545285,564.3984082,115.9320578
6,4,587805,4.419517286,3,54843.33546,34619,13289.84909,8650.6,11194.61398,0.033173465,1372.139102,223.3559499
7,0,1036235,4.865929901,3,48712.01355,30944,12545.11312,8469.825,11523.75262,0.03246885,791.5484546,183.8036178
7,1,187985,5.16663549,4,51081.76602,30511,13016.45709,8669.024,5104.557226,0.066179714,2124.309194,348.980399
7,2,213240,4.758301299,3,39251.13473,26046,11958.37391,8330.82,5373.34989,0.068103416,1130.888918,291.4898163
7,3,410101,4.950192814,3,45738.26944,30068,11383.766,7826.898,7123.565198,0.048261124,878.4151143,235.0007136
7,4,224910,4.562973689,3,61784.22268,39517,14971.34683,9861.725,5207.90744,0.084823247,2543.760436,628.1726182
8,0,3291053,3.841623563,3,62434.32556,47559,16727.6283,13674.297,43641.68449,0.019342194,700.686612,127.4991495
8,1,605655,4.078469109,3,57634.27993,42366,15862.01227,12900.468,23945.05131,0.046074949,1911.678676,368.583355
8,2,789270,3.63610588,3,50717.98546,41650,15934.39955,13450.45,19857.31804,0.037324491,834.7659457,187.2566896
8,3,1223427,3.982763927,3,63186.30429,49496,16120.42354,13174.308,25388.47172,0.034352368,893.4996912,193.0273339
