PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
1 ,0,96300.04516,3209.36407,119710.3433,2366.578561,33767.30496,487.7932519,8.955815605,0.12410445,83565,24338.692,6
1 ,1,18640.01279,1449.976161,136294.4886,7149.697382,35356.22445,1348.148576,9.182137191,0.296811426,92735,25686.252,6
1 ,2,22795.03178,1388.621032,103450.4332,2793.631667,33052.5596,687.9060964,8.353367312,0.190520187,77027,24392.514,6
1 ,3,38444.98555,2089.459087,112186.7052,3274.655628,31018.04402,702.4708149,9.386006793,0.212916929,78750,22549.48,6
1 ,4,16420.01504,1379.666343,141632.5935,5693.947557,39683.42899,1266.293414,8.528014334,0.325147645,99748,28241.744,5
2 ,0,24930.0152,1107.8045,84352.19833,3305.002819,24211.0568,791.7266902,6.97533069,0.233160458,44582,13302.432,3
2 ,1,4335.001515,434.4995638,97152.45978,10619.58878,24694.86192,1555.086769,7.437140506,0.556882171,46925,13409.088,3
2 ,2,5880.010819,514.5199636,65946.43694,4002.268574,22169.86119,1570.926605,6.183674213,0.397629818,40396,13131.888,3
2 ,3,9939.999798,754.4790323,74610.48626,3485.422594,21655.55168,1016.548349,7.119212955,0.383036557,42679,12284.055,3
2 ,4,4775.003068,452.1852898,115875.018,10603.61591,31848.39849,2664.608237,7.231416957,0.579723642,56421,16447.004,3
3 ,0,184174.9756,4549.627156,49539.42828,1206.901077,13390.12926,256.7612242,3.164002575,0.038355883,31775,9182.827,2
3 ,1,33374.92572,2229.835034,40078.21053,1828.204633,11228.28613,420.6360252,3.142475476,0.08808682,27045,7901.306,2
3 ,2,41124.99553,2161.756567,35310.38214,954.9249376,11483.76437,334.9780056,3.034409518,0.08792564,26387,8584.205,2
3 ,3,58965.0149,2143.778944,41996.15185,1077.936806,11370.35248,288.6622545,3.409818978,0.074084195,30104,8143.848,2
3 ,4,50710.03941,2541.252321,77679.16876,3459.220067,19055.20384,671.9252042,2.997436177,0.059735737,51463,13159.377,2
4 ,0,210260.0485,4184.907916,38547.86809,625.7301307,11025.03161,133.3502422,5.302768755,0.044839631,24412,7394.079,4
4 ,1,35789.96565,1619.964974,42529.73799,1686.343286,11655.58089,281.4882179,5.506987061,0.121040872,25735,7757.136,4
4 ,2,44824.99396,1754.886306,31364.54651,758.6719088,10609.0085,251.2007195,4.997771825,0.088975109,21747,7430.605,3
4 ,3,87499.99944,3068.486369,34015.45707,709.6823672,9588.358272,158.0770302,5.342456872,0.067143518,22480,6664.112,4
4 ,4,42145.08941,1547.23405,52711.0188,2148.945623,14067.26606,455.5861334,5.371336865,0.109097794,32220,8965.292,3
5 ,0,39839.96906,1271.00069,46032.95535,1647.819253,13413.57093,465.9695019,4.970746582,0.107112624,25297,7721.532,3
5 ,1,6889.97953,407.8765759,45262.12851,2753.73292,12538.78077,845.6909211,5.304063482,0.257438072,27040,7901.696,4
5 ,2,12014.97128,681.5095238,28291.87106,1515.868307,9875.04262,551.7964933,4.345405784,0.155041489,17987,6439.264,3
5 ,3,11605.00661,651.2147085,45779.38317,1988.249836,13278.66705,749.5329054,5.158753043,0.174335895,27610,7823.91,4
5 ,4,9330.011647,748.6946144,69980.88698,5805.307006,18852.51297,1445.56486,5.296352711,0.284201773,36209,10296.27,3
6 ,0,2719.999587,152.7752367,56914.43588,3397.300683,15600.6111,762.4386302,4.35359425,0.264465664,35857,10280.724,2
6 ,1,459.999515,59.1373065,40277.03467,4310.79824,11538.44214,1292.444824,4.27173881,0.712225325,26322,7574.268,2
6 ,2,474.9991466,65.72034207,41882.45929,3887.974565,13410.55366,1171.438011,4.21277788,0.572801825,30099,10505.245,2
6 ,3,869.9995223,81.64190923,45326.22542,4743.454084,13672.28242,1215.295623,4.494249634,0.4633156,27736,8676.993,3
6 ,4,915.0014029,94.11953682,86612.72998,7577.524663,21086.94472,1620.6922,4.333339536,0.454795798,58643,13665.576,2
7 ,0,9980.003449,427.0017787,95960.93883,3543.835133,26611.59311,756.5122622,8.547091706,0.296307806,62739,18391.664,5
7 ,1,1939.999642,192.866573,105904.2005,8860.004718,26973.57546,1325.957107,8.814435799,0.432979989,67790,20337,6
7 ,2,2495.003004,228.703897,79512.73573,4078.106205,25084.87973,1278.359886,8.174347592,0.543014,56366,18011.845,5
7 ,3,3784.997593,254.8653022,86066.74372,4828.836743,23728.17914,1142.282384,8.723903395,0.575962336,56691,16579.08,6
7 ,4,1760.00321,166.9467259,131217.4325,12334.74795,35061.02096,2632.850714,8.400568352,0.674957502,82279,23860.936,5
8 ,0,15949.9997,1102.330067,53018.59877,4700.859165,13549.4629,1018.081489,4.752036886,0.175485533,34255,9581.826,3
8 ,1,1934.999954,179.0929045,38228.7475,2885.04102,9461.643143,794.1931474,4.976743044,0.279024899,24920,6802.18,4
8 ,2,3434.995074,331.2150477,30926.40596,1871.394609,10585.63704,877.8953066,5.82824273,0.540188862,21749,7245.48,4
8 ,3,3884.999395,286.1154861,30712.22472,2117.368785,8774.646964,750.8176197,5.133846144,0.220519057,21433,6222.63,4
8 ,4,6695.005272,995.7368273,83264.5714,7542.044061,19369.13624,1760.769565,3.913367357,0.161843341,75411,17332.995,3
9 ,0,88620.04676,3456.092777,116668.0874,2765.589464,33103.72406,585.4640758,8.314037327,0.137050893,68490,20192.21,4
9 ,1,15620.00686,1382.433444,127896.9701,7294.84545,33582.08834,1535.889157,8.792893984,0.360385575,71739,20175.75,4
9 ,2,19880.0384,1455.626792,98829.61364,3685.86673,31923.91485,1191.177968,8.094819192,0.286445951,61198,19527.411,4
9 ,3,32739.98689,2451.742795,104093.864,3594.001957,29992.92253,763.4536316,8.616829394,0.228836083,63609,18788.096,4
9 ,4,20380.0146,1379.696695,146813.0055,7608.150473,39204.01174,1487.645148,7.674435841,0.255075359,88138,23602.788,4
10 ,0,40565.01538,1546.006431,34539.6289,966.7566409,9830.632456,224.7627137,2.075074334,0.062262286,25351,7426.728,1
10 ,1,12099.99465,1251.496224,33292.71768,2347.627721,8832.033056,478.4755278,1.786363727,0.09540084,23263,6623.072,1
10 ,2,8204.999614,493.4209142,30070.55758,1470.763866,10097.27487,429.8114199,1.987205267,0.091587322,23555,7979.776,1
10 ,3,12030.00706,625.1625898,37026.93483,1488.564785,10418.96978,383.6349065,2.626765707,0.158950998,27102,7461.498,1
10 ,4,8230.014066,435.4315351,37377.60233,1740.481804,10246.56936,341.6279451,1.780547343,0.081559271,29226,8129.085,1
11 ,0,3900.004005,161.2320997,50573.91761,2448.328043,13281.72909,561.7138851,6.273077898,0.203800761,37695,10049.82,5
11 ,1,634.9998134,59.59829092,59843.92756,5679.680139,15958.63637,1653.260007,7.645674805,0.673024856,45227,11346.77,6
11 ,2,854.9997547,72.88407696,39356.3598,2172.420935,12352.81172,718.9348043,5.777780564,0.370071659,33813,9941.704,5
11 ,3,1655.001926,110.1501961,44302.43038,2457.001588,10892.3991,421.7410927,6.009063932,0.242693326,35766,9051.952,5
11 ,4,755.0025113,70.70133887,68923.97361,9619.097144,17345.13813,2127.202654,6.258275221,0.562651038,45259,11436.555,4
12 ,0,27690.01216,1022.274859,58736.0011,1509.654195,16620.79835,400.2616864,4.145178631,0.106708382,40874,12101.576,3
12 ,1,6340.002603,639.6414667,60406.48769,3930.488332,15680.11825,977.2350472,3.878548947,0.252816522,38924,10603.008,2
12 ,2,6135.00717,462.7759194,51980.55074,2934.520767,16957.7392,1035.545126,4.080685396,0.257011261,36257,11691.747,2
12 ,3,9884.99574,541.8774273,56757.95112,2003.484569,15957.18477,467.9720564,4.624177947,0.146166805,41612,12517.344,3
12 ,4,5330.006651,357.9273455,69117.10941,3414.63836,18836.57575,845.080423,3.648217368,0.197273638,47465,13197.072,2
13 ,0,260.0001401,50.08171361,42733.82932,3510.070567,14377.25521,1322.678089,4.115381118,0.815141135,36570,12669.495,3
13 ,1,0,0,43208.54792,5331.240425,15776.20973,2420.381526,0,0,40541,13911.3,0
13 ,2,0,0,0,0,0,0,0,0,0,0,0
13 ,3,69.99988014,20.76317038,50802.63752,9817.556873,14678.5158,2884.588083,0,0,35188,9827.23,0
13 ,4,0,0,0,0,0,0,0,0,0,0,0
14 ,0,334.9999482,72.75840186,38649.55759,4111.661386,9951.684107,1211.361984,3.582097491,0.671063784,26196,6721.91,2
14 ,1,0,0,36512.03727,5741.399128,8565.082503,1286.515119,2.68965405,0.577114994,25943,7741.214,2
14 ,2,0,0,41871.29442,9899.090148,13573.08538,3574.967889,6.923122044,1.982537108,17408,5257.216,2
14 ,3,55.00001134,16.44857744,46527.04419,11753.42417,11272.42602,2445.735571,4.636366695,1.095355397,27493,8945.835,4
14 ,4,69.99991726,17.24786004,34586.59779,7127.011809,9199.509118,1937.259837,1.499998751,0.240252641,26196,6653.784,1
15 ,0,564.9999045,58.4332776,32731.06002,3907.455042,10347.93338,1130.752507,4.272732192,0.766374919,22649,6918.31,2
15 ,1,154.9999949,32.68593699,25477.1099,3552.526134,8709.06045,1304.228025,0,0,19532,6003.816,0
15 ,2,135.0001527,28.73137282,35950.15533,9225.346695,9715.003931,1592.741017,0,0,26469,7480.772,0
15 ,3,139.999824,28.97454618,21840.28939,2901.572469,7833.967098,826.0831016,3.879999754,0.734685659,15892,6282.29,2
15 ,4,134.999933,26.09715203,49957.9324,11837.21545,15769.19696,3910.131726,0,0,34623,9467.282,0
16 ,0,549.9980861,75.40447469,67214.41704,14676.79405,20933.60447,4201.19904,7.672759228,2.082008907,30536,9287.67,1
16 ,1,0,0,44229.7701,9210.320851,11819.89601,3016.850087,0,0,29836,7305.79,0
16 ,2,0,0,0,0,0,0,0,0,0,0,0
16 ,3,139.9999315,28.1491096,0,0,0,0,0,0,0,0,0
16 ,4,140.0001285,36.73048047,0,0,0,0,0,0,0,0,0
17 ,0,475.0004153,79.13395031,158661.402,35772.14485,43872.38463,8733.962935,20.6841868,4.23678255,43397,16174.796,4
