PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MedianCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MeanCost,MedianLOS
1,0,97624.9314,3320.326602,125704,2442.381608,24633,2442.381608,8.709741838,0.114538337,89057,33875,6
1,1,19265.00708,1532.367051,139172,7117.656166,25252,7117.656166,8.94082631,0.27269831,99500,34837,6
1,2,22694.96949,1404.322244,107615,2967.046439,24793,2967.046439,8.195414628,0.197509037,80893,33111,6
1,3,39214.96984,2180.998352,119913,3550.983477,22880,3550.983477,9.137210454,0.195527705,84571,31535,6
1,4,16449.98499,1395.544764,149422,5969.637735,28331,5969.637735,8.129787801,0.267566758,106803,39665,5
2,0,25529.98841,1155.585312,92889,2650.229716,14304,2650.229716,7.49353744,0.206590394,51469,25770,3
2,1,4490.003609,438.3351351,117407,8217.94333,14956,8217.94333,8.779510049,0.607062589,58180,30019,4
2,2,6029.997728,515.7497203,81949,3974.784199,14598,3974.784199,7.407127551,0.423038558,47276,26335,3
2,3,10329.99004,792.442393,80244,3275.158265,13099,3275.158265,7.273961087,0.307798979,47095,21811,3
2,4,4679.997031,499.2764782,111546,7331.639996,16610,7331.639996,6.855770223,0.378146855,62310,29958,3
3,0,167404.9654,4064.829023,55210,1238.375886,9925,1238.375886,3.139038369,0.036259278,36432,14062,2
3,1,31340.01861,2034.113599,44764,2013.45969,8497,2013.45969,3.173927008,0.09573512,30518,11762,2
3,2,35474.96984,1878.388065,39363,1141.333201,9353,1141.333201,3.049330095,0.069992569,29744,12191,2
3,3,54310.00883,1906.814074,47313,1152.438292,8801,1152.438292,3.293775878,0.067221955,34015,11909,2
3,4,46279.96813,2284.936588,85740,3442.332649,14514,3442.332649,3.002594167,0.062600844,59459,20003,2
4,0,200049.8708,3999.623614,43440,683.0488662,7887,683.0488662,5.57708093,0.04885578,27112,11965,4
4,1,34420.02498,1546.870317,47806,1864.823325,8375,1864.823325,5.782392252,0.134498335,28668,12753,4
4,2,43484.96499,1692.566201,36074,944.5757269,8097,944.5757269,5.294354042,0.084206832,24634,11494,4
4,3,82249.94974,2945.428288,38679,937.5810194,6938,937.5810194,5.596291983,0.072933552,24451,10531,4
4,4,39894.93105,1436.611682,58104,2079.990052,9489,2079.990052,5.668507078,0.12573257,35692,14906,4
5,0,34869.97691,1196.020311,48467,1782.276406,8163,1782.276406,5.172353297,0.119710967,28582,13593,4
5,1,5830.000262,362.9241129,51518,3364.797238,8635,3364.797238,5.771011939,0.242836762,30233,14041,4
5,2,10469.99951,624.2026067,30802,1687.858185,6938,1687.858185,4.414515102,0.165191554,20336,10201,3
5,3,10289.98857,675.4977096,47654,2558.338194,8188,2558.338194,5.589891785,0.228983521,30383,13408,4
5,4,8279.988565,672.9224492,70090,5785.451614,10635,5785.451614,5.190217962,0.288162281,39557,17885,3
6,0,2589.997241,154.728137,56052,3551.311008,10882,3551.311008,4.225870026,0.419635686,38304,14144,2
6,1,420.0001394,55.51680306,50072,5306.822735,10002,5306.822735,3.702380229,0.414825186,39323,12268,3
6,2,484.998463,69.15385998,41069,4596.664214,10250,4596.664214,2.876289129,0.319818001,32670,13202,2
6,3,774.9997844,72.12988603,46541,4549.878675,9938,4549.878675,4.341933653,0.425108638,32902,11756,2
6,4,909.9988546,104.2770547,76567,7710.985221,12991,7710.985221,5.087916346,1.109615244,52369,17878,2
7,0,9839.993716,433.7172246,98137,3517.050297,18691,3517.050297,8.473069803,0.276773533,65030,26620,6
7,1,1780.000692,182.6460431,119779,10475.40021,21416,10475.40021,9.592699327,0.630752492,76968,29521,7
7,2,2534.997651,217.222461,79408,3906.480383,16585,3906.480383,7.289938638,0.391767211,57048,23979,5
7,3,4034.995984,290.3669131,87622,4425.50482,17098,4425.50482,8.645602635,0.503122137,60670,23874,6
7,4,1489.999389,152.4877439,133715,11987.83936,23927,11987.83936,8.681206878,0.70033186,87436,35444,5
8,0,17494.97711,1464.567704,60428,5292.576082,11813,5292.576082,4.591884676,0.155637676,42885,14576,3
8,1,1885.002439,145.0560971,43623,2853.761301,8751,2853.761301,5.416442999,0.244098213,31660,11394,4
8,2,3449.997584,314.0151205,31145,1426.152965,7787,1426.152965,5.195651993,0.396189015,24164,10483,4
8,3,4104.99713,269.7585427,36663,1507.317846,7021,1507.317846,5.147378677,0.201141479,24484,10194,3
8,4,8054.979952,1397.333933,90559,7784.957239,17681,7784.957239,3.857234614,0.164570908,79590,19573,3
9,0,84349.95436,3370.794284,116854,3072.342277,19785,3072.342277,7.301007175,0.126295204,70266,31439,4
9,1,14495.01146,1362.966833,120046,7683.89022,19550,7683.89022,7.275610822,0.278630099,75082,30192,4
9,2,18589.96467,1467.881594,94262,3042.655309,19178,3042.655309,7.114574503,0.228978954,61108,30035,4
9,3,31524.97749,2349.797754,103939,3878.483214,17893,3878.483214,7.400951979,0.226843297,64619,28170,4
9,4,19740.00074,1352.164804,158761,9131.326109,24449,9131.326109,7.335614038,0.270009302,92115,39412,4
10,0,33739.96649,1375.644534,38194,1051.558998,7883,1051.558998,2.137374186,0.062786708,28449,10833,1
10,1,9924.994547,1089.335233,32221,1845.880184,6738,1845.880184,1.596473205,0.066692722,24883,8512,1
10,2,6789.993369,409.7349925,34906,1492.835347,8563,1492.835347,2.339470461,0.110104243,26428,11151,1
10,3,10399.99375,611.1528442,39055,1692.921332,7958,1692.921332,2.484614768,0.113966632,30086,10442,1
10,4,6624.984826,405.4085238,50464,3778.136955,8711,3778.136955,2.195473494,0.190016625,34757,15124,1
11,0,3684.996999,153.5440949,56862,2504.679769,9867,2504.679769,6.217095488,0.203180971,38812,14142,5
11,1,615.0013275,58.89868583,66728,6201.605417,12492,6201.605417,7.146338593,0.537430477,51058,16494,5
11,2,794.9997544,70.07853808,45364,4619.931,9291,4619.931,5.83018954,0.349380838,32556,13370,5
11,3,1649.997469,105.7392583,51587,3494.93939,9013,3494.93939,6.193939316,0.317871777,35821,12450,5
11,4,624.9984476,63.36356704,75789,7353.915433,12050,7353.915433,5.855993818,0.491222805,51298,17330,4
12,0,26179.97911,1081.071847,65826,1931.70919,12829,1931.70919,4.309969737,0.115089068,46140,17847,3
12,1,5705.000499,685.0563446,70815,5777.253652,12238,5777.253652,4.10867666,0.292954098,47472,17682,2
12,2,5794.993344,435.567691,56767,3035.070609,12483,3035.070609,3.959448124,0.204695914,41087,17430,2
12,3,9719.992721,607.9584724,62704,2203.437197,12790,2203.437197,4.905863957,0.202486621,45504,17114,3
12,4,4959.992545,374.2745308,77808,4405.615376,14034,4405.615376,3.78326734,0.172757237,53440,20184,2
13,0,245.0017433,39.66899037,51262,3973.151944,13614,3973.151944,4.489791172,0.643539102,43681,15634,3
13,1,0,0,51960,8708.53817,15234,8708.53817,4.846078615,0.932171139,48182,17894,4
13,2,0,0,0,0,0,0,0,0,0,0,0
13,3,90.00009009,23.40361137,53943,5864.464786,11833,5864.464786,5.72225146,1.410003229,47905,14816,4
13,4,0,0,0,0,0,0,0,0,0,0,0
14,0,235.0000858,51.27815843,0,0,0,0,0,0,0,0,0
14,1,0,0,40875,9151.588789,6602,9151.588789,0,0,31739,8532,0
14,2,0,0,0,0,0,0,0,0,0,0,0
14,3,54.99978531,16.06797402,0,0,0,0,0,0,0,0,0
14,4,0,0,0,0,0,0,0,0,0,0,0
15,0,555.0006664,58.72451539,50967,13999.00815,7408,13999.00815,0,0,25700,14225,0
15,1,150.0003374,32.08125646,0,0,0,0,0,0,0,0,0
15,2,159.9997442,31.12283898,32145,4197.606366,7799,4197.606366,4.374994034,1.071696752,26243,11345,3
15,3,135.0001122,27.40832951,29445,5669.799531,5834,5669.799531,2.444461204,0.562552765,19109,7536,1
15,4,110.0004727,26.44832809,0,0,0,0,0,0,0,0,0
16,0,604.999021,72.14061418,88631,22845.07026,9758,22845.07026,7.768589437,1.881720241,33552,23586,1
16,1,139.9996862,41.524248,0,0,0,0,0,0,0,0,0
16,2,114.9997918,29.7479716,44614,9870.489039,11034,9870.489039,0,0,31364,14255,0
16,3,204.9997057,38.73662345,0,0,0,0,0,0,0,0,0
16,4,144.9998373,33.08379107,0,0,0,0,0,0,0,0,0
