PRCCSID,Region,Discharges,MeanLOS,MedianLOS,MeanCharges,MedianCharges,MeanCost,MedianCost,DischargesStdErr,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
0,0,35358818,4.6,3.0,41633,22343,10885,6278,291302,0.020,510,100
1,0,101980,8.7,6.0,132765,93260,34418,25171,3427,0.121,2642,492
1,1,19745,9.2,6.0,148949,101146,35543,25180,1562,0.290,7409,1181
1,2,24230,8.1,6.0,113542,84091,33462,25020,1518,0.195,3209,831
1,3,40435,9.2,6.0,126651,88957,32084,23863,2120,0.204,3795,725
1,4,17570,8.1,5.0,155851,109976,40120,28543,1582,0.305,7110,1504
2,0,25385,8.0,3.0,107062,54866,28575,15172,1127,0.228,3509,796
2,1,4610,8.8,4.0,129046,60868,30231,15898,476,0.485,9534,1715
2,2,5770,8.0,3.0,93794,50014,28802,15086,500,0.477,4863,1505
2,3,10355,7.8,3.0,90542,51389,24820,13873,757,0.390,3867,1075
2,4,4650,7.5,3.0,139228,71100,35337,17552,469,0.448,12281,2587
3,0,151710,3.3,2.0,60417,40814,14884,10696,3702,0.035,1469,251
3,1,29015,3.2,2.0,47203,33080,12153,9016,1914,0.079,1801,396
3,2,30570,3.3,2.0,42641,32733,12583,9815,1521,0.064,1206,317
3,3,49545,3.5,2.0,52417,38329,12952,9651,1721,0.070,1278,242
3,4,42580,3.1,2.0,94240,67243,21167,15641,2183,0.064,4077,626
4,0,198510,5.7,4.0,46372,29066,12355,8175,4072,0.053,734,156
4,1,33550,6.0,4.0,52526,31001,13415,8836,1479,0.135,2246,374
4,2,42065,5.4,4.0,38357,25733,11782,8123,1637,0.098,994,264
4,3,81610,5.8,4.0,41503,26887,10973,7357,3048,0.090,848,223
4,4,41285,5.7,4.0,59679,37224,14940,9725,1557,0.114,2209,449
5,0,32010,5.3,4.0,52509,31312,14370,8530,1168,0.126,1858,575
5,1,5245,5.7,4.0,51907,33539,13741,9067,363,0.306,3120,844
5,2,8950,4.7,3.0,36498,22722,11477,7074,541,0.183,2732,953
5,3,9440,5.9,4.0,52637,33917,14631,8853,701,0.226,2559,1150
5,4,8375,5.1,3.0,70489,40971,17678,10629,669,0.261,5282,1304
6,0,2375,4.6,3.0,79510,48664,19266,12081,143,0.286,6930,1549
6,1,405,4.0,3.0,55810,49675,14037,8624,62,0.480,5127,1856
6,2,340,5.1,3.0,54888,35734,16558,10437,52,0.732,7459,2024
6,3,725,4.7,3.0,57268,37894,14446,9629,71,0.585,5396,1237
6,4,905,4.7,3.0,119155,72760,26861,17693,94,0.470,16569,3682
7,0,10230,8.6,6.0,104681,70783,28296,19341,447,0.256,3086,896
7,1,1885,10.7,7.0,133364,85617,34586,20538,185,0.695,8912,2979
7,2,2750,7.8,5.0,89282,64012,26017,17960,251,0.387,4373,1118
7,3,3890,8.2,6.0,89825,64566,24043,17771,279,0.359,3738,1156
7,4,1705,8.5,5.0,133087,92497,35086,25720,157,0.761,8419,2343
8,0,16830,4.8,3.0,61469,41681,14718,10807,1224,0.160,4569,789
8,1,1735,5.3,4.0,43298,29221,11332,8486,153,0.275,3044,745
8,2,3495,5.3,4.0,34804,26880,10548,8177,312,0.314,1668,574
8,3,3970,5.8,4.0,41753,25500,11179,6773,251,0.295,2510,813
8,4,7630,3.8,3.0,89842,76678,19543,17029,1147,0.168,7260,1291
9,0,83265,7.3,4.0,122316,75948,31737,20717,3336,0.118,2972,554
9,1,14375,7.3,4.0,129687,81998,31344,20498,1329,0.267,7014,1281
9,2,17700,7.0,4.0,97844,65066,29795,19592,1341,0.214,3075,939
9,3,31290,7.3,4.0,107326,69715,28144,19358,2317,0.203,3613,632
9,4,19900,7.4,4.0,164605,100205,39896,25022,1481,0.263,8763,1606
10,0,24745,2.4,1.0,44386,31555,11354,8473,978,0.077,1509,278
10,1,7240,2.1,1.0,39734,26559,9769,7091,755,0.131,2997,440
10,2,4850,2.5,1.0,37902,29474,11534,8835,314,0.148,1718,474
10,3,8030,2.6,1.0,44085,34443,11188,8684,448,0.114,1819,372
10,4,4625,2.5,1.0,60388,37131,14228,9798,296,0.248,5900,1050
11,0,3700,6.8,5.0,57792,42728,13940,10300,150,0.490,2554,608
11,1,525,7.3,5.0,62041,47662,15937,12399,51,0.666,5049,1104
11,2,805,6.2,5.0,46523,34353,12915,9519,78,0.440,3775,952
11,3,1675,6.5,5.0,50184,40193,11536,9136,100,0.376,2253,469
11,4,695,8.1,5.0,86556,55511,19555,12804,61,2.330,10919,2678
12,0,24435,4.4,3.0,70606,51507,18492,14203,1031,0.103,1841,375
12,1,5230,4.1,2.0,72181,49951,17244,12806,576,0.233,4248,959
12,2,5305,4.4,3.0,62531,49208,18992,15083,504,0.218,3058,764
12,3,9270,4.8,3.0,67466,50431,17677,14028,575,0.174,2568,472
12,4,4630,4.0,3.0,85571,59090,21223,15285,384,0.182,5383,1033
13,0,205,5.3,3.0,67204,50946,17410,13104,40,1.415,10796,2930
13,1,0,0,0,0,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,0,0,0,0,0
13,3,0,5.1,3.0,67588,76934,15347,15334,0,1.126,10699,2108
13,4,0,0,0,0,0,0,0,0,0,0,0
14,0,195,0,0,39512,25364,11422,6850,33,0,8092,2898
14,1,0,2.2,2.0,28746,26480,8013,7259,0,0.363,4414,891
14,2,0,0,0,0,0,0,0,0,0,0,0
14,3,0,0,0,0,0,0,0,0,0,0,0
14,4,75,2.2,1.0,0,0,9104,5837,20,0.601,0,2548
15,0,470,4.0,2.0,49459,31371,14334,8736,54,0.944,8657,2614
15,1,115,0,0,0,0,0,0,27,0,0,0
15,2,100,0,0,0,0,0,0,23,0,0,0
15,3,155,3.1,2.0,41927,36318,11531,10378,29,0.561,6625,1315
15,4,100,2.1,1.0,47700,43452,12270,11241,29,0.439,10768,2728
16,0,510,5.0,2.0,62138,30750,16980,8234,75,1.372,15961,4410
16,1,105,2.7,1.0,40460,28640,10535,8234,27,0.645,7661,1913
16,2,120,0,0,0,0,0,0,30,0,0,0
16,3,150,4.6,2.0,61788,47492,15358,10676,37,1.233,14644,2754
16,4,0,2.6,2.0,34434,18298,9401,5837,0,0.499,9885,2405
17,0,660,22.9,4.0,201398,53914,55296,16699,102,3.893,37428,8944
17,1,0,0,0,0,0,0,0,0,0,0,0
17,2,265,0,0,95845,45707,0,0,78,0,25491,0
17,3,165,37.4,14.0,274573,67792,73319,23657,32,8.627,70737,17337
17,4,0,28.2,6.0,0,0,84614,21123,0,7.215,0,22006
18,0,565,8.2,5.0,87371,44223,22528,13190,70,0.866,18843,3395
18,1,165,7.9,5.0,57180,36985,18625,13505,45,1.826,11424,3025
18,2,120,6.3,5.0,59724,42742,18608,12645,27,1.282,10609,3971
18,3,180,8.5,5.0,71225,44800,18484,11424,37,1.472,12922,3361
18,4,100,10.6,9.0,0,0,0,0,29,1.972,0,0
19,0,12890,3.9,2.0,43487,28804,11153,7714,442,0.130,1542,365
19,1,2765,3.6,2.0,39075,27310,10316,7612,232,0.338,2279,564
19,2,2620,4.2,3.0,35956,25142,10746,7600,159,0.260,2439,844
19,3,4580,3.9,2.0,37433,27299,9273,6947,253,0.210,1644,325
19,4,2925,3.9,2.0,64232,42093,15356,10105,227,0.248,5065,1178
20,0,1755,5.4,3.0,59690,38319,16421,10737,140,0.563,5461,1628
20,1,350,6.0,2.0,68469,39433,16844,10077,66,1.405,14743,2566
20,2,365,7.4,3.0,61744,33967,0,0,54,1.848,15939,0
20,3,640,4.7,3.0,44497,38010,12830,10737,97,0.564,4496,1190
20,4,400,4.2,2.0,76345,45273,18641,12138,53,0.865,12699,3062
21,0,3190,4.5,3.0,64920,41949,16998,11772,216,0.184,4221,721
21,1,805,4.2,3.0,61830,40896,15020,10238,136,0.321,8470,1118
21,2,730,4.3,4.0,49157,38399,15130,12531,88,0.308,3034,1031
21,3,1115,5.3,3.0,72842,42352,18883,12362,127,0.387,9120,1468
21,4,540,3.8,3.0,74422,49057,18600,13503,65,0.312,8973,1876
22,0,205,2.7,2.0,46169,40361,13878,10741,34,0.518,5031,1515
22,1,0,0,0,0,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0,0,0,0
22,3,60,3.3,2.0,59346,63153,16561,14575,17,0.863,11233,3085
22,4,80,0,0,48232,40591,13584,11716,22,0,8380,2645
23,0,2790,4.5,3.0,50533,30312,13088,8709,212,0.290,3178,695
23,1,495,5.2,3.0,55960,30867,12316,8422,67,0.626,7064,1141
