ParentName,Name,LongTitle,Description,ConsumerLongTitle,ConsumerDescription,CategoryType,TipsChecklist,TopicIcon,TopicFact1Text,TopicFact1Image,TopicFact1Citation,TopicFact2Text,TopicFact2Image,TopicFact2Citation,TopicFact3Text,TopicFact3Image,TopicFact3Citation
SKIP_ROW,Name-xxx,"LongTitle-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx_We use OLE DB driver to import this file.  By default OLE DB uses only the first 8 rows of the .CSV to determine the format of all columns.  So/And if you need a row to have varchar(max) in DB, but none of the 1st 8 rows of the CSV have data for a column > 256 chars, OLE will conclude that the column should default to varchar(256), thus chopping off data for any other rows that do have data for the column > 256 chars.  This row forces OLE to evaluate all columns correctly.",Description-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,ConsumerLongTitle-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,ConsumerDescription-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,CategoryType-xxx,TipsChecklist-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicIcon-xxx,TopicFact1Text-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicFact1Image-xxx,TopicFact1Citation-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicFact2Text-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicFact2Image-xxx,TopicFact2Citation-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicFact3Text-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,TopicFact3Image-xxx,TopicFact3Citation-VARCHAR_MAXxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Health Care Cost and Quality,Heart Surgeries and Procedures,"This table shows information about how well hospitals perform on Heart Surgeries and Procedures for three topics:  (1) hospital quality, shown by how often patients die in the hospital after getting this surgery; (2) hospital cost, shown by the dollars the hospital usually spends on this surgery; and (3) how many surgeries are performed each year.",,"This table shows information about how well hospitals perform on Heart Surgeries and Procedures for three topics:  (1) hospital quality, shown by how often patients die in the hospital after getting this surgery; (2) hospital cost, shown by the dollars the hospital usually spends on this surgery; and (3) how many surgeries are performed each year.",,,,,,,,,,,,,
Health Care Cost and Quality,Hip replacement surgery,"This table shows information about how well hospitals perform on hip replacement surgery for three topics:  (1) hospital quality, shown by how often patients die in the hospital after getting this surgery; (2) hospital cost, shown by the dollars the hospital usually spends on this surgery; and (3) how many surgeries are performed each year.",,"This table shows information about how well hospitals perform on hip replacement surgery for three topics:  (1) hospital quality, shown by how often patients die in the hospital after getting this surgery; (2) hospital cost, shown by the dollars the hospital usually spends on this surgery; and (3) how many surgeries are performed each year.",,,,,,,,,,,,,
Heart surgeries and procedures,,,Ratings about surgeries and procedures related to the heart such as angioplasty and coronary bypass surgery.,,"In heart disease, the arteries that connect to the heart become clogged. The most common heart surgery is coronary artery bypass grafting (CABG). Surgeons use a healthy artery from the body to restore blood supply to the heart. In another procedure called angioplasty, the blocked artery is widened to improve blood flow.",Topic,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartSurgery_Tip1.png'><p>Before leaving the hospital, ask your doctor how to care for your surgical incisions, recognize signs of infection or other problems, and deal with the after-effects of surgery. </p><p class='tip__source'><a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hs/after"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartSurgery_Tip2.png'><p>Ask for information about follow-up appointments, medicines, and situations when you should call your doctor right away.</p><p class='tip__source'><a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hs/after"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/HeartSurgery_Tip3.png'><p>Ask your doctor if cardiac rehab could help improve your health and well-being.
Cardiac rehab includes exercise training, education on heart healthy living, and counseling to reduce stress and help you recover. Your doctor can help you find a nearby cardiac rehab program.
</p><p class='tip__source'><a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hs/after"" target=""_blank""></a> </p></div>",topics/heart-surgeries.png,Surgeries using smaller cuts or newer techniques (such as laparoscopic surgery) may reduce risks and speed up recovery time. ,themes/consumer/assets/infographic/facts-tips/HeartSurgery_Fact1.png,"<a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hs"" target=""_blank"">What Is Heart Surgery? - NHLBI, NIH</a>","After heart surgery, you may spend a day or more in the hospital's intensive care unit (ICU). When you leave the ICU, you will be moved to another room until you are ready to go home. Doctors and nurses will closely watch your heart rate, blood pressure, breathing, and incisions.",themes/consumer/assets/infographic/facts-tips/HeartSurgery_Fact2.png," <a href=""http://www.nhlbi.nih.gov/health/health-topics/topics/hs/after"" target=""_blank"">What To Expect After Heart Surgery - NHLBI, NIH</a>",,,
Patient safety,,,"Ratings about how safe the hospital is for any type of patient.  Many medical complications can be avoided if patients receive the right care in the hospital.<ul><li>Hospital quality ratings for results of surgical and nonsurgical care are provided.  These results can occur in either surgical or nonsurgical cases.</li><li><u>Recommended Care:</u> Information on how many patients got the care they needed such as the right medicine, surgery, or advice.</li><li><u>Results of care:</u> Information on what happened to patients while being cared for in the hospital or after leaving the hospital. </li></ul>",,"Medical errors can occur anywhere in the health care system: in hospitals, clinics, surgery centers, doctors' offices, nursing homes, pharmacies, and patients' homes. Errors can involve medicines, surgery, diagnosis, equipment, or lab reports.",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/PatientSafety_Tip1.png'><p>If possible, choose a hospital where many patients have had the treatment or surgery you need.</p><p class='tip__source'><a href=""http://www.ahrq.gov/patients-consumers/care-planning/errors/20tips/index.html""  target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/PatientSafety_Tip2.png'><p>Ask all health care workers who will touch you if they have washed their hands. Hand washing can prevent the spread of infections in hospitals.</p><p class='tip__source'><a href=""http://www.ahrq.gov/patients-consumers/care-planning/errors/20tips/index.html"" target=""_blank""></a> </p></div><div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/PatientSafety_Tip3.png'><p>Speak up. Talk to your doctor about your questions or worries and ask what they are doing to protect you.</p><p class='tip__source'><a href=""http://www.cdc.gov/HAI/patientSafety/patient-safety.html"" target=""_blank""></a> </p></div>",topics/patient-safety.png,"Health care in the United States is not as safe as it should be--and can be. At least 44,000 people, and perhaps as many as 98,000 people, die in hospitals each year as a result of medical errors that could have been prevented.",themes/consumer/assets/infographic/facts-tips/PatientSafety_Fact1.png,"<a href=""http://www.cdc.gov/HAI/surveillance/index.html"" target=""_blank"">HAI Data and Statistics</a>",About 1 in 25 hospital patients has an infection that they got while receiving treatment at the hospital.,themes/consumer/assets/infographic/facts-tips/PatientSafety_Fact2.png,,,,
Patient safety,Results of care - Deaths,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Patient safety,Results of care - Complications,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,Information on what happened to patients while being cared for in the hospital or after leaving the hospital. These ratings are sometimes called outcome measures.,,,,,,,,,,,,,
Patient survey results,,,"Ratings from the Hospital Consumer Assessment of Healthcare Providers and Systems (HCAHPS, pronounced 'H-caps').  HCAHPS is a national, standardized survey of hospital patients that asks patients about their experiences during a recent hospital stay.",,"Consumer Assessment of Healthcare Providers and Systems (CAHPS) surveys ask patients to rate their experiences with health care. These surveys cover topics that are important to patients, such as the how well doctors communicate and whether services are easy to use.",,"<div class='infographic__tip'><img class='tip__icon' src='themes/consumer/assets/infographic/facts-tips/PatientSurvey_Tip1.png'><p>Ask your doctor questions about your care, like:</p><p>*What is the test for?</p><p>*How many times have you done this procedure?</p><p>*When will I get the results?</p><p>*Why do I need this treatment?</p><p>*Are there any alternatives?</p><p>*What are the possible complications?</p><p>*Which hospital is best for my needs?</p><p>*How do you spell the name of that drug?</p><p>*Are there any side effects?</p><p>*Will this medicine interact with medicines that I'm already taking?</p><p class='tip__source'><a href=""http://www.ahrq.gov/patients-consumers/patient-involvement/ask-your-doctor/index.html"" target=""_blank""></a> </p></div>",topics/patient-survey.png,"Survey results from other patients can help you
*make decisions about health plans and doctors
*start a conversation with a trusted doctor about the report 
*identify things to watch out for when using health care services 
*understand your own care better
*set expectations for what is good care",themes/consumer/assets/infographic/facts-tips/PatientSurvey_Fact1.png,"  <a href=""https://cahps.ahrq.gov/consumer-reporting/talkingquality/create/support/explain.html "" target=""_blank"">Explain How Quality Information Can Be Used | cahps.ahrq.gov</a>",,,,,,
Patient survey results,Communication,"These ratings show how satisfied patients say they are with the way hospital staff communicated with them. Good communication means that hospital staff explained things clearly, listened carefully, and treated patients with courtesy and respect. These ratings are collected from patient surveys.",,"Information about how well patients say hospital staff communicated with them, such as whether staff explained things clearly and listened to them carefully.",,,,,,,,,,,,,
Patient survey results,Environment,"These ratings show how satisfied patients say they are with the physical environment in the hospital. A good physical environment means that patients received help quickly, their pain was well-controlled, and the patient room was clean and quiet. This type of quality rating appears only in the 'Patient survey results' health topic. These ratings are collected from patient surveys.",,"Information about how patients describe the physical environment in the hospital such as whether they received help quickly, their pain was well-controlled, and their rooms were kept clean and quiet.",,,,,,,,,,,,,
