ProviderId,Latitude,Longitude
'015009',34.514971,-87.736372
'015010',33.164663,-86.25381
'015012',34.663091,-86.045507
'015014',33.559475,-86.722456
'015015',33.322494,-87.033563
'015016',34.803466,-86.976885
'015019',32.542798,-86.339953
'015023',32.854878,-86.624952
'015024',34.805283,-86.992785
'015027',32.55854,-86.22126
'015028',34.742663,-87.70583
'015031',34.807709,-87.687553
'015032',30.427019,-87.685464
'015034',33.239209,-87.620846
'015035',31.108611,-87.07143
'015037',32.318028,-86.261593
'015040',32.358454,-86.279254
'015042',32.496968,-88.284114
'015043',32.326566,-86.285672
'015044',33.487764,-86.956258
'015045',32.825475,-85.173713
'015047',33.533253,-86.809226
'015048',34.191199,-86.847478
'015049',30.612932,-87.907296
'015050',33.429257,-86.94124
'015053',33.636073,-85.589035
'015060',33.430514,-86.941507
'015063',34.219896,-86.160897
'015065',32.480579,-86.428676
'015066',34.51299,-87.719572
'015067',34.679997,-87.72587
'015071',34.510003,-87.719485
'015073',34.063069,-86.771938
'015075',34.38517,-86.911951
'015076',33.523365,-86.727038
'015083',31.429031,-86.076329
'015084',32.426434,-87.053653
'015089',31.422084,-86.94537
'015091',33.610784,-86.769223
'015097',33.497019,-86.799919
'015098',30.672584,-88.052129
'015100',30.652375,-88.101369
'015101',34.034331,-86.319554
'015103',30.690001,-88.087694
'015104',32.615469,-87.308695
'015109',33.528779,-86.811725
'015111',34.721719,-86.586605
'015112',32.432923,-85.691051
'015113',34.586288,-86.970509
'015114',33.825737,-87.277037
'015115',33.762015,-87.184853
'015116',34.697345,-86.570472
'015117',33.510568,-86.850394
'015119',32.42679,-87.046679
'015120',33.631828,-85.803373
'015121',31.092237,-88.242325
'015123',31.453192,-88.208144
'015124',33.231683,-85.854282
'015126',33.160179,-85.377349
'015127',34.716005,-86.629849
'015128',34.483691,-87.285989
'015129',31.016121,-87.478481
'015131',33.613594,-86.609615
'015132',33.592008,-85.843469
'015133',33.650018,-86.798518
'015134',33.634742,-86.665468
'015135',32.322232,-86.282062
'015136',34.368759,-86.908751
'015137',33.134382,-88.16865
'015138',34.162746,-87.410273
'015139',32.568958,-85.93788
'015141',33.381773,-88.019974
'015142',33.304286,-85.758196
'015143',33.239021,-87.580297
'015144',33.256235,-86.82683
'015145',33.3767,-86.788047
'015147',34.833132,-87.631794
'015148',34.312874,-86.492998
'015149',33.96997,-87.917408
