PRVDR_NUM_MOD,PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,CITY_NAME,FAC_NAME,STATE_CD,ST_ADR,PHNE_NUM,PGM_TRMNTN_CD,ZIP_CD,FIPS_CNTY_CD,BED_CNT,FAX_PHNE_NUM,MDCD_MDCR_PRTCPTG_PRVDR_SW,MLT_FAC_ORG_NAME,MLT_OWND_FAC_ORG_SW,DCTD_ER_SRVC_CD,SHCK_TRMA_SRVC_CD,EMPLEE_CNT,URGNT_CARE_SRVC_CD,PHYSN_CNTRCTR_SW,LAB_SRVC_CD,DGNSTC_XRAY_ONST_NRSDNT_SW,PED_SRVC_CD,PHRMCY_SRVC_CD,PED_ICU_SRVC_CD,LATITUDE,LONGITUDE
'010001',1,1,DOTHAN,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1108 ROSS CLARK CIRCLE,3347938701,0,36301,69,420,,Y,,,1,0,,0,,,,1,1,0,31.215378,-85.361534
'010005',1,1,BOAZ,MARSHALL MEDICAL CENTER SOUTH,AL,2505 U S HIGHWAY 431 NORTH,2565938310,0,35957,95,240,,Y,,,1,0,,0,,,,1,1,0,34.16637,-86.170841
'010006',1,1,FLORENCE,ELIZA COFFEE MEMORIAL HOSPITAL,AL,205 MARENGO STREET,2567688400,0,35631,77,358,,Y,,,3,0,,3,,,,1,1,0,34.79981,-87.677251
'010007',1,1,OPP,MIZELL MEMORIAL HOSPITAL,AL,702 N MAIN ST,3344933541,0,36467,39,99,,Y,,,3,3,,0,,,,1,1,1,31.291666,-86.255347
'010008',1,1,LUVERNE,CRENSHAW COMMUNITY HOSPITAL,AL,101 HOSPITAL CIRCLE,3343353374,0,36049,41,65,,Y,,,0,0,,0,,,,1,1,0,31.716546,-86.263849
'010011',1,1,BIRMINGHAM,ST VINCENT'S EAST,AL,50 MEDICAL PARK EAST DRIVE,2058383122,0,35235,73,362,,Y,,,3,0,,0,,,,2,3,0,33.520682,-86.802433
'010012',1,1,FORT PAYNE,DEKALB REGIONAL MEDICAL CENTER,AL,200 MED CENTER DRIVE,2568453150,0,35968,49,134,,Y,,,1,0,,0,,,,1,1,0,34.444255,-85.719689
'010016',1,1,ALABASTER,SHELBY BAPTIST MEDICAL CENTER,AL,1000 FIRST STREET NORTH,2056208100,0,35007,117,192,,Y,,,1,0,,0,,,,1,1,0,33.208678,-86.761857
'010018',1,1,BIRMINGHAM,CALLAHAN EYE HOSPITAL,AL,1720 UNIVERSITY BLVD,2053258100,0,35233,73,106,,Y,,,1,0,,0,,,,0,1,0,33.502958,-86.803155
'010019',1,1,SHEFFIELD,HELEN KELLER MEMORIAL HOSPITAL,AL,1300 SOUTH MONTGOMERY AVENUE,2563864556,0,35660,33,185,,Y,,,3,0,,0,,,,1,1,0,34.74589,-87.699002
'010021',1,1,OZARK,DALE MEDICAL CENTER,AL,126 HOSPITAL AVE,3347742601,0,36360,45,89,,Y,,,3,0,,3,,,,3,1,1,31.451723,-85.631043
'010022',1,1,CENTRE,CHEROKEE MEDICAL CENTER,AL,400 NORTHWOOD DR,2569275531,0,35960,19,60,,Y,,,1,0,,0,,,,0,1,0,34.162688,-85.650835
'010023',1,1,MONTGOMERY,BAPTIST MEDICAL CENTER SOUTH,AL,2105 EAST SOUTH BOULEVARD,3342882100,0,36116,101,454,,Y,,,3,0,,0,,,,1,1,0,32.326526,-86.303366
'010024',1,1,MONTGOMERY,JACKSON HOSPITAL & CLINIC INC,AL,1725 PINE STREET,3342938000,0,36106,101,349,,Y,,,1,0,,0,,,,1,1,0,32.366629,-86.285936
'010029',1,1,OPELIKA,EAST ALABAMA MEDICAL CENTER,AL,2000 PEPPERELL PARKWAY,3347493411,0,36801,81,314,,Y,,,3,0,,0,,,,1,1,0,32.638073,-85.405397
'010032',1,1,WEDOWEE,WEDOWEE HOSPITAL,AL,209 NORTH MAIN STREET,2563572111,0,36278,111,34,,Y,,,1,0,,0,,,,0,1,0,33.310209,-85.485011
'010033',1,1,BIRMINGHAM,UNIVERSITY OF ALABAMA HOSPITAL,AL,619 SOUTH 19TH STREET,2059344011,0,35233,73,1127,,Y,,,1,0,,0,,,,1,1,0,33.520682,-86.802433
'010034',1,1,TALLASSEE,COMMUNITY HOSPITAL INC,AL,805 FRIENDSHIP ROAD,3342836541,0,36078,51,69,,Y,,,3,0,,0,,,,1,1,0,32.535968,-85.893292
'010035',1,1,CULLMAN,CULLMAN REGIONAL MEDICAL CENTER,AL,1912 ALABAMA HIGHWAY 157,2567372000,0,35058,43,115,,Y,,,1,0,,0,,,,1,1,0,34.192697,-86.794376
'010036',1,1,ANDALUSIA,ANDALUSIA REGIONAL HOSPITAL,AL,849 SOUTH THREE NOTCH STREET,3342228466,0,36420,39,100,,Y,,,3,0,,0,,,,1,1,0,31.296571,-86.496801
'010038',1,1,ANNISTON,STRINGFELLOW MEMORIAL HOSPITAL,AL,301 EAST 18TH ST,2562358900,0,36201,15,125,,Y,,,3,0,,0,,,,1,1,0,33.668006,-85.823674
'010039',1,1,HUNTSVILLE,HUNTSVILLE HOSPITAL,AL,101 SIVLEY RD,2562651000,0,35801,89,881,,Y,,,1,0,,0,,,,1,1,0,34.615232,-86.807343
'010040',1,1,GADSDEN,GADSDEN REGIONAL MEDICAL CENTER,AL,1007 GOODYEAR AVENUE,2564944000,0,35903,55,346,,Y,,,1,0,,0,,,,1,1,0,34.009353,-85.970961
'010044',1,1,HAMILTON,MARION REGIONAL MEDICAL CENTER,AL,1256 MILITARY STREET SOUTH,2059216200,0,35570,93,57,,Y,,,1,0,,0,,,,1,1,0,34.127512,-87.989736
'010045',1,1,FAYETTE,FAYETTE MEDICAL CENTER,AL,1653 TEMPLE AVENUE NORTH,2059325966,0,35555,57,61,,Y,,,1,0,,0,,,,1,1,0,33.707207,-87.824192
'010046',1,1,GADSDEN,RIVERVIEW REGIONAL MEDICAL CENTER,AL,600 SOUTH THIRD STREET,2565435200,0,35901,55,281,,Y,,,3,1,,0,,,,1,1,0,33.957312,-86.067814
'010047',1,1,GEORGIANA,GEORGIANA MEDICAL CENTER,AL,515 N MIRANDA AVENUE,3343762205,0,36033,13,22,,Y,,,1,0,,0,,,,1,1,0,31.637103,-86.741917
'010049',1,1,ENTERPRISE,MEDICAL CENTER ENTERPRISE,AL,400 N EDWARDS STREET,3343470584,0,36330,31,131,,Y,,,1,0,,0,,,,1,1,0,31.318217,-85.855214
'010050',1,1,ONEONTA,ST VINCENTS BLOUNT,AL,150 GILBREATH DRIVE,2052743000,0,35121,9,40,,Y,,,1,0,,0,,,,0,1,0,33.9334,-86.495001
'010051',1,1,EUTAW,GREENE COUNTY HOSPITAL,AL,509 WILSON AVENUE,2053723388,0,35462,63,20,,Y,,,1,0,,0,,,,0,2,0,32.843283,-87.889577
