CategoryID,CategoryName
16,Miscellaneous diagnostic and therapeutic procedures
1,Operations on the nervous system
2,Operations on the endocrine system
3,Operations on the eye
4,Operations on the ear
5,Operations on the nose; mouth; and pharynx
6,Operations on the respiratory system
7,Operations on the cardiovascular system
8,Operations on the hemic and lymphatic system
9,Operations on the digestive system
10,Operations on the urinary system
11,Operations on the male genital organs
12,Operations on the female genital organs
13,Obstetrical procedures
14,Operations on the musculoskeletal system
15,Operations on the integumentary system
