ZipCode,HRR,HSA,State
00501,301,33095,NY
00544,301,33095,NY
01001,230,22058,MA
01002,230,22046,MA
01003,230,22046,MA
01004,230,22046,MA
01005,231,22070,MA
01007,230,22063,MA
01008,230,22066,MA
01009,230,22049,MA
01010,231,22057,MA
01011,295,22051,NY
01012,230,22046,MA
01013,230,22058,MA
01014,230,22058,MA
01020,230,22058,MA
01021,230,22058,MA
01022,230,22023,MA
01026,230,22046,MA
01027,230,22046,MA
01028,230,22058,MA
01029,230,22020,MA
01030,230,22058,MA
01031,230,22063,MA
01032,230,22046,MA
01033,230,22023,MA
01034,230,22066,MA
01035,230,22046,MA
01036,230,22058,MA
01037,230,22063,MA
01038,230,22046,MA
01039,230,22046,MA
01040,230,22023,MA
01041,230,22023,MA
01050,230,22066,MA
01053,230,22046,MA
01054,230,22021,MA
01056,230,22028,MA
01057,230,22049,MA
01059,230,22046,MA
01060,230,22046,MA
01061,230,22046,MA
01062,230,22046,MA
01063,230,22046,MA
01066,230,22046,MA
01068,231,22070,MA
01069,230,22049,MA
01070,230,22046,MA
01071,230,22066,MA
01072,230,22021,MA
01073,230,22046,MA
01074,231,22070,MA
01075,230,22023,MA
01077,230,22066,MA
01079,230,22049,MA
01080,230,22049,MA
01081,231,22057,MA
01082,230,22063,MA
01083,230,22063,MA
01084,230,22046,MA
01085,230,22066,MA
01086,230,22066,MA
01088,230,22046,MA
01089,230,22058,MA
01090,230,22058,MA
01092,230,22063,MA
01093,230,22021,MA
01094,230,22063,MA
01095,230,22058,MA
01096,230,22046,MA
01097,230,22066,MA
01098,230,22046,MA
01101,230,22058,MA
01102,230,22058,MA
01103,230,22058,MA
01104,230,22058,MA
01105,230,22058,MA
01106,230,22058,MA
01107,230,22058,MA
01108,230,22058,MA
01109,230,22058,MA
01111,230,22058,MA
01115,230,22058,MA
01116,230,22058,MA
01118,230,22058,MA
01119,230,22058,MA
01128,230,22058,MA
01129,230,22058,MA
01138,230,22058,MA
01139,230,22058,MA
01144,230,22058,MA
01151,230,22058,MA
01152,230,22058,MA
01199,230,22058,MA
01201,295,22051,NY
01202,295,22051,NY
01203,295,22051,NY
01220,230,22045,MA
01222,230,22020,MA
01223,295,22051,NY
01224,295,22051,NY
01225,295,22051,NY
01226,295,22051,NY
01227,295,22051,NY
01229,295,22051,NY
01230,230,22020,MA
01235,295,22051,NY
01236,230,22020,MA
01237,295,22051,NY
01238,295,22051,NY
01240,295,22051,NY
01242,295,22051,NY
01243,295,22051,NY
01244,230,22020,MA
01245,230,22020,MA
01247,230,22045,MA
01252,230,22020,MA
01253,230,22020,MA
01254,295,22051,NY
01255,230,22020,MA
01256,230,22045,MA
01257,230,22020,MA
01258,230,22020,MA
01259,230,22020,MA
01260,295,22051,NY
01262,295,22051,NY
01263,295,22051,NY
01264,295,22051,NY
01266,295,22051,NY
01267,230,22045,MA
01270,295,22051,NY
01301,230,22021,MA
01302,230,22021,MA
01330,230,22021,MA
01331,231,22002,MA
01337,230,22021,MA
01338,230,22021,MA
01339,230,22021,MA
01340,230,22021,MA
01341,230,22021,MA
01342,230,22021,MA
01343,230,22021,MA
01344,230,22021,MA
01346,230,22021,MA
01347,230,22021,MA
01349,230,22021,MA
01350,230,22045,MA
01351,230,22021,MA
01354,230,22021,MA
01355,231,22002,MA
01360,230,22021,MA
01364,231,22002,MA
01366,231,22002,MA
01367,230,22021,MA
01368,231,22002,MA
01370,230,22021,MA
01373,230,22021,MA
01375,230,22021,MA
01376,230,22021,MA
01378,231,22002,MA
01379,230,22021,MA
01380,230,22021,MA
01420,231,22016,MA
01430,231,22018,MA
01431,231,22016,MA
01432,227,22004,MA
01434,227,22004,MA
01436,231,22018,MA
01438,231,22018,MA
01440,231,22018,MA
01441,231,22018,MA
01450,227,22004,MA
01451,227,22004,MA
01452,231,22018,MA
01453,231,22026,MA
01460,227,22004,MA
01462,231,22016,MA
01463,227,22004,MA
01464,227,22004,MA
01467,227,22004,MA
01468,231,22018,MA
01469,227,22004,MA
01470,227,22004,MA
01471,227,22004,MA
01472,227,22004,MA
01473,231,22018,MA
01474,231,22016,MA
01475,231,22018,MA
01501,231,22070,MA
01503,231,22070,MA
01504,364,41009,RI
01505,231,22070,MA
01506,231,22070,MA
01507,231,22057,MA
01508,231,22057,MA
01509,231,22057,MA
01510,231,22010,MA
01515,231,22070,MA
01516,231,22070,MA
01518,231,22057,MA
01519,231,22070,MA
01520,231,22070,MA
01521,231,22057,MA
01522,231,22070,MA
01523,231,22010,MA
01524,231,22070,MA
01525,231,22070,MA
01526,231,22070,MA
01527,231,22070,MA
01529,364,41009,RI
01531,231,22070,MA
01532,231,22070,MA
01534,231,22070,MA
01535,231,22070,MA
01536,231,22070,MA
01537,231,22070,MA
01538,231,22070,MA
01540,231,22070,MA
01541,231,22070,MA
01542,231,22070,MA
01543,231,22070,MA
01545,231,22070,MA
01546,231,22070,MA
01550,231,22057,MA
01560,231,22070,MA
01561,231,22010,MA
01562,231,22070,MA
01564,231,22070,MA
01566,231,22057,MA
01568,231,22070,MA
01569,231,22070,MA
01570,231,22065,MA
01571,231,22065,MA
01581,231,22070,MA
01583,231,22070,MA
01585,230,22063,MA
01586,231,22070,MA
01588,231,22070,MA
01590,231,22070,MA
01601,231,22070,MA
01602,231,22070,MA
01603,231,22070,MA
01604,231,22070,MA
01605,231,22070,MA
01606,231,22070,MA
01607,231,22070,MA
01608,231,22070,MA
01609,231,22070,MA
01610,231,22070,MA
01611,231,22070,MA
01612,231,22070,MA
01613,231,22070,MA
01614,231,22070,MA
01615,231,22070,MA
01653,231,22070,MA
01655,231,22070,MA
01701,227,22039,MA
01702,227,22039,MA
01703,227,22039,MA
01704,227,22039,MA
01705,227,22039,MA
01718,227,22011,MA
01719,227,22011,MA
01720,227,22011,MA
01721,227,22039,MA
01730,227,22011,MA
01731,227,22011,MA
01740,231,22031,MA
01741,227,22011,MA
01742,227,22011,MA
01745,227,22039,MA
01746,227,22039,MA
01747,231,22070,MA
01748,227,22039,MA
01749,231,22031,MA
01752,231,22031,MA
01754,227,22011,MA
01756,231,22070,MA
01757,227,22039,MA
01760,227,22039,MA
01770,227,22039,MA
01772,227,22039,MA
