MeasureCode,MeasureType,Source,ClinicalTitle,WebName,Description,Footnote,RateLabel,Nqf,NqfId,BetterHighLow,RaMethod,ScaleBy,ScaleTarget,NatBenchmark,PeerBenchmark,Numerator,Denominator,ObservedRate,IsIncludedInDomainScoring,SupportsCost,ConsumerDescription,ConsumerPlainTitle
IQI 01,QIvolume,AHRQ,Esophageal Resection Volume,Number of surgeries to remove part of the esophagus,"How often a hospital did an operation to remove a diseased portion of the esophagus (the tube leading from the throat to the stomach), usually due to cancer.",1,,Y,361,H,obsv,1,Provider,0,0,1223,0,0,0,0,"How often a hospital did an operation to remove a diseased portion of the esophagus (the tube leading from the throat to the stomach), usually due to cancer.",Number of surgeries to remove part of the esophagus
IQI 02,QIvolume,AHRQ,Pancreatic Resection Volume,Number of surgeries to remove part of the pancreas,"How often a hospital did an operation to remove a diseased portion of the pancreas (a digestive organ), usually due to cancer.",1,,Y,366,H,obsv,1,Provider,0,0,1928,0,0,0,0,"How often a hospital did an operation to remove a diseased portion of the pancreas (a digestive organ), usually due to cancer.",Number of surgeries to remove part of the pancreas
IQI 04,QIvolume,AHRQ,Abdominal Aortic Aneurysm (AAA) Repair Volume,Number of surgeries to fix the artery that carries blood to the lower body when it gets too large,"How often a hospital did an operation involving repair of an abnormally enlarged blood vessel supplying blood to the stomach, pelvis and legs ((<i>called abdominal aortic aneurysm repair</i>).",1,,Y,357,H,obsv,1,Provider,0,0,8845,0,0,0,0,"How often a hospital did an operation involving repair of an abnormally enlarged blood vessel supplying blood to the stomach, pelvis and legs ((<i>called abdominal aortic aneurysm repair</i>).",Number of surgeries to fix the artery that carries blood to the lower body when it gets too large
IQI 05,QIvolume,AHRQ,Coronary Artery Bypass Graft (CABG) Volume,Number of surgeries to bypass blocked blood vessels in the heart,"How often a hospital does an operation called a coronary artery bypass graft, or CABG, which is designed to restore the natural flow of blood in the heart.",1,,N,N/A,H,obsv,1,Provider,0,0,53390,0,0,0,0,"How often a hospital does an operation called a coronary artery bypass graft, or CABG, which is designed to restore the natural flow of blood in the heart.",Number of surgeries to bypass blocked blood vessels in the heart
IQI 06,QIvolume,AHRQ,Percutaneous Coronary Intervention (PCI) Volume,Number of procedures to open up blocked blood vessels in heart (angioplasty),"How often a hospital does an operation called a percutaneous transluminal coronary angioplasty, or PTCA. This is a procedure in which clogged arteries of the heart are opened up and then kept open using wire mesh tubes or <i>stents</i>.",1,,N,N/A,H,obsv,1,Provider,0,0,138321,0,0,0,0,"How often a hospital does an operation called a percutaneous transluminal coronary angioplasty, or PTCA. This is a procedure in which clogged arteries of the heart are opened up and then kept open using wire mesh tubes or <i>stents</i>.",Number of procedures to open up blocked blood vessels in heart
IQI 07,QIvolume,AHRQ,Carotid Endarterectomy Volume,Number of operations to remove blockage in brain arteries,How often a hospital did an operation to remove blockage in the arteries leading to the brain (<i>called carotid endarterectomy</i>).,1,,N,N/A,H,obsv,1,Provider,0,0,22588,0,0,0,0,How often a hospital did an operation to remove blockage in the arteries leading to the brain (<i>called carotid endarterectomy</i>).,Number of operations to remove blockage in brain arteries
IQI 08,QIprovider,AHRQ,Esophageal Resection Mortality Rate,How often patients die in the hospital during or after surgery on the esophagus,How often patients died in the hospital after an operation to remove part of their esophagus (the tube leading from the throat to the stomach).,1,,Y,360,L,mcmc,100,Provider,0.0446,0,46,997,0.0461,0,0,How often patients died in the hospital after an operation to remove part of their esophagus (the tube leading from the throat to the stomach).,How often patients die in the hospital during or after surgery on the esophagus
IQI 09,QIprovider,AHRQ,Pancreatic Resection Mortality Rate,How often patients die in the hospital during or after pancreas surgery,How often patients died in the hospital after an operation to remove part of their pancreas (a digestive organ).,1,,Y,365,L,mcmc,100,Provider,0.0535,0,73,1344,0.0543,0,0,How often patients died in the hospital after an operation to remove part of their pancreas (a digestive organ).,How often patients die in the hospital during or after pancreas surgery
IQI 11,QIprovider,AHRQ,Abdominal Aortic Aneurism (AAA) Repair Mortality Rate,How often patients die in the hospital during or after a  surgery to fix the artery that carries blood to the lower body when it gets too large,"How often patients died in the hospital after an operation to repair an abnormally enlarged blood vessel supplying blood to the stomach, pelvis and legs (<i>called abdominal aortic aneurysm repair</i>).",1,,Y,359,L,mcmc,100,Provider,0.0448,0,406,8790,0.0462,0,0,"How often patients died in the hospital after an operation to repair an abnormally enlarged blood vessel supplying blood to the stomach, pelvis and legs (<i>called abdominal aortic aneurysm repair</i>).",How often patients die in the hospital during or after a  surgery to fix the artery that carries blood to the lower body when it gets too large
IQI 12,QIprovider,AHRQ,Coronary Artery Bypass Graft (CABG) Mortality Rate,How often patients die in the hospital during or after having a surgery to bypass a blocked blood vessel in the heart,"Deaths in the hospital following a coronary artery bypass graft, or CABG, which is designed to provide a way around clogged arteries in the heart.",1,,N,N/A,L,mcmc,100,Provider,0.0206,0,1368,52524,0.026,0,1,"How often patients die in the hospital during or after having a surgery to bypass a blocked vessel in the heart.",How often patients die in the hospital during or after having a surgery to bypass a blocked blood vessel in the heart
