MeasureCode,TopicCategory,TopicName
IQI 21,QI,Provider
IQI 22,QI,Provider
IQI 23,QI,Provider
IQI 24,QI,Provider
IQI 25,QI,Provider
IQI 33,QI,Provider
IQI 34,QI,Provider2
PSI 17,QI,Provider2
PSI 18,QI,Provider2
PSI 19,QI,Provider2
IQI 11,QI,ProviderMCMC
IQI 12,QI,ProviderMCMC
IQI 13,QI,ProviderMCMC
IQI 14,QI,ProviderMCMC
IQI 15,QI,ProviderMCMC
IQI 16,QI,ProviderMCMC
IQI 17,QI,ProviderMCMC2
IQI 18,QI,ProviderMCMC2
IQI 19,QI,ProviderMCMC2
IQI 20,QI,ProviderMCMC2
IQI 30,QI,ProviderMCMC2
IQI 31,QI,ProviderMCMC2
IQI 32,QI,ProviderMCMC3
IQI 08,QI,ProviderMCMC3
IQI 09,QI,ProviderMCMC3
PSI 10,QI,ProviderMCMC3
PSI 11,QI,ProviderMCMC3
PSI 12,QI,ProviderMCMC3
PSI 13,QI,ProviderMCMC4
PSI 14,QI,ProviderMCMC4
PSI 15,QI,ProviderMCMC4
PSI 02,QI,ProviderMCMC4
PSI 03,QI,ProviderMCMC4
PSI 04,QI,ProviderMCMC4
PSI 06,QI,ProviderMCMC5
PSI 07,QI,ProviderMCMC5
PSI 08,QI,ProviderMCMC5
PSI 09,QI,ProviderMCMC5
IQI 01,QI,Volume
IQI 02,QI,Volume
IQI 04,QI,Volume
IQI 05,QI,Volume
IQI 06,QI,Volume
IQI 07,QI,Volume
PSI 16,QI,Volume1
PSI 05,QI,Volume1
