MeasureCode,MeasureType,Source,ClinicalTitle,WebName,Description,Footnote,RateLabel,Nqf,NqfId,BetterHighLow,RaMethod,ScaleBy,ScaleTarget,NatBenchmark,PeerBenchmark,Numerator,Denominator,ObservedRate,IsIncludedInDomainScoring,SupportsCost,ConsumerDescription,ConsumerPlainTitle
HAI-3,Ratio,CMS,Surgical site infections from colon surgery (SSI: Colon),Infections after colon surgery,"Colon surgery removes diseased or damaged parts of the colon. Sometimes the area of the body where the surgery takes place can become infected. This can involve the skin, tissues under the skin, organs, or implanted material. These infections can cause serious problems and even death. A high number of infections may mean the hospital is not doing a good job at preventing infections.",,,Y,753,L,yes,1,TBD,0,0,0,0,0,0,0,"Colon surgery removes diseased or damaged parts of the colon. Sometimes the area of the body where the surgery takes place can become infected. This can involve the skin, tissues under the skin, organs, or implanted material. These infections can cause serious problems and even death. A high number of infections may mean the hospital is not doing a good job at preventing infections.",Infections after colon surgery
HAI-4,Ratio,CMS,Surgical site infections from abdominal hysterectomy (SSI: Hysterectomy),Infections after hysterectomy,"A hysterectomy is a surgery to removes the uterus. Sometimes the area of the body where the surgery takes place can become infected. This can involve the skin, tissues under the skin, organs, or implanted material. These infections can cause serious problems and even death. A high number of infections may mean the hospital is not doing a good job at preventing infections.",,,Y,753,L,yes,1,TBD,0,0,0,0,0,0,0,"A hysterectomy is a surgery to removes the uterus. Sometimes the area of the body where the surgery takes place can become infected. This can involve the skin, tissues under the skin, organs, or implanted material. These infections can cause serious problems and even death. A high number of infections may mean the hospital is not doing a good job at preventing infections.",Infections after hysterectomy
AMI-2,Process,CMS,Aspirin prescribed at discharge,Heart attack patients prescribed aspirin before leaving the hospital,"Doctors should give heart attack patients a prescription for aspirin before they leave the hospital. For most patients, taking aspirin can keep blood clots from forming, improve the chances of survival, and help prevent another heart attack.",1,,Y,142,H,no,100,TBD,0,0,0,0,0,0,0,"Doctors should give heart attack patients a prescription for aspirin before they leave the hospital. For most patients, taking aspirin can keep blood clots from forming, improve the chances of survival, and help prevent another heart attack.",Heart attack patients prescribed aspirin before leaving the hospital
AMI-7a,Process,CMS,Fibrinolytic therapy received within 30 minutes of hospital arrival,Heart attack patients given medicine to reduce blood clots within 30 minutes of getting to the hospital,Doctors should give heart attack patients a medicine within 30 minutes of getting to the hospital to help break up blood clots and improve blood flow to the heart.,1,,Y,164,H,no,100,TBD,0,0,0,0,0,0,0,Doctors should give heart attack patients a medicine within 30 minutes of getting to the hospital to help break up blood clots and improve blood flow to the heart.,Heart attack patients given medicine to reduce blood clots within 30 minutes of getting to the hospital
AMI-8a,Process,CMS,Timing of receipt of primary percutaneous coronary intervention (PCI),Heart attack patients given procedure to open blood vessels within 90 minutes of getting to the hospital,Doctors should do a procedure on heart attack patients within 90 minutes of getting to the hospital to help blood flow to the heart by opening blocked blood vessels. Blood vessels carry blood through the body.,1,,Y,163,H,no,100,TBD,0,0,0,0,0,0,0,Doctors should do a procedure on heart attack patients within 90 minutes of getting to the hospital to help blood flow to the heart by opening blocked blood vessels. Blood vessels carry blood through the body.,Heart attack patients given procedure to open blood vessels within 90 minutes of getting to the hospital
AMI-10,Process,CMS,Statin prescribed at discharge,Heart attack patients given a prescription for a cholesterol lowering drugs when they leave the hospital,Doctors should prescribe cholesterol lowering drugs to heart attack patients when they leave the hospital.,1,,Y,639,H,no,100,TBD,0,0,0,0,0,0,0,Doctors should prescribe cholesterol lowering drugs to heart attack patients when they leave the hospital.,Heart attack patients given a prescription for a cholesterol lowering drugs when they leave the hospital
ED-1b,Process,CMS,Median time from emergency department arrival to emergency department departure for admitted emergency department patients,How long patients spent in the emergency department before leaving for their hospital room,Median time from emergency department arrival to time of departure from the emergency room for patients admitted to the facility from the emergency department.,0,,N,N/A,L,no,1,TBD,0,0,0,0,0,0,0,Average time patients spend  in the emergency department until they are admitted into the hospital.,How long patients spent in the emergency department before leaving for their hospital room
ED-2b,Process,CMS,Admit decision time to emergency department departure time for admitted patient,How long patients spent in the emergency department after the doctor decided the patient would stay in the hospital before leaving for their hospital room,Median time from admit decision time to time of departure from the emergency department for emergency department patients admitted to inpatient status,0,,N,N/A,L,no,1,TBD,0,0,0,0,0,0,0,Average time patients spent waiting in the emergency department from the time the doctor decided to admit the patient to the hospital until the patient was transferred to their hospital room,How long patients waited in the emergency department after the doctor decided the patient would be admitted to the hospital
H-CLEAN-HSP,Categorical,CMS,Cleanliness of hospital environment (Individual measure),How often were the patients' rooms and bathrooms always kept clean?,"The survey asked patients about the cleanliness of their hospital room and bathroom.A good score indicates patients often answered ""always"".",1,,Y,166,H,surv,100,TBD,0,0,0,0,0,0,0,"The survey asked patients about the cleanliness of their hospital room and bathroom.A good score indicates patients often answered ""always"".",How often were the patients' rooms and bathrooms always kept clean?
H-COMP-1,Categorical,CMS,Communication with nurses (Composite measure),How often did nurses always communicate well with patients?,"The survey asked patients about communication with nurses. Good communication means that nurses explained things clearly, listened carefully, and treated patients with courtesy and respect.A good score indicates patients often answered ""always"".",1,,Y,166,H,surv,100,TBD,0,0,0,0,0,0,0,"The survey asked patients about communication with nurses. Good communication means that nurses explained things clearly, listened carefully, and treated patients with courtesy and respect.A good score indicates patients often answered ""always"".",How often did nurses always communicate well with patients?
