MeasureCode,TopicCategory,TopicName,UsedForInfographic
Q46,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q17,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q19,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q21,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q50,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q12,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q13,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q14,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q24,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q15,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q57,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q26,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q27,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q37,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q42,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q28,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q35,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q64,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q11,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q40,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q29,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q22,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q30,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q31,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q33,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
Q38,Survey Summary – Rating of Care,"Rating of Care by Residents’ Family",False
