MeasureCode,TopicCategory,TopicName
H-COMP-6,HC,Binary
H-CLEAN-HSP,HC,Categorical
H-COMP-1,HC,Categorical
H-COMP-2,HC,Categorical
H-COMP-3,HC,Categorical
H-COMP-4,HC,Categorical
H-COMP-5,HC,Categorical
H-QUIET-HSP,HC,Categorical2
MORT-30-AMI,HC,Outcome
MORT-30-HF,HC,Outcome
MORT-30-PN,HC,Outcome
READM-30-AMI,HC,Outcome
READM-30-HF,HC,Outcome
READM-30-PN,HC,Outcome
READM-30-HOSP-WIDE,HC,Outcome2
AMI-2,HC,Process
AMI-7a,HC,Process
AMI-8a,HC,Process
AMI-10,HC,Process
ED-1b,HC,Process
ED-2b,HC,Process
HF-1,HC,Process2
HF-2,HC,Process2
HF-3,HC,Process2
IMM-2,HC,Process2
OP-2,HC,Process2
OP-3b,HC,Process3
OP-4,HC,Process3
OP-5,HC,Process3
OP-6,HC,Process3
OP-7,HC,Process3
OP-8,HC,Process3
OP-10,HC,Process4
OP-11,HC,Process4
OP-13,HC,Process4
OP-14,HC,Process4
OP-18b,HC,Process4
OP-20,HC,Process4
OP-21,HC,Process5
OP-22,HC,Process5
PC-01,HC,Process5
PN-6,HC,Process5
SCIP-CARD-2,HC,Process5
SCIP-INF-1,HC,Process6
SCIP-INF-2,HC,Process6
SCIP-INF-3,HC,Process6
SCIP-INF-4,HC,Process6
SCIP-INF-9,HC,Process6
SCIP-INF-10,HC,Process6
SCIP-VTE-2,HC,Process7
VTE-6,HC,Process7
HAI-1,HC,Ratio
HAI-2,HC,Ratio
HAI-5,HC,Ratio
HAI-6,HC,Ratio
H-HSP-RATING,HC,Scale
H-RECMND,HC,YNM
