MeasureCode,MeasureType,Source,ClinicalTitle,WebName,Description,Footnote,RateLabel,Nqf,NqfId,BetterHighLow,RaMethod,ScaleBy,ScaleTarget,NatBenchmark,PeerBenchmark,Numerator,Denominator,ObservedRate,IsIncludedInDomainScoring,SupportsCost,ConsumerDescription,ConsumerPlainTitle
CG_ALL,Adult and Children Surveys,CG-CAHPS survey,Overall CG-CAHPS Measures,Overall CG-CAHPS Measures,Overall CG-CAHPS Measures,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,Overall CG-CAHPS Measures,Overall CG-CAHPS Measures
AV_COMP_01,Adult Surveys,CG-CAHPS survey,"Getting Timely Appointments, Care, and Information ","Getting Timely Appointments, Care, and Information","Information about how often patients got care as soon as needed and how often patients received answers to questions when they contacted the office. The rate shown is the percent of patients who answered ""always"" to the individual questions.",0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,"Information about how often patients got care as soon as needed and how often patients received answers to questions when they contacted the office. The rate shown is the percent of patients who answered ""always"" to the individual questions.","Getting Timely Appointments, Care, and Information"
AV_06,Patient reported outcome,CG-CAHPS survey,Got appointment for urgent care as soon as needed,Got appointment for urgent care as soon as needed,The survey asked patients how often they were always able to get an appointment for urgent care as soon as they needed.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often they were always able to get an appointment for urgent care as soon as they needed.,Got appointment for urgent care as soon as needed
AV_08,Patient reported outcome,CG-CAHPS survey,Got appointment for check-up or routine care as soon as needed,Got appointment for check-up or routine care as soon as needed,The survey asked patients how often they were always able to get an appointment for non-urgent care as soon as they needed.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often they were always able to get an appointment for non-urgent care as soon as they needed.,Got appointment for check-up or routine care as soon as needed
AV_10 ,Patient reported outcome,CG-CAHPS survey,Got answer to phone question during regular office hours on same day,Got answer to phone question during regular office hours on same day,The survey asked patients how often they were always able to get an answer to a medical question on the same day they called the provider’s office.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often they were always able to get an answer to a medical question on the same day they called the provider’s office.,Got answer to phone question during regular office hours on same day
AV_12,Patient reported outcome,CG-CAHPS survey,Got answer to phone question after hours as soon as needed,Got answer to phone question after hours as soon as needed,The survey asked patients how often they were always able to get an answer to a medical question on the same day they called the provider’s office after office hours.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often they were always able to get an answer to a medical question on the same day they called the provider’s office after office hours.,Got answer to phone question after hours as soon as needed
AV_13,Patient reported outcome,CG-CAHPS survey,Saw provider within 15 minutes of appointment time,Saw provider within 15 minutes of appointment time,The survey asked patients how often they always saw their provider within 15 minutes of their scheduled appointment time.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often they always saw their provider within 15 minutes of their scheduled appointment time.,Saw provider within 15 minutes of appointment time
AV_COMP_02,Adult Surveys,CG-CAHPS survey,How Well Providers Communicate With Patients ,How Well Providers Communicate with Patients,"Information about how well patients say their provider communicated with them, such as whether the doctor explained things clearly and listened to them carefully. A provider could be a doctor, nurse practitioner, physician assistant, or other individual who provides clinical care. The rate shown is the percent of patients who answered ""yes, definitely"" to the individual questions.",0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,"Information about how well patients say their provider communicated with them, such as whether the doctor explained things clearly and listened to them carefully. A provider could be a doctor, nurse practitioner, physician assistant, or other individual who provides clinical care. The rate shown is the percent of patients who answered ""yes, definitely"" to the individual questions.",How Well Providers Communicate with Patients
AV_16,Patient reported outcome,CG-CAHPS survey,Provider explained things clearly,Provider explained things clearly,The survey asked patients how often their provider always explained things in a way that was easy for them to understand.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often their provider always explained things in a way that was easy for them to understand.,Provider explained things clearly
AV_17,Patient reported outcome,CG-CAHPS survey,Provider listened carefully to patient,Provider listened carefully to patient,The survey asked patients how often their provider always listened carefully to them.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often their provider always listened carefully to them.,Provider listened carefully to patient
AV_19 ,Patient reported outcome,CG-CAHPS survey,Provider gave easy to understand information on health questions or concerns,Provider gave easy to understand information on health questions or concerns,The survey asked patients how often their provider always gave them information about their health questions or concerns that was easy to understand.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often their provider always gave them information about their health questions or concerns that was easy to understand.,Provider gave easy to understand information on health questions or concerns
AV_20,Patient reported outcome,CG-CAHPS survey,Provider knew important information about your medical history,Provider knew important information about your medical history,The survey asked patients how often their provider always knew important information about their medical history.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often their provider always knew important information about their medical history.,Provider knew important information about your medical history
AV_21,Patient reported outcome,CG-CAHPS survey,Provider showed respect,Provider showed respect,The survey asked patients how often their provider always showed respect for what they had to say.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often their provider always showed respect for what they had to say.,Provider showed respect
AV_22 ,Patient reported outcome,CG-CAHPS survey,Provider spent enough time,Provider spent enough time,The survey asked patients how often their provider always spent enough time with them.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often their provider always spent enough time with them.,Provider spent enough time
AV_COMP_03,Adult Surveys,CG-CAHPS survey,"Helpful, Courteous, and Respectful Office Staff ","Helpful, Courteous, and Respectful Office Staff","Information about how often patients say office staff were helpful, courteous, and respectful to them. The rate shown is the percent of patients who answered ""yes, definitely"" to the individual questions.",0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,"Information about how often patients say office staff were helpful, courteous, and respectful to them. The rate shown is the percent of patients who answered ""yes, definitely"" to the individual questions.","Helpful, Courteous, and Respectful Office Staff"
AV_27,Patient reported outcome,CG-CAHPS survey,Office staff was helpful,Office staff was helpful,The survey asked patients how often staff at the provider’s office were always helpful.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often staff at the provider’s office were always helpful.,Office staff was helpful
AV_28,Patient reported outcome,CG-CAHPS survey,Office staff courteous and respectful,Office staff courteous and respectful,The survey asked patients how often staff at the provider’s office were always courteous and respectful.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,The survey asked patients how often staff at the provider’s office were always courteous and respectful.,Office staff courteous and respectful
AV_COMP_04,Adult Surveys,CG-CAHPS survey,Follow-up on Test Results,Follow-up on Test Results,"Information about whether someone from the provider's office followed up with the patient. The rate shown is the percent of patients who answered ""yes"" to the individual question.",0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,"Information about whether someone from the provider's office followed up with the patient. The rate shown is the percent of patients who answered ""yes"" to the individual question.",Follow-up on Test Results
AV_24,Patient reported outcome,CG-CAHPS survey,Provider’s office followed up with test results,Provider’s office followed up with test results,"The survey asked patients how often someone from the provider’s office always follow up with the patient to give results of a blood test, x-ray, or other test? ",0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,"The survey asked patients how often someone from the provider’s office always follow up with the patient to give results of a blood test, x-ray, or other test? ",Provider’s office followed up with test results
AV_COMP_05,Adult Surveys,CG-CAHPS survey,Patients’ Rating of the Provider,Patients’ Rating of the Provider,Information about how patients rate their doctor overall. The rate shown is the percent of patients who rated their provider a 9 or 10.,0,0,Y,Nqfid-0005,H,NO,1,TBD,0,0,0,0,0,0,0,Information about how patients rate their doctor overall. The rate shown is the percent of patients who rated their provider a 9 or 10.,Patients’ Rating of the Provider
