MeasureCode,TopicCategory,TopicName,UsedForInfographic
AV_COMP_01,Medical Practice Ratings,Adult Surveys,FALSE
AV_06,Medical Practice Ratings,Adult Surveys,FALSE
AV_08,Medical Practice Ratings,Adult Surveys,FALSE
AV_10 ,Medical Practice Ratings,Adult Surveys,FALSE
AV_12,Medical Practice Ratings,Adult Surveys,FALSE
AV_13,Medical Practice Ratings,Adult Surveys,FALSE
AV_COMP_02,Medical Practice Ratings,Adult Surveys,FALSE
AV_16,Medical Practice Ratings,Adult Surveys,FALSE
AV_17,Medical Practice Ratings,Adult Surveys,FALSE
AV_19 ,Medical Practice Ratings,Adult Surveys,FALSE
AV_20,Medical Practice Ratings,Adult Surveys,FALSE
AV_21,Medical Practice Ratings,Adult Surveys,FALSE
AV_22 ,Medical Practice Ratings,Adult Surveys,FALSE
AV_COMP_03,Medical Practice Ratings,Adult Surveys,FALSE
AV_27,Medical Practice Ratings,Adult Surveys,FALSE
AV_28,Medical Practice Ratings,Adult Surveys,FALSE
AV_COMP_04,Medical Practice Ratings,Adult Surveys,FALSE
AV_24,Medical Practice Ratings,Adult Surveys,FALSE
AV_COMP_05,Medical Practice Ratings,Adult Surveys,FALSE
AV_25,Medical Practice Ratings,Adult Surveys,FALSE
AV_COMP_06,Medical Practice Ratings,Adult Surveys,FALSE
AV_26,Medical Practice Ratings,Adult Surveys,FALSE
CD_COMP_01,Medical Practice Ratings,Child Surveys,FALSE
CD_38,Medical Practice Ratings,Child Surveys,FALSE
CD_39,Medical Practice Ratings,Child Surveys,FALSE
CD_40,Medical Practice Ratings,Child Surveys,FALSE
CD_41,Medical Practice Ratings,Child Surveys,FALSE
CD_44,Medical Practice Ratings,Child Surveys,FALSE
CD_47,Medical Practice Ratings,Child Surveys,FALSE
CD_COMP_02,Medical Practice Ratings,Child Surveys,FALSE
CD_42,Medical Practice Ratings,Child Surveys,FALSE
CD_43,Medical Practice Ratings,Child Surveys,FALSE
CD_45,Medical Practice Ratings,Child Surveys,FALSE
CD_46,Medical Practice Ratings,Child Surveys,FALSE
CD_48,Medical Practice Ratings,Child Surveys,FALSE
